file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
andalusian_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,530.1,1740.5,2828.4,76.4,63.1,110.9,58.4,-184.7,18.9,51.8,137.5,56.3,99.9,-129.9,-113.2,-30.8,145,101
andalusian_match_interrogative-partial-wh_Cuando-vendia-el-carro,557.7,1612.3,2638.8,-42.8,96.1,173,38.7,-317.5,-80.8,111.9,79.7,-3.6,-88.2,194.8,132.2,-0.9,-21.8,-113.8
andalusian_match_interrogative-partial-wh_Por-que-abre-el-regalo,593.7,1613.3,2604.4,-34.7,-38.4,-40.4,-11,-55.7,138.2,27.7,-18.3,9.8,-29.9,55.7,109.9,-29.6,-32.9,-73.6
andalusian_match_interrogative-partial-wh_Por-que-ama-la-navidad,662.7,1763,2788.4,-0.6,-0.3,13.2,25.7,48.9,126.8,-49.5,64.8,154.3,97.7,-222.2,62,67.6,42.4,-4
andalusian_match_interrogative-partial-wh_Por-que-hablaba-del-agua,651.1,1454.8,2671.4,-41.7,248.2,79.8,33.2,24.5,71.3,1.1,-55.1,-32.8,81.6,81.4,239.8,-0.7,-156.8,27.8
andalusian_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,518.1,1680.9,2642.8,-25.5,-158.9,-30.1,71.4,-42.4,-26.3,-72.2,63.3,54.5,2.1,-245.3,-85.5,48.4,1,-14.8
andalusian_match_interrogative-total-yn_Ana-lleva-el-abrigo,575.4,1691.3,2743.7,185.8,201.7,31.9,109.7,-167.2,66.2,54,250.9,171.4,69,-92.3,-19.8,-40.2,41.7,179.1
andalusian_match_interrogative-total-yn_Daniel-iba-a-Bolivia,555,1996.3,2932,6.3,55.9,-25.2,163.9,72.1,150.1,-30.2,-2.6,-61.2,113.3,-180.3,18.2,59,137,-16.5
andalusian_match_interrogative-total-yn_David-leia-el-libro,450.3,2009.9,2902.1,38.2,127.7,68.5,38.4,-556.3,-143.6,-19.8,87.4,-22.8,33.7,67.9,104.5,-26.5,-42.4,49.2
andalusian_match_interrogative-total-yn_Emilio-ama-la-marcha,697.1,1865.8,2808.3,-117.9,192.3,48.1,31.5,301.4,102.2,123.6,-44.2,-40.2,90.2,-239.3,8,202.1,-21.2,22.2
andalusian_match_interrogative-total-yn_Manuela-vende-el-carro,591.7,1632.2,2643.6,-30.7,78.6,183.9,16.8,-196.8,-118.4,23.4,23.4,-65.4,-115.7,108.8,114.8,-10.6,-80.2,-119.2
andalusian_match_interrogative-total-yn_Maria-bebe-el-vino,462.7,1815.6,2676.9,91.1,121.4,134.7,24.6,-265.8,-105,-46.4,105.6,36,-31.9,-254.5,-77,-0.3,-63,-35.4
andalusian_match_interrogative-total-yn_Mariano-habla-del-tiempo,535.3,1381,2213.7,94.3,92.7,-14.3,110.8,91.9,126.1,-44,229.6,213.4,73.8,-14.2,-98.7,-21.8,-174.7,-152.7
andalusian_match_interrogative-total-yn_Marta-abre-el-regalo,598.3,1513.3,2526.5,19.5,91.7,11.3,-16.8,-113.8,113.8,-46,155.6,132.5,-158.5,-25.3,-43.2,-25,-75.5,-97.3
andalusian_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,452.9,1996.3,2842.6,53.2,-85.6,-47.1,10.3,343.6,156.5,24.1,-27,6.7,50.9,-78.7,155.8,23.1,-36.2,-45.5
andalusian_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,595.1,1708.3,2713.2,-42.9,133,38.7,154.1,109.5,64.9,81.5,115.7,72.7,148.2,309.8,138.4,-137.4,-184.3,-19.7
andalusian_mismatch_declarative-broad-focus_El-nino-oye-el-rio,486.2,2126.2,2925.5,-17.2,169.1,163.6,107.9,164.1,121.6,17.1,62.5,-61.6,94.6,-85.6,35.9,54.3,-201.2,-22.8
andalusian_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,586,1922.9,2748.5,27,-118.2,5.7,21.7,100.6,61.2,-49.6,-8,66.9,-38.4,5.2,45.7,51.4,178,145.5
andalusian_mismatch_declarative-broad-focus_La-nina-lava-el-plato,582.2,1693.8,2659.1,-59.6,312.9,67.7,-56.1,95.4,-21.4,94.2,-14.3,-20.2,67.1,-133.9,41.1,47.2,-126,-50.8
andalusian_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,583.3,1680.6,2765.5,-53.1,92.7,73.6,-1.8,127.9,67.5,-29.6,43.1,87.7,-23.9,-78,-31.2,-17.4,-16.6,92.7
