file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
argentine_mismatch_interrogative-total-yn_La-nina-lava-el-plato,558.1,1594,2625.1,-24.6,377,87.6,3.7,10.9,145.4,23.7,-8,4.9,19.3,-217.1,-48,48.9,-127.3,-20.3
argentine_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta,539.3,1519,2573.2,-55,105.5,-97.4,29.2,46.2,103.2,-50,45.7,-15,1.7,56.7,-53.3,-51.3,-47.9,-48
argentine_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago,501.2,1533.1,2447.9,-46.1,312.3,91.6,16.8,-262.5,-110.5,32.9,142.4,123.4,-6.7,48.8,28.6,2.7,10.8,-34.1
argentine_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia,508.7,1679.6,2610.7,-45.2,165,-38.5,-25.9,126.2,-4.4,-29.8,53.3,-3.5,43.5,115,-8.5,-41.3,-41,-36.7
argentine_question_filler_Mi-vecino-habla-mucho,502.2,1508.7,2530.5,-39.7,286.5,43.6,-35.5,42.6,44.2,-29.3,4.5,-55.1,37.4,-112.5,-83.1,2.4,-46.2,50.9
castilian_match_declarative-broad-focus_Ana-lleva-el-abrigo,596.3,2087.8,3315.7,5.9,-88.7,20.7,120.1,33.6,76.3,-32,-180.9,-200.8,266,-258,54.8,-50.9,101,64.5
castilian_match_declarative-broad-focus_Daniel-iba-a-Bolivia,457.9,2013.3,2988.6,-16.8,103.3,192.9,-14.4,276.8,174.2,-24.6,-138.5,-74.3,127.9,-405.3,-244.4,-57.7,211,23.6
castilian_match_declarative-broad-focus_David-leia-el-libro,481.7,2188.6,3154,-86.9,68.7,-50.2,124.1,-222.1,-137.2,-108.1,-71.5,-104.1,144,12.5,153.8,-105.7,3.2,-94.8
castilian_match_declarative-broad-focus_Emilio-ama-la-marcha,622,1836.1,2868.6,-182.1,192.5,-88.4,16,260.9,299.9,-111.1,-19.3,-66.3,102.2,-65.4,-27.8,-10.8,-131.8,-136.6
castilian_match_declarative-broad-focus_Manuela-vende-el-carro,576.2,1930.7,2893.2,-106.5,15.7,23.8,152.3,-125.4,11.8,-15.6,-15.6,-32.2,-16.5,156.3,108.8,31.3,-47.7,-105.2
castilian_match_declarative-broad-focus_Maria-bebe-el-vino,483,1993.9,2864,139.9,103.8,193.4,-16,-113.8,-91.9,-54.3,114.9,91.9,19.3,-304.9,-316.9,42.4,-41.1,1.8
castilian_match_declarative-broad-focus_Mariano-habla-del-tiempo,516.1,1900.8,2957.9,57.9,56.8,43.2,-25,47,29.8,-112.9,233,32.8,50.3,-150.7,-19.1,3.2,-172.6,-205.5
castilian_match_declarative-broad-focus_Marta-abre-el-regalo,622,1715.3,2751.6,144.5,44.8,141.7,6.6,-104.1,-104.5,-95.1,33.1,-54.9,-198.4,-9.3,-146.1,63.5,-62,-16.8
castilian_match_declarative-narrow-focus_Ana-lleva-el-abrigo,568.5,2082.1,3296.9,2.9,-151.4,-104.2,116.3,48.5,232.5,-24.7,-80.5,-123.7,190.8,-265.1,-134.9,46.6,65.1,111.9
castilian_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,495.8,2019.5,2890.6,14.1,84.8,100,-64.3,193.8,64.9,-39.1,-161.3,-52.5,138.3,-417.9,-169.9,-35.6,146.1,59.2
castilian_match_declarative-narrow-focus_David-leia-el-libro,428,2117.4,2916.7,31.4,118.5,168.7,14,-328.4,-312,-2.6,8.1,29.2,71,-153.7,-85.1,-30.2,87.2,89.2
castilian_match_declarative-narrow-focus_Emilio-ama-la-marcha,626.1,1924,2923.9,-207.9,244,-49.4,50.1,284.6,208.6,-115.7,-48.5,-114.2,114.4,-86.1,30.8,-60.9,-154.8,-151.2
castilian_match_declarative-narrow-focus_Manuela-vende-el-carro,529.9,1777.2,2624.1,-4.3,123.7,147.6,1.8,-222.2,-290.9,20,5.5,-117.3,-115.2,1.2,-18.1,77.1,-42.8,18.9
castilian_match_declarative-narrow-focus_Maria-bebe-el-vino,486.6,2083.7,3068.6,-43.4,-107.2,-197.5,78.1,-6.7,132.9,-160.6,-9.7,-212.9,74.8,-286.7,-182.5,-68.5,-71.1,-149.6
castilian_match_declarative-narrow-focus_Mariano-habla-del-tiempo,471,1867.4,2844.9,90.6,126.3,103.5,-70.7,-9.2,-56.5,-83.7,246.1,142.1,-45.4,-95.1,-79.6,-3.4,-171.3,-300.1
castilian_match_declarative-narrow-focus_Marta-abre-el-regalo,587.1,1748.2,2733.2,142.8,73,198.9,37.7,-161.2,-96.3,-40.1,86.8,-50.1,-197.8,-57,-146.8,60.6,-70,-124.2
castilian_match_interrogative-partial-wh_Cuando-bebia-el-vino,474.3,2092,3218.7,72.3,21,-41.9,101.5,-283.6,56.3,13.9,154.7,72.7,68.1,26.1,187,-2,356.3,193.6
castilian_match_interrogative-partial-wh_Cuando-leia-el-libro,463.4,2030.3,3187.6,73.8,-129.5,-44.1,95.5,-423.4,-37.1,28.8,76.2,108.2,99.8,-95.8,31.1,25.7,310.9,123.2
castilian_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,494.1,2093.5,3296.4,37.2,-39.9,-103.2,16.7,17.5,201.7,52.5,-63.4,-62.9,156.4,-156.6,132.8,-10.4,281,191.4
castilian_match_interrogative-partial-wh_Cuando-vendia-el-carro,516.2,1700.8,2648.4,-30.2,85.5,123.1,27.1,-515,-303.1,116.3,-63.6,-51.9,-45.7,20.5,37,67.5,188.9,126.9
castilian_match_interrogative-partial-wh_Por-que-abre-el-regalo,527.7,1734.5,2685.1,9.7,181,-28,25.4,-245.1,-136.1,32.7,0.7,-78.5,-110.2,-152.4,-85.2,65.6,-95.1,-17.5
castilian_match_interrogative-partial-wh_Por-que-ama-la-navidad,563.8,1811.4,2746,-4.8,-143.2,-195.4,-4.9,-6,39.2,-57.5,75.8,62.8,-6.4,-330.3,-126,-4.2,-114.1,-163
castilian_match_interrogative-partial-wh_Por-que-hablaba-del-agua,564.9,1627.1,2752.7,-43.3,206.2,-78.2,-11.6,-148.7,-127.8,-11.5,14.6,36,-26.9,-90.9,-65.6,75.4,-290.1,-156.3
castilian_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,488.1,1842.5,2770.3,41.3,-59,-72.2,-60.6,70.6,-60.3,-59.1,-68.7,-42.5,108.7,-574.6,-255.1,56.3,124.3,39.9
castilian_match_interrogative-total-yn_Ana-lleva-el-abrigo,494.5,1827.3,2933.4,105,167.5,150.2,11.7,-131.6,156,54.7,123,27.3,103,-419.9,-183.5,18.4,53,32.1
castilian_match_interrogative-total-yn_Daniel-iba-a-Bolivia,450.2,1884,2796.6,15,168.4,206.1,-22.9,-7.5,-42.6,-44.7,206.2,119.6,24.7,-513,-253,87.6,23.5,69.1
castilian_match_interrogative-total-yn_David-leia-el-libro,438.7,2050.3,2938.6,11.2,212.4,176.2,12.6,-435.5,-247.6,-34.3,62.9,81.3,49.4,-151.7,-48.9,-11.5,86,42.7
castilian_match_interrogative-total-yn_Emilio-ama-la-marcha,474.9,1443.6,2152,-8.4,313.2,348.4,-72.5,174.8,269.8,11.3,105.5,138.2,1.1,2.8,-64.6,49.5,-6.3,-77
castilian_match_interrogative-total-yn_Manuela-vende-el-carro,520.2,1747.8,2683.9,-27.1,223.7,116.6,-2.4,-308,-226.6,1.9,68.5,-7.1,-141.1,-41.4,-4.8,71.9,43.6,30.5
castilian_match_interrogative-total-yn_Maria-bebe-el-vino,467.7,1973,2862.7,70.4,189.1,99.3,18.1,-188,-86.4,-62.5,189,131.3,-13,-255.6,-306.7,72.3,-145.9,-114.2
castilian_match_interrogative-total-yn_Mariano-habla-del-tiempo,485.5,1777.3,2849.3,88.8,219.7,32.5,-43.7,-108.6,-22.3,-87.9,346.3,122.6,-4.7,-170.8,-55.3,14.9,-153.6,-318.5
castilian_match_interrogative-total-yn_Marta-abre-el-regalo,625.4,1696.2,2789,102.2,135.9,169.2,33.1,-201.5,-54.6,-62.7,104.9,-110.2,-173.1,-41.4,-134.3,-7.6,6.5,-45.2
castilian_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,436.5,2064.5,2875.6,66.5,0.7,-21.7,-56.6,48.6,180.1,23.6,50.1,-6.5,-1.2,-98.2,43.1,21.5,39.8,85.8
castilian_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,534.4,1969.8,2991.5,-176.3,8.8,-184.1,168.6,-15.6,135.7,-102.4,-55.4,-118.5,167,104.1,256.6,-146.1,197.8,-26.3
castilian_mismatch_declarative-broad-focus_El-nino-oye-el-rio,402.1,1678.8,2561.8,1.9,-142,13.7,-14.4,194.9,18.1,48.5,424.8,223,38.9,-117,-220.2,5.9,-37.4,-8.9
castilian_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,529.3,2028,2916.2,87.2,-106.4,-65.2,60.2,-22.1,34.5,-91.7,-146.3,-217.6,-8.1,-74.9,-71.4,17.4,36.4,115.9
castilian_mismatch_declarative-broad-focus_La-nina-lava-el-plato,544.5,1944.9,2996.5,-78.1,294.1,78.5,-10.4,117.9,161.7,-80.6,-110.5,-114.7,52.6,-215.7,-64.5,45.7,-228.6,-52
castilian_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,558.8,1833.6,2794.5,-121.4,181.7,-5.1,63.1,105.1,132.7,-31.1,24,-109.3,-21.3,51.2,20.5,-182.6,-25.7,-194.4
castilian_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,482,1819,2748.4,-52.5,234.6,106.4,-13.4,-322.4,-209.7,18.7,110.8,195.1,-100.6,86.7,24.2,54.3,38,96.7
castilian_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,482.4,2112.8,3076.4,5.6,55.7,92.8,-101.4,126.4,-43.2,-131.2,-50.5,-159.5,26.9,-141.2,-146.3,1.6,-114.1,-36.5
castilian_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,428.9,2004.2,2672.4,69.5,10.3,98.9,-37.9,45.2,2.4,3.9,100.7,129.2,0.3,-99,-72.9,19.2,59.4,109.8
castilian_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,526,1881,2992.6,-126.7,105.8,-63.9,121.3,-87.6,-29.9,-59.6,-151.5,-58.4,185,95.5,254.7,-157.4,154.4,-54.9
castilian_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,424.4,1869.4,2827.2,8.2,-18.1,160.6,-25,-1.7,-61.8,7.6,316.5,157.2,41.4,-14.9,-28.8,51.4,134.2,66.9
castilian_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,555.4,1976.6,2832,-19.4,-143.6,-74.9,102.9,3.5,55.3,-117.1,-57.2,-109.6,32.5,-37.9,-37.7,-89.7,41.8,155
castilian_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,563.5,1908.5,3011.8,-95.8,213.1,55.7,52.2,131.1,160.2,-90.4,-72.8,-136.2,52.8,-138.7,-134.7,69.4,-214.7,-92.5
castilian_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,566,1823.1,2802.1,-115.6,108.5,-45.7,22.2,66,80.2,-30.9,28.6,-53.6,-8.6,-30,10.9,-167.5,-33.8,-185.5
castilian_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,490.5,1875.1,2861.6,-66.1,279.6,103.6,-16.5,-222.3,-150,32.8,-21.4,35.1,-87.2,138.2,51,32.4,-53.6,46.3
castilian_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,476.1,1976.4,2899.5,-21.4,75.2,89.3,-36.4,110.9,-6.9,-141.6,76.8,33.8,48.6,-24.8,-35.7,-60.2,-174.6,-225.8
castilian_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,540.8,1346.1,2121.3,-25.8,-156.7,-50.4,-4.2,-50.3,-79.6,57.2,180.4,143.7,39.1,39.8,-46.1,-28.6,192.5,238.6
castilian_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,566.4,1609.1,2731.7,27.1,11.1,8.7,-30.3,-119.2,-48.2,-34.4,95.4,-4.4,-61.3,-54.8,-195,144.5,-66.2,19.1
castilian_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,508,1874,3253.9,36.9,107.8,152.8,-27.8,-117.5,54.3,69.2,-99.7,-187.7,163,-3.3,56.7,4.7,144.9,-157.5
castilian_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,457.4,1920.1,2757.1,57.7,-99.4,-37.2,-8.9,-101,-106,28.8,-174.9,-218.7,22.8,-155,-72.8,-31.7,132.5,156.5
castilian_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,501.8,1855.6,2829.6,16.9,-110.2,-163.2,3.1,-39.1,-70.8,-34.1,-23.2,-62.9,95.9,-169.9,-13.6,-15.7,-6.6,-62.4
castilian_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,496.3,1873,2700.6,25,-5.6,-50.7,7.5,-288.2,-226.6,-33.1,25.2,40.2,13.5,-164.8,-116.8,-5.4,125.1,129.3
castilian_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,485.8,1727.5,2821.1,-35,325.6,13,-18.2,-402.3,-352.6,83.6,63.5,44.7,-26.1,-86.5,-156.9,43.5,-108.4,-29.1
castilian_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris,477.6,2019.3,2807.5,-21.6,-110.6,-188.9,20.2,-149.5,-25.9,14,-264.9,-171.6,52.3,-280.2,-188.9,-45.3,117.2,112.4
castilian_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien,439.3,1959.2,2711.8,21.5,10.6,32.3,-26.2,118.5,53.6,-7,144.4,83.5,-6.8,-122.1,17.5,-11.3,12.8,104.1
castilian_mismatch_interrogative-total-yn_El-hombre-mira-la-luna,447.7,1876.5,3070.1,-26.3,177.3,-75.4,17,-104.9,66.9,35.8,-22.3,-179.9,74.9,55.2,241.1,-76,187.6,-10.8
castilian_mismatch_interrogative-total-yn_El-nino-oye-el-rio,460.3,2009.5,2927.3,2,215.9,124.5,-37.6,68.4,-16.1,-52.2,268,60.7,55.5,-242.9,-97.7,62.9,-18.4,58.3
castilian_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris,517.6,1951.1,2819.9,37.9,-72.6,1.7,22.9,-26.7,36.4,-22.2,30.6,-14.1,-6.4,-57.3,-69,-55.6,-66.2,15.7
castilian_mismatch_interrogative-total-yn_La-nina-lava-el-plato,514,1832.1,2900.2,-17.8,408.5,219.7,-41.6,0.8,82.9,-24,-12.6,-90.8,20.7,-252.5,-163.3,105.4,-155,50.5
castilian_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta,538.7,1779.5,2723.5,-58.9,162.6,95,-41.6,-31.4,-46.2,66.5,86.5,93.7,-69.5,-100.9,-140.5,-108.6,-13.3,-56.2
castilian_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago,456.6,1761.1,2747.6,-42.3,292.4,77.6,-20.6,-374.9,-192.7,18.4,87.5,149.1,-62.8,5,19.8,11.9,27.1,45.2
castilian_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia,456.7,2043.2,3072.6,21.5,183.3,214.8,-75.5,120.3,-16,-116.2,201.9,-7.4,2.2,-77.1,-60.3,-4.9,-126.4,-139.1
castilian_question_filler_Mi-esposo-conoce-al-chico,563.8,1798.2,2801.1,-19.8,123.4,73.3,-51.9,-10.3,-51.5,-82.4,319.1,64.4,-5.4,-135.2,-133.1,-28.9,78.8,16
chilean_match_declarative-broad-focus_Ana-lleva-el-abrigo,530.2,1700.5,2713,40.9,-45.5,-184.7,102,-106.5,89.2,15.9,218.2,54.8,204.3,-241.6,-77.6,-9.9,24.6,70.5
chilean_match_declarative-broad-focus_Daniel-iba-a-Bolivia,490.2,2019.8,2727.6,-97.7,-0.7,-31.7,118.5,259.7,102,-46.3,-265.1,-120.5,176.6,-284,-27.2,-92.8,274,120.8
chilean_match_declarative-broad-focus_David-leia-el-libro,455.5,2090.6,2655.3,-43,-202.6,-183.3,91.6,-302.4,-149.3,-37.3,6.1,-64.6,127.3,-142.2,-116.9,-10.9,-53.1,-66
chilean_match_declarative-broad-focus_Emilio-ama-la-marcha,545.9,1604.1,2135.8,-116,156.4,65.1,19.1,239.7,431.2,-58.4,-65.9,-26.3,92,-67,-89,32,-159.6,-303
chilean_match_declarative-broad-focus_Manuela-vende-el-carro,466.3,1625.4,2616.9,-39,46.2,61.7,61.4,-278,-165.1,-3.1,88.3,43.5,-89.9,-3.2,93.4,73,0.6,-2.2
chilean_match_declarative-broad-focus_Maria-bebe-el-vino,489.4,1988,2812.7,126.7,63.4,100.6,15.1,26.4,79.1,-20.4,-68.6,-54.5,138.9,-396.1,-228.1,42.9,-65.2,-80.8
chilean_match_declarative-broad-focus_Mariano-habla-del-tiempo,553.5,1612.1,2669.9,114.7,89.9,57.1,-98.6,-4.9,0.6,-97.3,279.3,12.2,40.1,-186.1,-17,60.7,-148.9,-12.8
chilean_match_declarative-broad-focus_Marta-abre-el-regalo,578.4,1609.7,2717.1,99,62.5,136.3,-4,-94.2,-26.7,-79.3,24,-64.3,-169.1,-110.1,-18.6,30,55.6,-44.1
chilean_match_declarative-narrow-focus_Ana-lleva-el-abrigo,471.4,1874.8,3079.9,90.7,200.6,-18.8,80.6,-193.6,171.6,-14.4,165.7,154.9,135.3,-183,-24.7,89.8,-339.3,-163.6
chilean_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,464.9,2017.4,2940.2,-20.6,-54.5,-11.7,14.5,321,203.9,-84.7,121.7,95.8,167.1,-571.5,-86,10.1,-95.7,-68.2
chilean_match_declarative-narrow-focus_David-leia-el-libro,432.1,2021.3,2916.2,-5.3,119.3,-75.8,100.7,-380.5,-94.2,-28.2,50.9,16.6,85.8,-39,25.6,30.1,-63.4,-142
chilean_match_declarative-narrow-focus_Emilio-ama-la-marcha,598,1758,2711.7,-271.5,54.4,-153.3,62.3,336.6,381.2,-112.8,-42,-82.7,66.4,-102.5,-33.1,57.7,-187.1,-45
chilean_match_declarative-narrow-focus_Manuela-vende-el-carro,550,1735.4,2525.6,-91.2,-17.6,10,46.2,-208,-105.4,0.2,131.8,204.5,-106.7,-88.6,-53.7,115.2,6.2,-7.3
chilean_match_declarative-narrow-focus_Maria-bebe-el-vino,373,1447.7,2329.9,75.5,-51.2,-170.6,-62.6,-42.1,133.1,-49.3,102.9,222.3,18.8,-53.4,-293.7,19.7,-219.4,-153.6
chilean_match_declarative-narrow-focus_Mariano-habla-del-tiempo,562.9,1694.3,2837,72,100.2,-73.8,14,56.4,0.6,-13.6,247.2,-10.7,135.1,-264.4,25.1,25.2,-155.8,-56.5
chilean_match_declarative-narrow-focus_Marta-abre-el-regalo,596.2,1690.9,2428.9,96.8,-68.7,112.9,36,-104.4,97.2,-50,75.1,43.8,-71,-136.3,11,35.8,28.8,-28.5
chilean_match_interrogative-partial-wh_Cuando-bebia-el-vino,429,1738.6,2598.5,61.8,-50.8,-161.8,79.3,-471.9,-173,-51.5,179,108.1,68.6,-48.1,89,29.5,241.7,219.6
chilean_match_interrogative-partial-wh_Cuando-leia-el-libro,430.5,1912.9,2682.5,26.8,35.5,-55.3,74.9,-638.1,-310.2,-20.3,30.5,72.5,20,-85.8,-12.4,83.7,90.1,84.5
chilean_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,481.3,1758,2778.5,25.3,111.6,-39.9,29.8,-384.2,-66.6,-27.3,52.8,-26.2,116.9,-360.8,-197.7,42.7,-41.7,-27.6
chilean_match_interrogative-partial-wh_Cuando-vendia-el-carro,533.8,1646.6,2503.5,-72.4,148.4,-19.9,9.9,-512.3,-234,120.5,-57.9,-154.2,-12.1,38,186,-21.4,109.1,-17.8
chilean_match_interrogative-partial-wh_Por-que-abre-el-regalo,525.5,1611.7,2440.9,-15.5,88.8,5.6,-25.5,-323.5,-32.5,37.7,107.1,10.4,-27.7,-161.1,50.3,-37.8,-65.6,-89.6
chilean_match_interrogative-partial-wh_Por-que-ama-la-navidad,528.9,1782.3,2659.2,-44.2,-150,-155.8,83.7,-96.8,17.5,-103.2,77.8,155.5,39.2,-235.7,-30.5,24.6,-104.5,-4.9
chilean_match_interrogative-partial-wh_Por-que-hablaba-del-agua,586.9,1684.1,2616.3,-21,115.7,73.7,-9.3,-144.8,-56.6,-47.7,-7.5,85.2,-7.4,-301.1,-61.9,11.9,-228.5,-19.6
chilean_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,504.7,1874.7,2714.3,66.2,-179.1,-1,12.7,-2.8,-6.7,-110.3,138.1,60.8,39.8,-368.1,-94.6,79,-236.3,-143.6
chilean_match_interrogative-total-yn_Ana-lleva-el-abrigo,488,1796,2752.6,61.5,318,95.4,39.8,-252.6,50.3,-9.2,174.9,59.6,131.7,-274.3,-180.1,70.9,-135.5,-48.4
chilean_match_interrogative-total-yn_Daniel-iba-a-Bolivia,477.2,1977.4,2759.7,-44.1,48.4,127.9,58.9,186.4,162.3,-107.8,178.9,142.4,110.1,-405.6,-80.9,27,-183.8,41.5
chilean_match_interrogative-total-yn_David-leia-el-libro,430,1923.5,2704.8,6.2,383.4,127.9,64,-425.3,-153.5,-24.6,41.2,64.6,17.2,-88.1,-25,89.9,-27.9,-127.9
chilean_match_interrogative-total-yn_Emilio-ama-la-marcha,541.3,1814.5,2701.8,-101.1,117.1,98.8,-101.8,244.3,125.7,-15.5,120.3,-2.1,1,-90,-46.3,73.9,-103.3,-71.1
chilean_match_interrogative-total-yn_Manuela-vende-el-carro,532.9,1635.5,2490.4,-47.6,165.1,-34.7,7.3,-265.5,2.1,60.2,54.4,-45.5,-72.6,-36.5,49,21.7,-21.9,-107.1
chilean_match_interrogative-total-yn_Maria-bebe-el-vino,453.5,1885.8,2743.1,65,304.9,72.7,61.2,-162.6,32.1,-65.6,273.1,173.3,21.6,-307.2,-196,68.6,-175,-53.7
chilean_match_interrogative-total-yn_Mariano-habla-del-tiempo,502,1784.9,2717.7,56.9,268.2,33.4,29.5,-244.6,9.5,-94.8,433.2,187.7,-19.5,0.7,20,19.3,-67.8,29.8
chilean_match_interrogative-total-yn_Marta-abre-el-regalo,579.8,1641.1,2629.6,85.1,130.2,35.5,35.7,-288.3,2.8,-2,132.3,-11.7,-73.5,-149.3,23.1,-56,36.5,-34.5
chilean_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,425,1948.6,2812.9,74,-60.1,-107.3,-28.4,234.5,-25.1,-36,21.4,3.6,-22.5,52.7,53.2,-25.3,83.1,31.4
chilean_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,463.1,1746.5,2639.7,-63.8,144,14.5,55.5,-90.6,60.7,-22.2,-72,-23.4,38.9,404.6,147.1,-48.6,119.2,20.6
chilean_mismatch_declarative-broad-focus_El-nino-oye-el-rio,470.3,1835.9,2811.8,-14.6,145.7,63.8,-108.6,341.2,48.5,-43.6,215.9,-35.3,81.1,-257,-39.7,92.9,51.1,-88.2
chilean_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,560.9,1892,2715,88.1,-116.9,-14.2,76.3,-58,9.9,-64.2,-185,-124.2,-50.2,-25,3.6,-67.5,42.4,11.9
chilean_mismatch_declarative-broad-focus_La-nina-lava-el-plato,563.5,1763.2,2655.8,-139.1,112.3,62.9,-20.4,58.4,100.4,-21.3,71.7,-12.7,46.5,-19.7,-82,102.4,78.4,-78.2
chilean_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,547.2,1657,2648.7,-14.2,174,85.1,-84.5,-6.5,119.4,-67.9,6.1,-28,-174.1,-60.1,15.4,-56.1,123.8,-16.4
chilean_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,505.5,1759.9,2664.1,-78.8,152.5,44.7,12.3,-286,-2.1,-44.1,272.1,84.5,-41.9,70.1,32.9,-28.7,230.3,4.1
chilean_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,473,1988.4,2865.9,40.7,66.7,67.3,-116.6,245.7,106.6,-128.8,220.2,28.4,-29.1,-36.4,1.4,-12.4,-395.4,-69.3
chilean_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,463.9,1897.6,2773.7,30.5,-74.5,-44.4,-9.1,181.1,-4,-3.6,28,-10.1,-21.3,41.5,121.5,-54.4,240.6,16.5
chilean_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,541.2,1833.7,2716.6,-51.9,113.8,-21,156,79.3,127.6,-11.6,65.7,0.4,185.1,460.7,250.2,-66,9.4,36.3
chilean_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,453.1,1973.5,2859.2,0.9,71.8,82,-30.7,227.7,104.1,6,236.6,-88.5,58.8,-86.4,-52.2,81.4,-70.8,-30.3
chilean_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,578.6,1900.2,2682.3,17,-135.8,-68.3,124.3,-82.6,-15.4,-90.3,14.9,1.6,6.4,-221,-70.1,-128.9,14,-6.1
chilean_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,567.6,1803.2,2775.7,-77,168.4,99.4,29.5,-9.9,36.4,-9,66.9,41.5,107.2,-30.6,-103.6,107.1,100.5,-49.4
chilean_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,593,1675.5,2708.3,-76.9,138.6,12.2,17.8,91.3,116.2,-23.9,10,-61.7,-44.5,2,31.2,-151.7,-97.5,-113.8
chilean_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,500.2,1880.3,2774.1,-98.7,159.2,-24.6,-3.2,-276.9,10.6,-32.2,94.1,-9.5,-26.3,-60.9,14.1,9.9,22.2,-33.1
chilean_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,507.1,1913.8,2676.3,-1.2,80.5,-32.9,-91.7,220.6,141.8,-154.5,213,85.3,0.7,-71.3,36.8,-25.8,-311.2,-27
chilean_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,575.4,1672.1,2873,-62.8,-174.1,-65.7,-12.9,-229.8,-10.1,56.1,-49.1,-27.8,34.6,146.3,-30.1,-70.8,184.9,10
chilean_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,547.1,1522.4,2732.2,4.3,51.7,-12.6,-22.4,-267.9,-88.9,-4.6,193.2,45.7,-53.6,-189.9,-67.5,89.5,-101.4,-20.9
chilean_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,483.5,1654.1,2744,-1,23.2,-64.8,-33.8,-159.5,-13.4,-47.6,-198.7,-43.3,115,18.6,-164.3,63.7,-201.3,-51.1
chilean_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,454.2,1961.8,2856.2,101.8,-233.4,-151.7,26.3,-40.5,49,11.9,15.8,8.6,-56,-305.6,-27.2,13.2,20.4,-71.9
chilean_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,488.4,1920.6,2837.3,66.4,-76.2,-86.6,3.9,-105.1,-53.1,-30.2,97.9,87.2,58,-215.9,-52,-20.7,-223.2,47.5
chilean_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,507.7,1660.4,2634.6,28.3,141.4,12.6,8.4,-327.1,-176.5,-45.4,82.4,27,-0.7,-127.1,-103.5,-31.5,-225.6,76
chilean_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,558.1,1698.5,2682.2,-82.3,282.3,-45.5,-0.7,-465.6,-59.7,-5.1,-39.1,-44.6,4.6,-43.3,38.3,30.2,-177.1,-8.9
chilean_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris,471.4,1868.7,2687.3,-29.1,-78.2,-82.7,25.7,-153,-111.7,-10.7,-215,46.2,86.7,-171.7,-125.4,-62,-28.6,32.2
