file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35
andalusian_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,212,1.196,*,1,Navy,34,5750,660,2270,2876,370,1343,2634,455,1777,2700,491,1698,2744,892,1676,2689
andalusian_mismatch_declarative-broad-focus_El-nino-oye-el-rio,211.5,1.276,*,1,Pink,35,6350,445,2507,3173,385,2578,3020,410,2007,2834,442,1979,2658,480,1938,2815
andalusian_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,223.5,1.39,*,1,Maroon,36,5750,487,1908,2941,619,1872,2580,516,1885,2716,473,1735,2690,516,2161,2750
andalusian_mismatch_declarative-broad-focus_La-nina-lava-el-plato,204.6,1.154,*,1,Olive,37,5450,573,1974,2690,397,2148,2782,786,1480,2729,631,1655,2682,499,1372,2557
andalusian_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,212.3,1.262,*,1,Grey,38,6050,403,1961,2827,558,1728,2799,513,1353,2697,555,1637,2709,596,1667,2623
andalusian_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,200.2,1.424,*,1,Red,39,6050,386,1796,2918,442,1622,2873,446,1971,2985,505,1239,2727,586,1376,2569
andalusian_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,198.3,1.312,*,1,Blue,40,5750,344,2320,2957,549,2315,2879,492,1858,2829,432,2035,2861,722,1892,2708
andalusian_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,185.4,1.262,*,1,Green,41,6350,524,2210,2949,476,1995,2770,427,1721,2711,387,2439,2920,397,2191,3002
andalusian_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,200.5,1.282,*,1,Magenta,42,6800,527,2375,2954,410,1496,2723,524,2120,2925,448,1567,2816,826,2312,3192
andalusian_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,188.6,1.208,*,1,Black,43,6200,447,2364,3162,379,2006,2759,450,2003,2759,467,2115,2634,549,1624,2589
andalusian_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,200.7,1.138,*,1,Lime,44,5900,457,1688,2933,766,2050,2779,402,1799,2721,403,1833,2768,456,2274,2993
andalusian_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,188.5,1.354,*,1,Purple,45,5750,844,2067,2986,421,2132,2805,686,1282,2598,798,1602,2673,816,1753,2743
andalusian_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,188.7,1.33,*,1,Teal,46,5900,405,1914,2725,558,1805,2695,583,1660,2658,441,1673,2706,830,1738,2738
andalusian_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,186.3,1.16,*,1,Navy,47,5750,339,1889,2729,382,1790,2719,478,1936,2836,547,1783,2761,499,946,2609
andalusian_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,183.8,1.312,*,1,Pink,48,5900,345,2405,2868,545,1882,2884,483,1991,2788,397,1958,2844,587,1791,2637
andalusian_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,182.3,1.398,*,1,Maroon,49,5600,624,1472,2655,441,1138,2776,656,1834,2769,394,1423,2821,808,1621,2618
andalusian_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,188.9,1.23,*,1,Olive,50,5750,678,1371,2754,507,1532,2702,596,1074,2551,716,1706,2595,508,1389,2653
andalusian_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,194.3,1.278,*,1,Grey,51,5900,730,1611,2952,478,1664,2864,763,1720,2644,380,1341,2634,551,1798,2636
andalusian_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,184.5,1.352,*,1,Red,52,5750,447,1404,2645,498,2178,2868,397,2108,2858,405,1697,2904,453,2165,2953
andalusian_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,188.9,1.26,*,1,Blue,53,5750,465,1351,2645,515,1852,2824,738,1722,2647,421,2026,2879,601,1724,2596
andalusian_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,225.6,1.222,*,1,Green,54,5450,454,1354,2554,522,1394,2681,416,1827,2751,428,2031,2720,436,1223,2588
