file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35
castilian_match_interrogative-partial-wh_Cuando-bebia-el-vino,194.5,1.28,*,1,Black,147,7400,625,1912,3118,476,1964,2965,402,2583,3250,337,2192,3191,442,1790,3325
castilian_match_interrogative-partial-wh_Cuando-leia-el-libro,208.7,1.326,*,1,Lime,148,7100,574,1751,3104,454,1837,3002,401,2541,3227,326,2352,3378,455,1872,3095
castilian_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,210.2,1.234,*,1,Purple,149,7400,550,1902,3161,423,2294,3197,562,1868,3048,401,1993,3232,365,2143,3592
castilian_match_interrogative-partial-wh_Cuando-vendia-el-carro,204.6,1.312,*,1,Teal,150,5450,579,1442,2423,410,1976,2857,471,2312,3036,692,1712,2600,440,1090,2274
castilian_match_interrogative-partial-wh_Por-que-abre-el-regalo,200.9,1.336,*,1,Navy,151,5600,521,1600,2436,482,2040,2864,398,1968,2826,588,1667,2641,404,1453,2587
castilian_match_interrogative-partial-wh_Por-que-ama-la-navidad,218.1,1.246,*,1,Pink,152,5750,516,1569,2502,466,1861,2862,492,1735,2936,421,2089,2891,682,1789,2906
castilian_match_interrogative-partial-wh_Por-que-hablaba-del-agua,213.8,1.41,*,1,Maroon,153,6050,461,1716,2513,478,1809,2873,611,1661,2855,599,1695,2830,512,1226,2639
castilian_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,215.2,1.396,*,1,Olive,154,5750,479,1632,2502,450,2358,3005,715,1444,2648,330,2207,2840,390,1721,3044
castilian_match_interrogative-total-yn_Ana-lleva-el-abrigo,217.2,1.214,*,1,Grey,155,6350,727,1861,3211,382,2154,3078,609,1739,2831,343,2208,3047,392,1203,2800
castilian_match_interrogative-total-yn_Daniel-iba-a-Bolivia,210.1,1.234,*,1,Red,156,5600,367,1979,3002,436,2141,2978,528,1459,2583,340,2430,2932,354,1234,2286
castilian_match_interrogative-total-yn_David-leia-el-libro,205,1.376,*,1,Blue,157,5600,444,1855,2911,392,2293,3068,473,2546,3116,329,2162,3049,415,1444,2512
castilian_match_interrogative-total-yn_Emilio-ama-la-marcha,233.2,1.392,*,1,Green,158,4700,391,1963,2659,355,1291,1907,458,1441,1782,412,1259,2016,355,1172,1949
castilian_match_interrogative-total-yn_Manuela-vende-el-carro,215.7,1.436,*,1,Magenta,159,5750,399,1754,2516,555,1920,2868,417,2065,2964,630,1715,2686,444,1079,2421
castilian_match_interrogative-total-yn_Maria-bebe-el-vino,220.5,1.26,*,1,Black,160,5600,380,2022,3069,563,1973,2883,453,2034,2812,331,2187,2985,382,1463,2420
castilian_match_interrogative-total-yn_Mariano-habla-del-tiempo,213.2,1.524,*,1,Lime,161,5900,410,2076,3012,641,1675,2988,493,1836,2975,353,1968,3023,405,1035,2764
castilian_match_interrogative-total-yn_Marta-abre-el-regalo,203,1.386,*,1,Purple,162,5750,750,1687,2931,851,1723,3093,436,1923,2722,568,1700,2711,457,1583,2458
castilian_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,179.4,1.546,*,1,Teal,163,6650,483,2120,2938,468,2140,2844,437,1983,2668,367,2160,2661,313,2008,3048
castilian_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,185.4,1.314,*,1,Navy,164,6800,472,2020,2912,376,1967,2733,431,2050,2961,395,1863,2910,1011,1894,3310
castilian_mismatch_declarative-broad-focus_El-nino-oye-el-rio,216.9,1.356,*,1,Pink,165,4700,413,2006,2637,309,1398,2709,464,1253,2514,454,1940,2812,357,1963,2637
castilian_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,187.3,1.546,*,1,Maroon,166,5750,643,1783,2848,582,2069,3034,409,2030,2790,394,1890,2808,374,2119,3129
castilian_mismatch_declarative-broad-focus_La-nina-lava-el-plato,205.9,1.414,*,1,Olive,167,6350,402,2065,3107,407,2323,3046,622,1731,2910,496,1769,2885,549,1763,3083
castilian_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,211.2,1.44,*,1,Grey,168,5600,377,1940,2630,450,2005,3003,433,1856,2514,631,1689,2705,427,1783,2813
castilian_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,191.9,1.462,*,1,Red,169,5600,406,1873,2661,443,1815,2578,439,2152,3090,489,1919,2957,484,1291,2339
castilian_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,187.1,1.254,*,1,Blue,170,6950,356,2216,2953,588,2274,3484,506,1918,2965,358,2061,3094,398,2025,2960
castilian_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,196.6,1.43,*,1,Green,171,5450,485,2071,2743,464,2070,2745,455,1980,2634,357,2170,2658,319,1885,2381
castilian_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,216.7,1.228,*,1,Magenta,172,6650,516,1897,2977,330,2035,2832,453,1933,3230,408,1770,2888,668,1856,3176
castilian_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,217.1,1.342,*,1,Black,173,5300,435,2166,2985,324,1601,2893,492,2045,2961,395,1940,2802,352,1700,2568
castilian_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,205,1.672,*,1,Lime,174,5450,590,1755,2797,601,2003,2925,416,2015,2789,411,1929,2728,558,2034,2956
castilian_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,206.8,1.286,*,1,Purple,175,6350,440,1984,3037,535,1964,3302,575,1740,2876,469,1743,2895,677,1795,3087
castilian_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,221.5,1.44,*,1,Teal,176,5450,416,1835,2698,493,1989,2953,541,1745,2647,637,1731,2731,555,1765,2950
castilian_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,201.6,1.436,*,1,Navy,177,5750,415,1917,2809,412,2152,2943,476,2114,3003,483,1826,2846,498,1245,2614
castilian_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,199.5,1.37,*,1,Pink,178,5750,354,2124,2777,576,1914,3081,526,1894,2883,352,1999,2778,405,1939,2933
castilian_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,220,1.346,*,1,Maroon,179,4700,533,1414,2260,428,1052,1867,500,1534,2112,556,1649,2511,478,1500,1927
castilian_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,224.3,1.276,*,1,Olive,180,5900,512,1587,2828,716,1621,2906,579,1821,2678,579,1672,2874,489,1570,2514
castilian_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,220.8,1.272,*,1,Grey,181,7400,527,1820,3153,348,2047,3431,704,1913,3169,432,1785,3040,414,1759,3383
castilian_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,212.4,1.464,*,1,Red,182,5750,494,1713,2431,467,1980,2872,410,2104,2847,358,1878,2607,366,1917,3040
castilian_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,209.9,1.5,*,1,Blue,183,6200,459,1727,2567,460,2038,2862,628,1744,2887,355,1986,2765,449,1932,3153
castilian_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,219.5,1.312,*,1,Green,184,5450,501,1550,2374,553,1883,2754,466,2242,2849,402,1841,2754,489,1588,2788
castilian_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,223.8,1.398,*,1,Magenta,185,5750,475,1807,2536,368,1991,2909,541,1988,3010,433,1789,3116,384,956,2353
castilian_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris,233.8,1.434,*,1,Black,186,5600,482,1603,2426,403,2343,2843,408,1899,2533,460,2261,3030,467,1999,3000
castilian_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien,193.9,1.418,*,1,Lime,187,5750,429,2107,2823,447,1979,2644,351,1793,2669,365,2097,2617,385,1901,2752
castilian_mismatch_interrogative-total-yn_El-hombre-mira-la-luna,219.7,1.24,*,1,Purple,188,7250,437,1958,2977,359,1916,2906,523,1940,3089,390,1756,2836,401,1641,3444
castilian_mismatch_interrogative-total-yn_El-nino-oye-el-rio,214.3,1.408,*,1,Teal,189,5750,438,2296,3149,372,1867,2963,455,2019,2849,406,1997,2848,411,1777,2906
castilian_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris,227,1.704,*,1,Navy,190,5450,551,1835,2992,529,2027,3005,464,2065,2800,410,1937,2800,396,1965,2878
castilian_mismatch_interrogative-total-yn_La-nina-lava-el-plato,217.1,1.4,*,1,Pink,191,6200,426,2015,3038,396,2107,3123,599,1762,2747,475,1685,2789,498,1493,2752
castilian_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta,220,1.458,*,1,Maroon,192,5600,412,1874,2668,428,1954,2974,549,1788,2564,667,1708,2796,393,1627,2561
castilian_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago,213.4,1.484,*,1,Olive,193,5600,397,1803,2705,405,1906,2588,483,2063,2984,476,1871,2904,390,1080,2429
castilian_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia,205.3,1.412,*,1,Grey,194,6350,348,2258,3153,548,1901,3358,482,1898,2983,327,2090,3012,397,1924,2870
castilian_question_filler_Mi-esposo-conoce-al-chico,223.6,1.542,*,1,Red,195,5600,426,1993,2934,602,1475,2974,597,1745,2844,483,1958,2975,548,1454,2695
chilean_match_declarative-broad-focus_Ana-lleva-el-abrigo,165.7,1.048,*,1,Blue,196,5150,751,1707,2749,370,1486,2580,627,1755,2621,379,2302,2951,517,1296,2848
chilean_match_declarative-broad-focus_Daniel-iba-a-Bolivia,174.5,1.046,*,1,Green,197,5750,345,2070,2784,350,2199,2587,485,1475,2506,346,2343,2598,596,2232,2971
chilean_match_declarative-broad-focus_David-leia-el-libro,169.8,0.97,*,1,Magenta,198,5300,478,1726,2610,348,2117,2726,437,2405,2782,341,2408,2840,342,1926,2709
chilean_match_declarative-broad-focus_Emilio-ama-la-marcha,189.3,1.244,*,1,Black,199,4700,363,1914,2420,480,1887,2167,546,1320,1689,518,1326,1940,746,1690,2332
chilean_match_declarative-broad-focus_Manuela-vende-el-carro,160.6,1.136,*,1,Lime,200,5750,356,1484,2625,485,1694,2630,314,1925,2903,413,1731,2618,441,1294,2514
chilean_match_declarative-broad-focus_Maria-bebe-el-vino,176.5,0.916,*,1,Purple,201,5450,566,1913,2896,462,2485,2940,545,1760,2644,327,1952,2707,301,1661,2708
chilean_match_declarative-broad-focus_Mariano-habla-del-tiempo,186.9,1.418,*,1,Teal,202,5300,497,1861,2755,762,1382,2724,655,1503,2703,400,1863,2712,339,1292,2551
chilean_match_declarative-broad-focus_Marta-abre-el-regalo,173.4,1.048,*,1,Navy,203,5300,549,1634,2843,860,1670,2791,383,1621,2751,529,1727,2606,408,1492,2595
chilean_match_declarative-narrow-focus_Ana-lleva-el-abrigo,170,1.03,*,1,Pink,204,5900,608,1839,3102,419,1933,2839,378,1778,2858,316,2418,3179,411,1226,3137
chilean_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,176.5,0.868,*,1,Maroon,205,5750,365,2022,3165,398,2404,2832,558,1162,2613,343,2629,2971,405,2013,3026
chilean_match_declarative-narrow-focus_David-leia-el-libro,171.3,1.076,*,1,Olive,206,5750,435,1854,2847,381,2171,2890,352,2237,2970,345,1957,2926,370,1640,2906
chilean_match_declarative-narrow-focus_Emilio-ama-la-marcha,182.7,1.228,*,1,Grey,207,5600,322,2082,2913,498,1668,2541,592,1533,2543,584,1646,2572,874,1878,3129
chilean_match_declarative-narrow-focus_Manuela-vende-el-carro,179,0.956,*,1,Red,208,6200,374,1673,2555,586,1773,2398,374,1835,2563,547,1971,2697,624,1587,2319
chilean_match_declarative-narrow-focus_Maria-bebe-el-vino,167.8,0.934,*,1,Blue,209,4700,339,1415,2207,451,1334,1911,460,1274,1937,308,1619,2690,288,1573,2707
chilean_match_declarative-narrow-focus_Mariano-habla-del-tiempo,185.7,1.698,*,1,Green,210,5750,475,1897,2731,559,1614,2649,682,1521,2836,401,2034,3005,388,1401,2896
chilean_match_declarative-narrow-focus_Marta-abre-el-regalo,180,1.054,*,1,Magenta,211,5750,709,1699,2627,730,1661,2390,483,1698,2372,544,1898,2348,554,1800,2383
chilean_match_interrogative-partial-wh_Cuando-bebia-el-vino,189.6,1.19,*,1,Black,212,5600,597,1518,2561,492,1618,2607,381,2126,2867,278,1927,2797,431,1187,2629
chilean_match_interrogative-partial-wh_Cuando-leia-el-libro,186.9,1.07,*,1,Lime,213,6200,353,1534,2450,441,2174,2758,348,2384,2901,312,1979,2821,474,1341,2474
chilean_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,192.7,1.124,*,1,Purple,214,6050,550,1528,2636,466,2218,2676,607,1842,2642,350,2116,2917,547,1159,2679
chilean_match_interrogative-partial-wh_Cuando-vendia-el-carro,199.5,1.266,*,1,Teal,215,5900,520,1454,2402,429,1845,2596,380,2056,2846,709,1721,2483,584,1119,2511
chilean_match_interrogative-partial-wh_Por-que-abre-el-regalo,186.3,1.226,*,1,Navy,216,5450,480,1422,2487,513,1793,2408,544,1702,2511,610,1790,2481,548,1114,2528
chilean_match_interrogative-partial-wh_Por-que-ama-la-navidad,176.5,1.136,*,1,Pink,217,6050,474,1482,2636,559,1677,2333,420,1744,2691,357,1933,2912,758,1751,2726
chilean_match_interrogative-partial-wh_Por-que-hablaba-del-agua,177.9,1.444,*,1,Maroon,218,6200,479,1425,2659,546,1955,2620,585,1565,2645,519,1862,2689,606,1439,2528
chilean_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,203,0.984,*,1,Olive,219,6050,507,1628,2782,489,1663,2648,580,1433,2666,299,2255,2861,554,1834,2670
chilean_match_interrogative-total-yn_Ana-lleva-el-abrigo,192.4,1.194,*,1,Grey,220,6050,561,1866,2854,446,2112,2671,542,1791,2620,322,2088,2874,511,1105,2695
chilean_match_interrogative-total-yn_Daniel-iba-a-Bolivia,195.5,1.014,*,1,Red,221,6200,396,2104,3011,412,2271,2729,556,1366,2513,312,2323,2855,714,1840,2628
chilean_match_interrogative-total-yn_David-leia-el-libro,191.1,1.154,*,1,Blue,222,6050,433,1873,2747,407,2313,2819,367,2084,2742,302,1844,2613,501,1158,2501
chilean_match_interrogative-total-yn_Emilio-ama-la-marcha,195.5,1.282,*,1,Green,223,6200,351,2326,2826,557,1412,2656,647,1652,2586,545,1775,2654,648,1776,2675
chilean_match_interrogative-total-yn_Manuela-vende-el-carro,183.8,1.24,*,1,Magenta,224,5600,417,1641,2498,527,1810,2571,401,1845,2533,690,1656,2641,533,1078,2644
chilean_match_interrogative-total-yn_Maria-bebe-el-vino,184.5,1.154,*,1,Black,225,5900,372,2187,2901,560,1871,2649,323,1841,2564,342,2121,3056,481,1144,2638
chilean_match_interrogative-total-yn_Mariano-habla-del-tiempo,190.7,1.316,*,1,Lime,226,6050,485,2151,2892,610,1544,2576,391,1988,2720,335,1913,2790,532,1007,2612
chilean_match_interrogative-total-yn_Marta-abre-el-regalo,190,1.206,*,1,Purple,227,6050,634,1694,2677,691,1727,2667,531,1848,2648,537,1810,2635,554,1102,2638
chilean_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,172,1.216,*,1,Teal,228,5900,479,2084,2721,529,1851,2702,333,1887,2893,363,1672,2844,328,2174,2923
chilean_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,171.1,1.068,*,1,Navy,229,5900,479,1782,2716,381,1848,2569,354,1987,2657,406,1400,2510,388,1701,2806
chilean_mismatch_declarative-broad-focus_El-nino-oye-el-rio,183.5,1.344,*,1,Pink,230,5450,342,2421,2885,395,1558,2889,667,1241,2725,392,1770,2736,424,1727,2801
chilean_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,205.4,1.17,*,1,Maroon,231,5600,789,1617,2736,699,1985,2821,404,2011,2795,420,1728,2617,462,2032,2789
chilean_mismatch_declarative-broad-focus_La-nina-lava-el-plato,181.1,1.006,*,1,Olive,232,5900,347,2099,2805,383,1836,2592,715,1681,2507,514,1747,2627,722,1713,2736
chilean_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,198.5,1.144,*,1,Grey,233,6050,310,1575,2751,722,1765,2759,477,1285,2517,682,1796,2570,411,1241,2606
chilean_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,191.7,1.39,*,1,Red,234,5300,350,1720,2760,509,1509,2631,468,2097,2712,419,1958,2729,596,1362,2533
chilean_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,165.8,1.286,*,1,Blue,235,5750,327,2391,3000,741,1691,2757,553,1520,2755,380,2085,2732,350,1928,2757
chilean_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,181.1,1.244,*,1,Green,236,5600,503,1936,2725,542,1434,2645,395,1678,2940,390,1854,2683,406,2086,2903
chilean_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,178.5,1.146,*,1,Magenta,237,5450,538,2315,2825,387,1495,2518,410,1943,2678,432,1706,2604,752,1750,2829
chilean_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,176.1,1.214,*,1,Black,238,5450,371,2379,2932,380,1562,2856,510,1852,2747,426,1759,2574,392,2303,2839
chilean_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,172.9,1.278,*,1,Lime,239,5450,677,1686,2581,561,1901,2644,464,1710,2622,385,2085,2747,731,1863,2679
chilean_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,180.5,1.17,*,1,Purple,240,5750,422,2004,2881,406,2016,2777,623,1738,2593,403,1776,2891,744,1657,2611
chilean_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,195.6,1.116,*,1,Teal,241,5450,348,1728,2810,543,1975,2678,534,1357,2637,693,1645,2650,690,1702,2820
chilean_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,172.6,1.316,*,1,Navy,242,5600,337,1690,2785,461,2208,2800,496,2035,2740,514,2145,2921,580,1436,2803
chilean_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,180.2,1.388,*,1,Pink,243,5300,335,2252,2800,717,1708,2410,551,1479,2669,428,2105,2665,393,1843,2752
chilean_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,200.4,1.19,*,1,Maroon,244,6050,590,1477,2802,539,1271,2891,585,1831,2851,480,1749,2954,698,1723,2884
chilean_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,202.5,1.226,*,1,Olive,245,6200,549,1487,2602,641,1530,2741,513,1689,2785,628,1752,2749,521,1106,2679
chilean_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,183.1,1.196,*,1,Grey,246,6050,421,1485,2655,393,1942,2917,645,1767,2674,331,1501,2826,530,1747,2800
chilean_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,174.8,1.4,*,1,Red,247,6200,526,1644,2763,547,1862,2751,363,1706,2756,369,2460,2940,331,2177,2966
chilean_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,180.1,1.424,*,1,Blue,248,6350,497,1635,2822,519,1616,2698,566,1869,2772,331,2111,3008,458,1804,2781
chilean_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,181.9,1.366,*,1,Green,249,5150,510,1486,2610,592,1781,2635,469,2105,2840,486,1503,2764,538,1132,2530
chilean_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,181.3,1.28,*,1,Magenta,250,5450,492,1589,2705,517,2121,2658,593,1945,2783,646,1694,2672,600,994,2665
chilean_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris,180.5,1.328,*,1,Black,251,5150,518,1445,2692,390,2080,2692,491,1735,2690,394,2098,2868,621,1873,2553
chilean_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien,185.6,1.366,*,1,Lime,252,6200,450,2028,2762,526,2012,2773,420,1851,2820,342,2196,3014,489,2150,2977
chilean_mismatch_interrogative-total-yn_El-hombre-mira-la-luna,216.7,1.134,*,1,Purple,253,5600,542,2184,2821,365,1712,2627,525,1784,2635,362,1446,2604,782,1659,2730
chilean_mismatch_interrogative-total-yn_El-nino-oye-el-rio,196.1,1.22,*,1,Teal,254,5150,421,2303,2896,670,1319,2764,475,1711,2686,415,1924,2867,535,1124,2570
chilean_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris,196,1.254,*,1,Navy,255,5000,666,1480,2360,555,1896,2372,442,1901,2633,462,1851,2230,389,2040,2724
chilean_mismatch_interrogative-total-yn_La-nina-lava-el-plato,189.6,1.102,*,1,Pink,256,5300,376,1978,2731,480,1744,2606,572,1639,2443,650,1629,2611,554,1097,2650
chilean_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta,195.1,1.238,*,1,Maroon,257,6350,353,1767,2851,555,1851,2616,611,1780,2564,412,1734,3027,688,1669,2912
chilean_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago,192.6,1.236,*,1,Olive,258,6200,351,1799,2879,391,2001,2816,514,1909,2715,532,1753,2648,544,934,2628
chilean_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia,174.2,1.318,*,1,Grey,259,5450,362,2516,2930,733,1772,2366,548,1438,2968,425,1958,2851,575,1922,2721
chilean_question_filler_Mi-padre-cantaba-bien,212.5,1.108,*,1,Red,260,5600,474,1876,2770,569,1855,2767,596,1581,2100,506,2237,2919,340,1949,2974
cuban_match_declarative-broad-focus_Ana-lleva-el-abrigo,165.8,1.184,*,1,Blue,261,5600,815,1791,2832,536,2220,2505,555,1818,2428,470,1819,2536,408,1412,2808
cuban_match_declarative-broad-focus_Daniel-iba-a-Bolivia,167.4,1.532,*,1,Green,262,5450,545,2073,2714,412,2329,2717,531,1235,2599,358,2243,2742,146,1678,2449
cuban_match_declarative-broad-focus_David-leia-el-libro,153.2,1.362,*,1,Magenta,263,5150,657,1712,2505,434,2344,2680,454,2424,2769,371,2182,2710,446,1462,2373
cuban_match_declarative-broad-focus_Emilio-ama-la-marcha,195.6,1.178,*,1,Black,264,5600,432,2199,2807,520,2173,2888,866,1526,2970,748,1595,2785,722,1889,2680
cuban_match_declarative-broad-focus_Manuela-vende-el-carro,157.4,1.342,*,1,Lime,265,5600,540,1527,2472,635,1819,2381,536,1964,2487,489,2168,2465,461,1719,2383
cuban_match_declarative-broad-focus_Maria-bebe-el-vino,153.9,1.202,*,1,Purple,266,5450,695,1562,2701,543,2294,2778,527,1761,2346,362,2084,2794,420,1762,2317
cuban_match_declarative-broad-focus_Mariano-habla-del-tiempo,180.1,1.412,*,1,Teal,267,5300,621,1804,2687,685,1939,2576,723,1455,2494,528,2029,2592,426,1482,2329
cuban_match_declarative-broad-focus_Marta-abre-el-regalo,154.4,1.278,*,1,Navy,268,5750,628,1794,2618,838,1742,2627,524,1959,2518,511,2090,2549,578,1671,2470
cuban_match_declarative-narrow-focus_Ana-lleva-el-abrigo,178.7,1.034,*,1,Pink,269,5900,786,1863,2958,538,2325,2569,639,1860,2494,401,1932,2769,363,1501,2788
cuban_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,175.8,1.236,*,1,Maroon,270,5600,567,2139,2789,407,2348,2720,567,1466,2773,359,2193,2697,349,2030,2511
cuban_match_declarative-narrow-focus_David-leia-el-libro,170.3,1.302,*,1,Olive,271,5300,536,1726,2494,391,2350,2766,484,2398,2720,388,2167,2755,401,1656,2481
cuban_match_declarative-narrow-focus_Emilio-ama-la-marcha,171.1,1.21,*,1,Grey,272,5750,451,2285,2545,452,2360,2699,733,1466,2666,637,1624,2670,535,1977,2541
cuban_match_declarative-narrow-focus_Manuela-vende-el-carro,174.5,1.328,*,1,Red,273,5600,489,1503,2182,617,1765,2472,507,2084,2664,670,1857,2437,172,1598,2231
cuban_match_declarative-narrow-focus_Maria-bebe-el-vino,172.6,1.038,*,1,Blue,274,5450,626,1942,2706,549,1999,2590,518,1819,2496,369,2182,2759,457,1664,2136
cuban_match_declarative-narrow-focus_Mariano-habla-del-tiempo,178,1.19,*,1,Green,275,4850,628,2013,2226,641,1703,2111,550,2074,2294,441,1845,2495,160,931,1940
cuban_match_declarative-narrow-focus_Marta-abre-el-regalo,172.2,1.128,*,1,Magenta,276,5600,715,1755,2675,575,1902,2519,551,2044,2630,649,1804,2437,153,1395,2252
cuban_match_interrogative-partial-wh_Cuando-bebia-el-vino,175.8,1.068,*,1,Black,277,6950,688,1483,3502,459,1632,2737,410,2210,2535,374,2124,2842,400,1925,2795
cuban_match_interrogative-partial-wh_Cuando-leia-el-libro,212.8,1.132,*,1,Lime,278,5900,619,1590,2641,540,2163,2714,455,2174,2859,364,2205,2672,482,1588,2367
cuban_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,186.4,1.126,*,1,Purple,279,4700,630,1293,1683,472,1869,2201,606,1659,1781,424,1788,2380,393,1192,2407
cuban_match_interrogative-partial-wh_Cuando-vendia-el-carro,171.2,1.114,*,1,Teal,280,4700,568,1376,1864,484,1599,2042,454,2098,2459,729,1740,2254,377,1585,2082
cuban_match_interrogative-partial-wh_Por-que-abre-el-regalo,169,1.17,*,1,Navy,281,5900,504,1576,2389,652,2158,2500,541,1884,2443,552,2011,2501,487,1611,2425
cuban_match_interrogative-partial-wh_Por-que-ama-la-navidad,209.9,1.122,*,1,Pink,282,5750,467,1357,2625,798,2001,2449,667,1720,2548,476,1576,2118,723,1882,2543
cuban_match_interrogative-partial-wh_Por-que-hablaba-del-agua,187.2,1.326,*,1,Maroon,283,5750,512,1589,2458,546,1782,2482,692,1704,2701,657,1571,2741,629,1328,2723
cuban_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,197.9,1.152,*,1,Olive,284,6050,425,1333,2598,616,2239,2626,545,1402,2545,383,2235,2594,474,1946,2563
cuban_match_interrogative-total-yn_Ana-lleva-el-abrigo,193.8,1.074,*,1,Grey,285,5450,802,1801,2803,572,2160,2467,568,1740,2557,421,2322,2793,465,1150,2148
cuban_match_interrogative-total-yn_Daniel-iba-a-Bolivia,201.8,1.258,*,1,Red,286,5900,669,2099,2794,461,2389,2770,573,1305,2646,444,2236,2691,636,1927,2716
cuban_match_interrogative-total-yn_David-leia-el-libro,197.5,1.264,*,1,Blue,287,5750,557,1823,2557,450,2385,2792,440,2296,2852,406,2274,2842,479,1470,2371
cuban_match_interrogative-total-yn_Emilio-ama-la-marcha,194,1.226,*,1,Green,288,5600,414,2309,2587,683,1620,2703,699,1656,2673,735,1859,2684,495,1749,2459
cuban_match_interrogative-total-yn_Manuela-vende-el-carro,187,1.17,*,1,Magenta,289,5600,658,1677,2633,648,1828,2486,491,2237,2774,811,1864,2599,508,1455,2170
cuban_match_interrogative-total-yn_Maria-bebe-el-vino,182.3,1.274,*,1,Black,290,5750,357,1369,2124,588,2206,2700,512,1757,2509,420,2443,2921,338,1624,2070
cuban_match_interrogative-total-yn_Mariano-habla-del-tiempo,185.8,1.39,*,1,Lime,291,5750,591,2081,2825,687,1716,2528,544,1941,2801,492,2097,2576,418,933,2237
cuban_match_interrogative-total-yn_Marta-abre-el-regalo,179.5,1.202,*,1,Purple,292,5300,664,1694,2554,607,1860,2480,532,2003,2354,787,1803,2589,497,1321,2446
cuban_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,177.1,1.274,*,1,Teal,293,6350,523,2048,2480,546,1583,2545,483,1765,2579,447,2070,2560,147,2098,3252
cuban_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,175.9,1.084,*,1,Navy,294,5600,555,1895,2550,427,1689,2240,584,1940,2777,476,1729,2651,174,1639,2004
cuban_mismatch_declarative-broad-focus_El-nino-oye-el-rio,169.8,1.34,*,1,Pink,295,6050,477,2301,2836,418,2305,3209,618,1314,3138,483,2164,2879,378,1732,2681
cuban_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,173.4,1.244,*,1,Maroon,296,5300,503,1813,2061,674,2097,2612,490,1855,2472,453,1776,2381,276,2006,2550
