session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Bilingual,Country of Birth,Current Country of Residence,Current U.S state of birth,Current U.S state of residence,Employment Status,English speaking Monolingual,Ethnicity,Ethnicity (Simplified),First language,First Language,Fluent languages,Hearing difficulties,Language related disorders,Literacy Difficulties,Mono/multi cultural,Nationality,Sex,Student Status,Were you raised monolingual?
605bd8172e9e8df228163db0,600be42e32909325b20ab5f0,APPROVED,2021-03-25 00:24:11.723000,2021-03-25 00:33:44.827000,573.104,22,152,1,100,2021-03-27 14:33:24.441000,3900423D,none just my native langauge,United States,United States,Michigan (MI),Michigan (MI),Unemployed (and job seeking),I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
605bdcc199c6644d87a84ef6,5cfea2427b91e70001423ffb,RETURNED,2021-03-25 00:44:32.258000,,419643.037571,32,1149,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
605be06a18a69811f8009ea1,5ec8ad205fa667395e141ce9,APPROVED,2021-03-25 00:59:32.152000,2021-03-25 01:11:17.192000,705.04,25,95,1,100,2021-03-27 14:33:46.664000,3900423D,none just my native langauge,United States,United States,Michigan (MI),Michigan (MI),Full-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
605be137a886b49d3287d474,5f2cd45cd689ae1ec67c848c,APPROVED,2021-03-25 01:02:50.986000,2021-03-25 01:12:13.603000,562.617,26,204,1,100,2021-03-27 14:35:08.370000,3900423D,none just my native langauge,United States,United States,Ohio (OH),Ohio (OH),Part-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,Yes,I was raised with my native language only
605be47b699d24b4bffbaaf1,5f7cdbfddd75001800fa84b9,APPROVED,2021-03-25 01:16:47.752000,2021-03-25 01:30:21.850000,814.098,23,164,1,100,2021-03-27 14:35:25.072000,3900423D,none just my native langauge,United States,United States,Ohio (OH),Ohio (OH),Part-Time,I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
605be6ef4a11ffaba3d7c3e5,5f865e9ac5be471b63865294,APPROVED,2021-03-25 01:27:44.922000,2021-03-25 01:47:17.872000,1172.95,33,247,1,100,2021-03-27 14:35:50.477000,3900423D,none just my native langauge,United States,United States,Maryland (MD),Maryland (MD),Full-Time,I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
605be8341361732587281771,5e7cf03fea45cb369b402703,RETURNED,2021-03-25 01:32:49.254000,,416746.078483,28,195,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
605beb422cf16ccc86878130,5fff542aeed8c2065133114e,RETURNED,2021-03-25 01:45:41.068000,,415974.264579,24,274,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
605bee83612bdce91a37d30d,6021f6c1f883e82b11739f31,APPROVED,2021-03-25 01:59:40.498000,2021-03-25 02:20:03.253000,1222.755,18,108,1,100,2021-03-27 13:18:51.037000,3900423D,none just my native langauge,United States,United States,Ohio (OH),Ohio (OH),,I only know English,White/Caucasian,White,English,,English,No,none,No,I identify myself as a monocultural individual,United States,Female,Yes,I was raised with my native language only
605bf23879bb483c4bd7cb8e,5e9a84af150a8012575e4784,APPROVED,2021-03-25 02:15:23.123000,2021-03-25 02:27:47.231000,744.108,39,731,2,100,2021-03-27 14:34:27.409000,3900423D,none just my native langauge,United States,United States,Maryland (MD),Wisconsin (WI),Full-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
