soundname, nsyll, npause, dur (s), phonationtime (s), speechrate (nsyll/dur), articulation rate (nsyll / phonationtime), ASD (speakingtime/nsyll)
chilean_question_filler_Felipe-no-tiene-contrasena, 7, 0, 1.46, 1.46, 4.79, 4.79, 0.209
chilean_question_filler_Isabel-puede-apagar-la-luz, 7, 0, 1.50, 1.50, 4.65, 4.65, 0.215
chilean_question_filler_Jaime-tenia-una-tienda, 4, 0, 1.34, 1.34, 2.98, 2.98, 0.336
chilean_question_filler_Jose-visitaba-la-playa, 7, 0, 1.27, 1.27, 5.53, 5.53, 0.181
chilean_question_filler_Juan-quiere-un-bistec, 4, 0, 1.17, 1.17, 3.43, 3.43, 0.292
chilean_question_filler_La-chica-abre-su-libro, 6, 0, 1.25, 1.25, 4.79, 4.79, 0.209
chilean_question_filler_La-vecina-sale-muy-temprano, 6, 0, 1.51, 1.51, 3.96, 3.96, 0.252
chilean_question_filler_Lucia-compra-el-jabon, 4, 0, 1.03, 1.03, 3.87, 3.87, 0.259
chilean_question_filler_Lucia-va-a-la-iglesia, 4, 0, 1.24, 1.24, 3.23, 3.23, 0.310
chilean_question_filler_Maria-se-peina-en-la-manana, 5, 0, 1.37, 1.37, 3.65, 3.65, 0.274
chilean_question_filler_Mi-amiga-mira-la-luna, 4, 0, 1.23, 1.23, 3.26, 3.26, 0.307
chilean_question_filler_Mi-amigo-no-comia-pollo, 8, 0, 1.36, 1.36, 5.90, 5.90, 0.170
chilean_question_filler_Mi-esposo-conoce-al-chico, 6, 0, 1.28, 1.28, 4.67, 4.67, 0.214
chilean_question_filler_Mi-familia-cenaba-tarde, 5, 0, 1.38, 1.38, 3.62, 3.62, 0.276
chilean_question_filler_Mi-hermano-cierra-la-puerta, 7, 0, 1.31, 1.31, 5.34, 5.34, 0.187
chilean_question_filler_Mi-hija-prefiere-los-perros, 7, 0, 1.42, 1.42, 4.93, 4.93, 0.203
chilean_question_filler_Mi-padre-cantaba-bien, 4, 0, 1.16, 1.16, 3.45, 3.45, 0.290
chilean_question_filler_Mi-vecino-habla-mucho, 4, 0, 1.23, 1.23, 3.25, 3.25, 0.307
chilean_question_filler_Mi-vecino-trae-comida, 4, 0, 1.25, 1.25, 3.20, 3.20, 0.312
chilean_question_filler_Pablo-lavaba-su-coche, 5, 0, 1.26, 1.26, 3.98, 3.98, 0.251
chilean_question_filler_Rogelio-cuida-a-los-ninos, 6, 0, 1.49, 1.49, 4.03, 4.03, 0.248
chilean_question_filler_Sandra-corre-en-el-parque, 6, 0, 1.50, 1.50, 4.00, 4.00, 0.250
chilean_question_filler_Sofia-no-quiere-la-revista, 6, 0, 1.65, 1.65, 3.63, 3.63, 0.275
chilean_statement_filler_Alberto-nunca-se-afeita, 7, 0, 1.50, 1.50, 4.66, 4.66, 0.215
chilean_statement_filler_Ana-practicaba-el-yoga, 5, 0, 1.23, 1.23, 4.08, 4.08, 0.245
chilean_statement_filler_Cocinabas-por-la-noche, 4, 0, 1.34, 1.34, 2.99, 2.99, 0.334
chilean_statement_filler_Compramos-en-el-supermercado, 8, 0, 1.47, 1.47, 5.43, 5.43, 0.184
chilean_statement_filler_Compro-un-regalo-para-Navidad, 4, 0, 1.27, 1.27, 3.15, 3.15, 0.318
chilean_statement_filler_Dibujabas-con-tu-amiga, 5, 0, 1.22, 1.22, 4.09, 4.09, 0.244
chilean_statement_filler_El-abrigo-es-muy-barato, 5, 0, 1.31, 1.31, 3.83, 3.83, 0.261
chilean_statement_filler_El-bano-no-es-muy-grande, 5, 0, 1.20, 1.20, 4.16, 4.16, 0.240
chilean_statement_filler_El-equipo-practica-mucho, 7, 0, 1.35, 1.35, 5.20, 5.20, 0.192
chilean_statement_filler_El-estudiante-odia-la-tarea, 7, 0, 1.62, 1.62, 4.32, 4.32, 0.232
chilean_statement_filler_El-hombre-da-un-paseo, 3, 0, 1.08, 1.08, 2.77, 2.77, 0.361
chilean_statement_filler_El-hotel-tiene-muchas-habitaciones, 11, 0, 1.88, 1.88, 5.85, 5.85, 0.171
chilean_statement_filler_El-nino-habla-con-su-madre, 3, 0, 1.31, 1.31, 2.29, 2.29, 0.436
chilean_statement_filler_Emilia-va-al-hospital, 5, 0, 1.23, 1.23, 4.08, 4.08, 0.245
chilean_statement_filler_Hago-ejercicio-todos-los-dias, 7, 0, 1.79, 1.79, 3.92, 3.92, 0.255
chilean_statement_filler_Isabel-duerme-por-muchas-horas, 9, 0, 1.87, 1.87, 4.82, 4.82, 0.208
chilean_statement_filler_Juana-barria-el-piso, 3, 0, 0.99, 0.65, 3.03, 4.64, 0.216
chilean_statement_filler_Karina-siempre-anda-en-bicicleta, 8, 0, 1.64, 1.64, 4.89, 4.89, 0.205
chilean_statement_filler_La-abuela-plancha-la-ropa, 6, 0, 1.15, 1.15, 5.22, 5.22, 0.192
chilean_statement_filler_La-ciudad-tiene-dos-bancos, 7, 0, 2.30, 1.70, 3.05, 4.12, 0.243
chilean_statement_filler_La-discoteca-es-muy-buena, 5, 0, 1.33, 1.33, 3.76, 3.76, 0.266
chilean_statement_filler_La-madre-pasa-la-aspiradora, 6, 0, 1.40, 1.40, 4.30, 4.30, 0.233
chilean_statement_filler_La-nina-pinta-con-su-amiga, 6, 0, 1.43, 1.43, 4.19, 4.19, 0.239
chilean_statement_filler_La-vista-de-la-casa-es-bonita, 5, 0, 1.25, 1.25, 4.00, 4.00, 0.250
chilean_statement_filler_Las-chicas-dan-una-fiesta-hoy, 7, 0, 2.04, 2.04, 3.44, 3.44, 0.291
chilean_statement_filler_Los-abuelos-compran-un-espejo, 6, 0, 1.51, 1.51, 3.98, 3.98, 0.252
chilean_statement_filler_Los-ninos-ganan-el-partido, 6, 0, 1.53, 1.53, 3.93, 3.93, 0.254
chilean_statement_filler_Luis-trabaja-todo-el-dia, 4, 0, 1.15, 1.15, 3.48, 3.48, 0.287
chilean_statement_filler_Mateo-piensa-en-las-compras, 8, 0, 1.64, 1.64, 4.89, 4.89, 0.205
chilean_statement_filler_Nadamos-en-la-piscina-por-la-tarde, 9, 0, 1.59, 1.59, 5.65, 5.65, 0.177
chilean_statement_filler_Roberto-cocina-por-la-manana, 7, 0, 1.32, 1.32, 5.30, 5.30, 0.189
chilean_statement_filler_Tu-cumpleanos-es-manana, 6, 0, 1.31, 1.31, 4.57, 4.57, 0.219
cuban_match_declarative-broad-focus_Ana-lleva-el-abrigo, 7, 0, 1.24, 1.24, 5.66, 5.66, 0.177
cuban_match_declarative-broad-focus_Daniel-iba-a-Bolivia, 8, 0, 1.58, 1.58, 5.05, 5.05, 0.198
cuban_match_declarative-broad-focus_David-leia-el-libro, 6, 0, 1.41, 1.41, 4.25, 4.25, 0.235
cuban_match_declarative-broad-focus_Emilio-ama-la-marcha, 6, 0, 1.23, 1.23, 4.89, 4.89, 0.205
cuban_match_declarative-broad-focus_Manuela-vende-el-carro, 6, 0, 1.39, 1.39, 4.31, 4.31, 0.232
cuban_match_declarative-broad-focus_Maria-bebe-el-vino, 3, 0, 1.25, 1.25, 2.40, 2.40, 0.417
cuban_match_declarative-broad-focus_Mariano-habla-del-tiempo, 4, 0, 1.46, 1.46, 2.73, 2.73, 0.366
cuban_match_declarative-broad-focus_Marta-abre-el-regalo, 4, 0, 1.33, 1.33, 3.01, 3.01, 0.332
cuban_match_declarative-narrow-focus_Ana-lleva-el-abrigo, 7, 0, 1.08, 1.08, 6.46, 6.46, 0.155
cuban_match_declarative-narrow-focus_Daniel-iba-a-Bolivia, 6, 0, 1.29, 1.29, 4.66, 4.66, 0.214
cuban_match_declarative-narrow-focus_David-leia-el-libro, 7, 0, 1.35, 1.35, 5.17, 5.17, 0.193
cuban_match_declarative-narrow-focus_Emilio-ama-la-marcha, 6, 0, 1.26, 1.26, 4.76, 4.76, 0.210
cuban_match_declarative-narrow-focus_Manuela-vende-el-carro, 6, 0, 1.38, 1.38, 4.35, 4.35, 0.230
cuban_match_declarative-narrow-focus_Maria-bebe-el-vino, 6, 0, 1.09, 1.09, 5.51, 5.51, 0.182
cuban_match_declarative-narrow-focus_Mariano-habla-del-tiempo, 4, 0, 1.24, 1.24, 3.22, 3.22, 0.310
cuban_match_declarative-narrow-focus_Marta-abre-el-regalo, 4, 0, 1.18, 1.18, 3.39, 3.39, 0.295
cuban_match_interrogative-partial-wh_Cuando-bebia-el-vino, 4, 0, 1.12, 1.12, 3.57, 3.57, 0.280
cuban_match_interrogative-partial-wh_Cuando-leia-el-libro, 4, 0, 1.18, 1.18, 3.38, 3.38, 0.296
cuban_match_interrogative-partial-wh_Cuando-lleva-el-abrigo, 5, 0, 1.18, 1.18, 4.25, 4.25, 0.235
cuban_match_interrogative-partial-wh_Cuando-vendia-el-carro, 5, 0, 1.16, 1.16, 4.29, 4.29, 0.233
cuban_match_interrogative-partial-wh_Por-que-abre-el-regalo, 4, 0, 1.22, 1.22, 3.28, 3.28, 0.305
cuban_match_interrogative-partial-wh_Por-que-ama-la-navidad, 5, 0, 1.17, 1.17, 4.27, 4.27, 0.234
cuban_match_interrogative-partial-wh_Por-que-hablaba-del-agua, 4, 0, 1.38, 1.38, 2.90, 2.90, 0.344
cuban_match_interrogative-partial-wh_Por-que-iba-a-Bolivia, 6, 0, 1.20, 1.20, 4.99, 4.99, 0.201
cuban_match_interrogative-total-yn_Ana-lleva-el-abrigo, 6, 0, 1.13, 1.13, 5.33, 5.33, 0.188
cuban_match_interrogative-total-yn_Daniel-iba-a-Bolivia, 6, 0, 1.31, 1.31, 4.58, 4.58, 0.218
cuban_match_interrogative-total-yn_David-leia-el-libro, 5, 0, 1.32, 1.32, 3.80, 3.80, 0.263
cuban_match_interrogative-total-yn_Emilio-ama-la-marcha, 4, 0, 1.28, 1.28, 3.13, 3.13, 0.319
cuban_match_interrogative-total-yn_Manuela-vende-el-carro, 5, 0, 1.22, 1.22, 4.09, 4.09, 0.244
cuban_match_interrogative-total-yn_Maria-bebe-el-vino, 4, 0, 1.33, 1.33, 3.02, 3.02, 0.331
cuban_match_interrogative-total-yn_Mariano-habla-del-tiempo, 5, 0, 1.44, 1.44, 3.47, 3.47, 0.288
cuban_match_interrogative-total-yn_Marta-abre-el-regalo, 4, 0, 1.25, 1.25, 3.19, 3.19, 0.313
cuban_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien, 5, 0, 1.32, 1.32, 3.77, 3.77, 0.265
cuban_mismatch_declarative-broad-focus_El-hombre-mira-la-luna, 6, 0, 1.13, 1.13, 5.29, 5.29, 0.189
cuban_mismatch_declarative-broad-focus_El-nino-oye-el-rio, 3, 0, 1.39, 1.39, 2.16, 2.16, 0.463
cuban_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris, 6, 0, 1.29, 1.29, 4.63, 4.63, 0.216
cuban_mismatch_declarative-broad-focus_La-nina-lava-el-plato, 4, 0, 1.22, 1.22, 3.27, 3.27, 0.306
cuban_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta, 6, 0, 1.37, 1.37, 4.39, 4.39, 0.228
cuban_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago, 5, 0, 1.40, 1.40, 3.57, 3.57, 0.280
cuban_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia, 6, 0, 1.47, 1.47, 4.08, 4.08, 0.245
cuban_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien, 4, 0, 1.10, 1.10, 3.64, 3.64, 0.275
cuban_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna, 6, 0, 1.22, 1.22, 4.91, 4.91, 0.204
cuban_mismatch_declarative-narrow-focus_El-nino-oye-el-rio, 6, 0, 1.24, 1.24, 4.83, 4.83, 0.207
cuban_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris, 5, 0, 1.21, 1.21, 4.15, 4.15, 0.241
cuban_mismatch_declarative-narrow-focus_La-nina-lava-el-plato, 3, 0, 1.16, 1.16, 2.58, 2.58, 0.388
cuban_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta, 6, 0, 1.26, 1.26, 4.78, 4.78, 0.209
cuban_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago, 6, 0, 1.32, 1.32, 4.56, 4.56, 0.220
cuban_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia, 4, 0, 1.30, 1.30, 3.08, 3.08, 0.325
cuban_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta, 6, 0, 1.03, 1.03, 5.83, 5.83, 0.171
cuban_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato, 5, 0, 1.22, 1.22, 4.10, 4.10, 0.244
cuban_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna, 4, 0, 1.17, 1.17, 3.42, 3.42, 0.292
cuban_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien, 4, 0, 1.36, 1.36, 2.95, 2.95, 0.339
cuban_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia, 3, 0, 1.38, 1.38, 2.18, 2.18, 0.459
cuban_mismatch_interrogative-partial-wh_Por-que-oia-el-rio, 5, 0, 1.29, 1.29, 3.86, 3.86, 0.259
cuban_mismatch_interrogative-partial-wh_Por-que-venia-del-lago, 2, 0, 1.04, 1.04, 1.93, 1.93, 0.519
cuban_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris, 4, 0, 1.09, 1.09, 3.67, 3.67, 0.272
cuban_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien, 5, 0, 1.29, 1.29, 3.86, 3.86, 0.259
cuban_mismatch_interrogative-total-yn_El-hombre-mira-la-luna, 6, 0, 1.11, 1.11, 5.40, 5.40, 0.185
cuban_mismatch_interrogative-total-yn_El-nino-oye-el-rio, 2, 0, 1.06, 1.06, 1.89, 1.89, 0.528
cuban_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris, 4, 0, 1.40, 1.40, 2.85, 2.85, 0.351
cuban_mismatch_interrogative-total-yn_La-nina-lava-el-plato, 7, 0, 1.19, 1.19, 5.89, 5.89, 0.170
cuban_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta, 8, 0, 1.27, 1.27, 6.32, 6.32, 0.158
cuban_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago, 3, 0, 1.36, 1.36, 2.21, 2.21, 0.453
cuban_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia, 5, 0, 1.22, 1.22, 4.11, 4.11, 0.243
cuban_question_filler_A-Jaime-le-gusta-su-piso, 7, 0, 1.38, 1.38, 5.06, 5.06, 0.198
cuban_question_filler_Carlos-escribe-una-carta, 6, 0, 1.27, 1.27, 4.74, 4.74, 0.211
cuban_question_filler_Carlos-trae-a-sus-hijos, 4, 0, 1.33, 1.33, 3.00, 3.00, 0.333
cuban_question_filler_Carolina-baila-flamenco, 8, 0, 1.47, 1.47, 5.43, 5.43, 0.184
cuban_question_filler_El-chico-escribia-una-carta, 6, 0, 1.42, 1.42, 4.22, 4.22, 0.237
cuban_question_filler_El-equipo-gana-la-competencia, 8, 0, 1.69, 1.69, 4.74, 4.74, 0.211
cuban_question_filler_El-estudiante-practica-deportes, 7, 0, 1.68, 1.68, 4.17, 4.17, 0.240
cuban_question_filler_El-estudiante-toma-apuntes, 7, 0, 1.26, 1.26, 5.56, 5.56, 0.180
cuban_question_filler_Ella-compra-una-mochila, 6, 0, 1.10, 1.10, 5.46, 5.46, 0.183
cuban_question_filler_Felipe-no-tiene-contrasena, 9, 0, 1.42, 1.42, 6.35, 6.35, 0.157
cuban_question_filler_Isabel-puede-apagar-la-luz, 4, 0, 1.32, 1.32, 3.02, 3.02, 0.331
cuban_question_filler_Jaime-tenia-una-tienda, 7, 0, 1.32, 1.32, 5.32, 5.32, 0.188
cuban_question_filler_Jose-visitaba-la-playa, 4, 0, 1.34, 1.34, 2.98, 2.98, 0.335
cuban_question_filler_Juan-quiere-un-bistec, 4, 0, 1.00, 1.00, 4.00, 4.00, 0.250
cuban_question_filler_La-chica-abre-su-libro, 5, 0, 1.11, 1.11, 4.51, 4.51, 0.222
cuban_question_filler_La-vecina-sale-muy-temprano, 7, 0, 1.44, 1.44, 4.87, 4.87, 0.205
cuban_question_filler_Lucia-compra-el-jabon, 5, 0, 1.36, 1.36, 3.69, 3.69, 0.271
cuban_question_filler_Lucia-va-a-la-iglesia, 4, 0, 1.09, 1.09, 3.66, 3.66, 0.273
cuban_question_filler_Maria-se-peina-en-la-manana, 7, 0, 1.60, 1.60, 4.38, 4.38, 0.228
cuban_question_filler_Mi-amiga-mira-la-luna, 5, 0, 1.30, 1.30, 3.86, 3.86, 0.259
cuban_question_filler_Mi-amigo-no-comia-pollo, 5, 0, 1.20, 1.20, 4.17, 4.17, 0.240
cuban_question_filler_Mi-esposo-conoce-al-chico, 6, 0, 1.30, 1.30, 4.61, 4.61, 0.217
cuban_question_filler_Mi-familia-cenaba-tarde, 6, 0, 1.40, 1.40, 4.30, 4.30, 0.233
cuban_question_filler_Mi-hermano-cierra-la-puerta, 5, 0, 1.27, 1.27, 3.94, 3.94, 0.254
cuban_question_filler_Mi-hija-prefiere-los-perros, 6, 0, 1.38, 1.38, 4.35, 4.35, 0.230
cuban_question_filler_Mi-padre-cantaba-bien, 6, 0, 1.35, 1.35, 4.45, 4.45, 0.225
cuban_question_filler_Mi-vecino-habla-mucho, 4, 0, 1.04, 1.04, 3.86, 3.86, 0.259
cuban_question_filler_Mi-vecino-trae-comida, 5, 0, 1.15, 1.15, 4.35, 4.35, 0.230
cuban_question_filler_Pablo-lavaba-su-coche, 5, 0, 1.31, 1.31, 3.82, 3.82, 0.262
cuban_question_filler_Rogelio-cuida-a-los-ninos, 8, 0, 1.32, 1.32, 6.05, 6.05, 0.165
cuban_question_filler_Sandra-corre-en-el-parque, 6, 0, 1.39, 1.39, 4.32, 4.32, 0.232
cuban_question_filler_Sofia-no-quiere-la-revista, 7, 0, 1.50, 1.50, 4.65, 4.65, 0.215
cuban_statement_filler_Alberto-nunca-se-afeita, 6, 0, 1.25, 1.25, 4.81, 4.81, 0.208
cuban_statement_filler_Ana-practicaba-el-yoga, 6, 0, 1.32, 1.32, 4.55, 4.55, 0.220
cuban_statement_filler_Cocinabas-por-la-noche, 6, 0, 1.25, 1.25, 4.79, 4.79, 0.209
cuban_statement_filler_Compramos-en-el-supermercado, 7, 0, 1.44, 1.44, 4.86, 4.86, 0.206
cuban_statement_filler_Compro-un-regalo-para-Navidad, 9, 0, 1.49, 1.49, 6.05, 6.05, 0.165
cuban_statement_filler_Dibujabas-con-tu-amiga, 6, 0, 1.38, 1.38, 4.33, 4.33, 0.231
cuban_statement_filler_El-abrigo-es-muy-barato, 5, 0, 1.06, 1.06, 4.72, 4.72, 0.212
cuban_statement_filler_El-bano-no-es-muy-grande, 6, 0, 1.15, 1.15, 5.21, 5.21, 0.192
cuban_statement_filler_El-equipo-practica-mucho, 7, 0, 1.29, 1.29, 5.41, 5.41, 0.185
cuban_statement_filler_El-estudiante-odia-la-tarea, 8, 0, 1.49, 1.49, 5.35, 5.35, 0.187
cuban_statement_filler_El-hombre-da-un-paseo, 5, 0, 1.14, 1.14, 4.39, 4.39, 0.228
cuban_statement_filler_El-hotel-tiene-muchas-habitaciones, 9, 0, 1.71, 1.71, 5.25, 5.25, 0.191
cuban_statement_filler_El-nino-habla-con-su-madre, 6, 0, 1.31, 1.31, 4.56, 4.56, 0.219
cuban_statement_filler_Emilia-va-al-hospital, 4, 0, 1.12, 1.12, 3.56, 3.56, 0.281
cuban_statement_filler_Hago-ejercicio-todos-los-dias, 6, 0, 1.53, 1.53, 3.93, 3.93, 0.255
cuban_statement_filler_Isabel-duerme-por-muchas-horas, 9, 0, 1.84, 1.84, 4.89, 4.89, 0.205
cuban_statement_filler_Juana-barria-el-piso, 3, 0, 1.04, 1.04, 2.88, 2.88, 0.348
cuban_statement_filler_Karina-siempre-anda-en-bicicleta, 8, 0, 1.72, 1.72, 4.66, 4.66, 0.214
cuban_statement_filler_La-abuela-plancha-la-ropa, 4, 0, 1.24, 1.24, 3.22, 3.22, 0.311
cuban_statement_filler_La-ciudad-tiene-dos-bancos, 4, 0, 1.25, 1.25, 3.20, 3.20, 0.313
cuban_statement_filler_La-discoteca-es-muy-buena, 5, 0, 1.26, 1.26, 3.95, 3.95, 0.253
cuban_statement_filler_La-madre-pasa-la-aspiradora, 7, 0, 1.38, 1.38, 5.07, 5.07, 0.197
cuban_statement_filler_La-nina-pinta-con-su-amiga, 7, 0, 1.33, 1.33, 5.27, 5.27, 0.190
cuban_statement_filler_La-vista-de-la-casa-es-bonita, 5, 0, 1.52, 1.52, 3.30, 3.30, 0.303
cuban_statement_filler_Las-chicas-dan-una-fiesta-hoy, 5, 0, 1.65, 1.65, 3.04, 3.04, 0.329
cuban_statement_filler_Los-abuelos-compran-un-espejo, 6, 0, 1.55, 1.55, 3.87, 3.87, 0.258
cuban_statement_filler_Los-ninos-ganan-el-partido, 7, 0, 1.43, 1.43, 4.90, 4.90, 0.204
cuban_statement_filler_Luis-trabaja-todo-el-dia, 5, 0, 1.27, 1.27, 3.93, 3.93, 0.255
cuban_statement_filler_Mateo-piensa-en-las-compras, 7, 0, 1.46, 1.46, 4.79, 4.79, 0.209
cuban_statement_filler_Nadamos-en-la-piscina-por-la-tarde, 8, 0, 1.89, 1.89, 4.24, 4.24, 0.236
cuban_statement_filler_Roberto-cocina-por-la-manana, 8, 0, 1.54, 1.54, 5.20, 5.20, 0.192
cuban_statement_filler_Tu-cumpleanos-es-manana, 4, 0, 1.53, 1.53, 2.61, 2.61, 0.383
mexican_match_declarative-broad-focus_Ana-lleva-el-abrigo, 6, 0, 1.09, 1.09, 5.49, 5.49, 0.182
mexican_match_declarative-broad-focus_Daniel-iba-a-Bolivia, 6, 0, 1.19, 1.19, 5.05, 5.05, 0.198
mexican_match_declarative-broad-focus_David-leia-el-libro, 4, 0, 1.10, 1.10, 3.64, 3.64, 0.275
mexican_match_declarative-broad-focus_Emilio-ama-la-marcha, 5, 0, 1.28, 1.28, 3.91, 3.91, 0.256
mexican_match_declarative-broad-focus_Manuela-vende-el-carro, 5, 0, 1.15, 1.15, 4.34, 4.34, 0.231
mexican_match_declarative-broad-focus_Maria-bebe-el-vino, 5, 0, 1.09, 1.09, 4.60, 4.60, 0.217
mexican_match_declarative-broad-focus_Mariano-habla-del-tiempo, 5, 0, 1.22, 1.22, 4.09, 4.09, 0.244
mexican_match_declarative-broad-focus_Marta-abre-el-regalo, 4, 0, 1.12, 1.12, 3.56, 3.56, 0.281
mexican_match_declarative-narrow-focus_Ana-lleva-el-abrigo, 6, 0, 1.06, 1.06, 5.68, 5.68, 0.176
mexican_match_declarative-narrow-focus_Daniel-iba-a-Bolivia, 5, 0, 1.10, 1.10, 4.55, 4.55, 0.220
mexican_match_declarative-narrow-focus_David-leia-el-libro, 4, 0, 1.09, 1.09, 3.68, 3.68, 0.272
mexican_match_declarative-narrow-focus_Emilio-ama-la-marcha, 5, 0, 1.14, 1.14, 4.37, 4.37, 0.229
mexican_match_declarative-narrow-focus_Manuela-vende-el-carro, 7, 0, 1.21, 1.21, 5.77, 5.77, 0.173
mexican_match_declarative-narrow-focus_Maria-bebe-el-vino, 6, 0, 1.08, 1.08, 5.56, 5.56, 0.180
mexican_match_declarative-narrow-focus_Mariano-habla-del-tiempo, 5, 0, 1.22, 1.22, 4.10, 4.10, 0.244
mexican_match_declarative-narrow-focus_Marta-abre-el-regalo, 6, 0, 1.15, 1.15, 5.20, 5.20, 0.192
mexican_match_interrogative-partial-wh_Cuando-bebia-el-vino, 4, 0, 1.06, 1.06, 3.78, 3.78, 0.265
mexican_match_interrogative-partial-wh_Cuando-leia-el-libro, 5, 0, 1.03, 1.03, 4.87, 4.87, 0.205
mexican_match_interrogative-partial-wh_Cuando-lleva-el-abrigo, 6, 0, 1.16, 1.16, 5.19, 5.19, 0.193
mexican_match_interrogative-partial-wh_Cuando-vendia-el-carro, 5, 0, 1.02, 1.02, 4.89, 4.89, 0.204
mexican_match_interrogative-partial-wh_Por-que-abre-el-regalo, 4, 0, 1.13, 1.13, 3.55, 3.55, 0.282
mexican_match_interrogative-partial-wh_Por-que-ama-la-navidad, 4, 0, 1.19, 1.19, 3.36, 3.36, 0.298
mexican_match_interrogative-partial-wh_Por-que-hablaba-del-agua, 6, 0, 1.21, 1.21, 4.96, 4.96, 0.202
mexican_match_interrogative-partial-wh_Por-que-iba-a-Bolivia, 5, 0, 1.24, 1.24, 4.03, 4.03, 0.248
mexican_match_interrogative-total-yn_Ana-lleva-el-abrigo, 6, 0, 1.15, 1.15, 5.20, 5.20, 0.192
mexican_match_interrogative-total-yn_Daniel-iba-a-Bolivia, 6, 0, 1.33, 1.33, 4.53, 4.53, 0.221
mexican_match_interrogative-total-yn_David-leia-el-libro, 5, 0, 1.21, 1.21, 4.14, 4.14, 0.241
mexican_match_interrogative-total-yn_Emilio-ama-la-marcha, 6, 0, 1.23, 1.23, 4.87, 4.87, 0.205
mexican_match_interrogative-total-yn_Manuela-vende-el-carro, 6, 0, 1.26, 1.26, 4.76, 4.76, 0.210
mexican_match_interrogative-total-yn_Maria-bebe-el-vino, 8, 0, 1.18, 1.18, 6.77, 6.77, 0.148
mexican_match_interrogative-total-yn_Mariano-habla-del-tiempo, 7, 0, 1.36, 1.36, 5.17, 5.17, 0.194
mexican_match_interrogative-total-yn_Marta-abre-el-regalo, 5, 0, 1.15, 1.15, 4.37, 4.37, 0.229
mexican_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien, 6, 0, 1.19, 1.19, 5.04, 5.04, 0.199
mexican_mismatch_declarative-broad-focus_El-hombre-mira-la-luna, 4, 0, 1.22, 1.22, 3.27, 3.27, 0.306
mexican_mismatch_declarative-broad-focus_El-nino-oye-el-rio, 4, 0, 1.08, 1.08, 3.69, 3.69, 0.271
mexican_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris, 5, 0, 1.20, 1.20, 4.17, 4.17, 0.240
mexican_mismatch_declarative-broad-focus_La-nina-lava-el-plato, 6, 0, 1.10, 1.10, 5.47, 5.47, 0.183
mexican_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta, 6, 0, 1.26, 1.26, 4.78, 4.78, 0.209
mexican_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago, 3, 0, 1.14, 1.14, 2.63, 2.63, 0.381
mexican_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia, 6, 0, 1.14, 1.14, 5.25, 5.25, 0.191
mexican_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien, 6, 0, 1.14, 1.14, 5.25, 5.25, 0.191
mexican_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna, 5, 0, 1.05, 1.05, 4.76, 4.76, 0.210
mexican_mismatch_declarative-narrow-focus_El-nino-oye-el-rio, 5, 0, 1.23, 1.23, 4.05, 4.05, 0.247
mexican_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris, 6, 0, 1.23, 1.23, 4.87, 4.87, 0.205
mexican_mismatch_declarative-narrow-focus_La-nina-lava-el-plato, 4, 0, 1.13, 1.13, 3.56, 3.56, 0.281
mexican_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta, 7, 0, 1.27, 1.27, 5.50, 5.50, 0.182
mexican_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago, 4, 0, 1.23, 1.23, 3.25, 3.25, 0.307
mexican_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia, 6, 0, 1.21, 1.21, 4.96, 4.96, 0.202
mexican_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta, 6, 0, 1.07, 1.07, 5.60, 5.60, 0.179
mexican_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato, 5, 0, 1.06, 1.06, 4.70, 4.70, 0.213
