soundname, nsyll, npause, dur (s), phonationtime (s), speechrate (nsyll/dur), articulation rate (nsyll / phonationtime), ASD (speakingtime/nsyll)
andalusian_mismatch_declarative-broad-focus_La-nina-lava-el-plato, 4, 0, 1.21, 1.21, 3.32, 3.32, 0.301
andalusian_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta, 7, 0, 1.31, 1.31, 5.33, 5.33, 0.188
andalusian_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago, 5, 0, 1.48, 1.48, 3.39, 3.39, 0.295
andalusian_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia, 5, 0, 1.36, 1.36, 3.67, 3.67, 0.273
andalusian_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien, 6, 0, 1.31, 1.31, 4.57, 4.57, 0.219
andalusian_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna, 6, 0, 1.33, 1.33, 4.50, 4.50, 0.222
andalusian_mismatch_declarative-narrow-focus_El-nino-oye-el-rio, 3, 0, 1.26, 1.26, 2.38, 2.38, 0.420
andalusian_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris, 7, 0, 1.19, 1.19, 5.89, 5.89, 0.170
andalusian_mismatch_declarative-narrow-focus_La-nina-lava-el-plato, 4, 0, 1.41, 1.41, 2.85, 2.85, 0.351
andalusian_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta, 7, 0, 1.38, 1.04, 5.07, 6.71, 0.149
andalusian_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago, 6, 0, 1.21, 1.21, 4.96, 4.96, 0.202
andalusian_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia, 6, 0, 1.36, 1.36, 4.40, 4.40, 0.227
andalusian_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta, 4, 0, 1.45, 1.45, 2.76, 2.76, 0.362
andalusian_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato, 5, 0, 1.28, 1.28, 3.90, 3.90, 0.256
andalusian_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna, 2, 0, 1.33, 1.33, 1.51, 1.51, 0.664
andalusian_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien, 5, 0, 1.40, 1.40, 3.57, 3.57, 0.280
andalusian_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia, 5, 0, 1.31, 1.31, 3.81, 3.81, 0.262
andalusian_mismatch_interrogative-partial-wh_Por-que-oia-el-rio, 5, 0, 1.27, 1.27, 3.93, 3.93, 0.254
andalusian_mismatch_interrogative-partial-wh_Por-que-venia-del-lago, 4, 0, 1.29, 1.29, 3.10, 3.10, 0.323
andalusian_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris, 5, 0, 1.17, 1.17, 4.27, 4.27, 0.234
andalusian_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien, 5, 0, 1.33, 1.33, 3.76, 3.76, 0.266
andalusian_mismatch_interrogative-total-yn_El-hombre-mira-la-luna, 6, 0, 1.32, 1.32, 4.55, 4.55, 0.220
andalusian_mismatch_interrogative-total-yn_El-nino-oye-el-rio, 5, 0, 1.52, 1.52, 3.28, 3.28, 0.305
andalusian_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris, 6, 0, 1.37, 1.37, 4.39, 4.39, 0.228
andalusian_mismatch_interrogative-total-yn_La-nina-lava-el-plato, 4, 0, 1.41, 1.41, 2.83, 2.83, 0.353
andalusian_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta, 6, 0, 1.36, 1.36, 4.42, 4.42, 0.226
andalusian_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago, 4, 0, 1.42, 1.42, 2.81, 2.81, 0.355
andalusian_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia, 5, 0, 1.48, 1.48, 3.39, 3.39, 0.295
andalusian_question_filler_A-Jaime-le-gusta-su-piso, 6, 0, 1.56, 1.56, 3.85, 3.85, 0.260
andalusian_question_filler_Carlos-escribe-una-carta, 7, 0, 1.36, 1.36, 5.14, 5.14, 0.195
andalusian_question_filler_Carlos-trae-a-sus-hijos, 5, 0, 1.36, 1.36, 3.69, 3.69, 0.271
andalusian_question_filler_Carolina-baila-flamenco, 6, 0, 1.46, 1.46, 4.11, 4.11, 0.243
andalusian_question_filler_El-chico-escribia-una-carta, 6, 0, 1.59, 1.59, 3.76, 3.76, 0.266
andalusian_question_filler_El-equipo-gana-la-competencia, 8, 0, 1.85, 1.85, 4.32, 4.32, 0.231
andalusian_question_filler_El-estudiante-practica-deportes, 8, 0, 1.69, 1.69, 4.73, 4.73, 0.211
andalusian_question_filler_El-estudiante-toma-apuntes, 6, 0, 1.62, 1.62, 3.71, 3.71, 0.270
andalusian_question_filler_Ella-compra-una-mochila, 5, 0, 1.44, 1.44, 3.48, 3.48, 0.287
andalusian_question_filler_Felipe-no-tiene-contrasena, 9, 0, 1.67, 1.67, 5.40, 5.40, 0.185
andalusian_question_filler_Isabel-puede-apagar-la-luz, 5, 0, 1.46, 1.46, 3.43, 3.43, 0.292
andalusian_question_filler_Jaime-tenia-una-tienda, 6, 0, 1.63, 1.63, 3.68, 3.68, 0.272
andalusian_question_filler_Jose-visitaba-la-playa, 5, 0, 1.53, 1.53, 3.26, 3.26, 0.307
andalusian_question_filler_Juan-quiere-un-bistec, 4, 0, 1.26, 1.26, 3.16, 3.16, 0.316
andalusian_question_filler_La-chica-abre-su-libro, 4, 0, 1.59, 1.59, 2.51, 2.51, 0.398
andalusian_question_filler_La-vecina-sale-muy-temprano, 9, 0, 1.70, 1.70, 5.28, 5.28, 0.189
andalusian_question_filler_Lucia-compra-el-jabon, 6, 0, 1.40, 1.40, 4.29, 4.29, 0.233
andalusian_question_filler_Lucia-va-a-la-iglesia, 4, 0, 1.35, 1.35, 2.96, 2.96, 0.337
andalusian_question_filler_Maria-se-peina-en-la-manana, 7, 0, 1.63, 1.63, 4.29, 4.29, 0.233
andalusian_question_filler_Mi-amiga-mira-la-luna, 5, 0, 1.41, 1.41, 3.54, 3.54, 0.282
andalusian_question_filler_Mi-amigo-no-comia-pollo, 7, 0, 1.50, 1.50, 4.66, 4.66, 0.214
andalusian_question_filler_Mi-esposo-conoce-al-chico, 6, 0, 1.54, 1.54, 3.90, 3.90, 0.256
andalusian_question_filler_Mi-familia-cenaba-tarde, 7, 0, 1.44, 1.44, 4.86, 4.86, 0.206
andalusian_question_filler_Mi-hermano-cierra-la-puerta, 7, 0, 1.50, 1.50, 4.66, 4.66, 0.215
andalusian_question_filler_Mi-hija-prefiere-los-perros, 7, 0, 1.49, 1.49, 4.71, 4.71, 0.212
andalusian_question_filler_Mi-padre-cantaba-bien, 7, 0, 1.29, 1.29, 5.43, 5.43, 0.184
andalusian_question_filler_Mi-vecino-habla-mucho, 6, 0, 1.39, 1.39, 4.33, 4.33, 0.231
andalusian_question_filler_Mi-vecino-trae-comida, 5, 0, 1.44, 1.44, 3.48, 3.48, 0.288
andalusian_question_filler_Pablo-lavaba-su-coche, 5, 0, 1.45, 1.45, 3.45, 3.45, 0.289
andalusian_question_filler_Rogelio-cuida-a-los-ninos, 6, 0, 1.52, 1.52, 3.94, 3.94, 0.254
andalusian_question_filler_Sandra-corre-en-el-parque, 7, 0, 1.59, 1.59, 4.39, 4.39, 0.228
andalusian_question_filler_Sofia-no-quiere-la-revista, 6, 0, 1.57, 1.57, 3.82, 3.82, 0.262
andalusian_statement_filler_Alberto-nunca-se-afeita, 6, 0, 1.37, 1.37, 4.38, 4.38, 0.228
andalusian_statement_filler_Ana-practicaba-el-yoga, 7, 0, 1.35, 1.35, 5.19, 5.19, 0.193
andalusian_statement_filler_Cocinabas-por-la-noche, 7, 0, 1.34, 1.34, 5.23, 5.23, 0.191
andalusian_statement_filler_Compramos-en-el-supermercado, 8, 0, 1.56, 1.56, 5.14, 5.14, 0.195
andalusian_statement_filler_Compro-un-regalo-para-Navidad, 5, 0, 1.48, 1.48, 3.38, 3.38, 0.296
andalusian_statement_filler_Dibujabas-con-tu-amiga, 7, 0, 1.39, 1.39, 5.02, 5.02, 0.199
andalusian_statement_filler_El-abrigo-es-muy-barato, 6, 0, 1.34, 1.34, 4.49, 4.49, 0.223
andalusian_statement_filler_El-bano-no-es-muy-grande, 5, 0, 1.31, 1.31, 3.81, 3.81, 0.263
andalusian_statement_filler_El-equipo-practica-mucho, 7, 0, 1.49, 1.49, 4.69, 4.69, 0.213
andalusian_statement_filler_El-estudiante-odia-la-tarea, 6, 0, 1.63, 1.63, 3.69, 3.69, 0.271
andalusian_statement_filler_El-hombre-da-un-paseo, 5, 0, 1.37, 1.37, 3.64, 3.64, 0.275
andalusian_statement_filler_El-hotel-tiene-muchas-habitaciones, 10, 0, 1.81, 1.81, 5.51, 5.51, 0.181
andalusian_statement_filler_El-nino-habla-con-su-madre, 5, 0, 1.54, 1.54, 3.24, 3.24, 0.309
andalusian_statement_filler_Emilia-va-al-hospital, 4, 0, 1.30, 1.30, 3.07, 3.07, 0.325
andalusian_statement_filler_Hago-ejercicio-todos-los-dias, 7, 0, 1.73, 1.73, 4.05, 4.05, 0.247
andalusian_statement_filler_Isabel-duerme-por-muchas-horas, 10, 0, 1.74, 1.74, 5.74, 5.74, 0.174
andalusian_statement_filler_Juana-barria-el-piso, 5, 0, 1.33, 1.33, 3.76, 3.76, 0.266
andalusian_statement_filler_Karina-siempre-anda-en-bicicleta, 8, 0, 1.87, 1.87, 4.27, 4.27, 0.234
andalusian_statement_filler_La-abuela-plancha-la-ropa, 6, 0, 1.46, 1.46, 4.10, 4.10, 0.244
andalusian_statement_filler_La-ciudad-tiene-dos-bancos, 8, 0, 1.50, 1.50, 5.35, 5.35, 0.187
andalusian_statement_filler_La-discoteca-es-muy-buena, 6, 0, 1.29, 1.29, 4.66, 4.66, 0.215
andalusian_statement_filler_La-madre-pasa-la-aspiradora, 6, 0, 1.57, 1.57, 3.82, 3.82, 0.262
andalusian_statement_filler_La-nina-pinta-con-su-amiga, 7, 0, 1.43, 1.43, 4.88, 4.88, 0.205
andalusian_statement_filler_La-vista-de-la-casa-es-bonita, 8, 0, 1.56, 1.56, 5.14, 5.14, 0.195
andalusian_statement_filler_Las-chicas-dan-una-fiesta-hoy, 6, 0, 1.55, 1.55, 3.88, 3.88, 0.258
andalusian_statement_filler_Los-abuelos-compran-un-espejo, 7, 0, 1.59, 1.59, 4.39, 4.39, 0.228
andalusian_statement_filler_Los-ninos-ganan-el-partido, 6, 0, 1.52, 1.52, 3.95, 3.95, 0.253
andalusian_statement_filler_Luis-trabaja-todo-el-dia, 6, 0, 1.45, 1.45, 4.15, 4.15, 0.241
andalusian_statement_filler_Mateo-piensa-en-las-compras, 7, 0, 1.46, 1.46, 4.80, 4.80, 0.209
andalusian_statement_filler_Nadamos-en-la-piscina-por-la-tarde, 10, 0, 1.76, 1.76, 5.70, 5.70, 0.176
andalusian_statement_filler_Roberto-cocina-por-la-manana, 8, 0, 1.72, 1.72, 4.66, 4.66, 0.215
andalusian_statement_filler_Tu-cumpleanos-es-manana, 5, 0, 1.41, 1.41, 3.54, 3.54, 0.282
argentine_match_declarative-broad-focus_Ana-lleva-el-abrigo, 5, 0, 1.10, 1.10, 4.56, 4.56, 0.219
argentine_match_declarative-broad-focus_Daniel-iba-a-Bolivia, 4, 0, 1.35, 1.35, 2.96, 2.96, 0.338
argentine_match_declarative-broad-focus_David-leia-el-libro, 6, 0, 1.34, 1.34, 4.48, 4.48, 0.223
argentine_match_declarative-broad-focus_Emilio-ama-la-marcha, 6, 0, 1.38, 1.38, 4.35, 4.35, 0.230
argentine_match_declarative-broad-focus_Manuela-vende-el-carro, 4, 0, 1.38, 1.38, 2.89, 2.89, 0.346
argentine_match_declarative-broad-focus_Maria-bebe-el-vino, 5, 0, 1.12, 1.12, 4.47, 4.47, 0.224
argentine_match_declarative-broad-focus_Mariano-habla-del-tiempo, 5, 0, 1.28, 1.28, 3.92, 3.92, 0.255
argentine_match_declarative-broad-focus_Marta-abre-el-regalo, 7, 0, 1.36, 1.36, 5.14, 5.14, 0.194
argentine_match_declarative-narrow-focus_Ana-lleva-el-abrigo, 5, 0, 1.16, 1.16, 4.30, 4.30, 0.233
argentine_match_declarative-narrow-focus_Daniel-iba-a-Bolivia, 3, 0, 1.27, 1.27, 2.37, 2.37, 0.423
argentine_match_declarative-narrow-focus_David-leia-el-libro, 4, 0, 1.13, 1.13, 3.54, 3.54, 0.283
argentine_match_declarative-narrow-focus_Emilio-ama-la-marcha, 5, 0, 1.38, 1.38, 3.63, 3.63, 0.276
argentine_match_declarative-narrow-focus_Manuela-vende-el-carro, 4, 0, 1.50, 1.50, 2.66, 2.66, 0.376
argentine_match_declarative-narrow-focus_Maria-bebe-el-vino, 5, 0, 1.22, 1.22, 4.09, 4.09, 0.245
argentine_match_declarative-narrow-focus_Mariano-habla-del-tiempo, 5, 0, 1.45, 1.45, 3.44, 3.44, 0.291
argentine_match_declarative-narrow-focus_Marta-abre-el-regalo, 5, 0, 1.31, 1.31, 3.83, 3.83, 0.261
argentine_match_interrogative-partial-wh_Cuando-bebia-el-vino, 5, 0, 1.14, 1.14, 4.38, 4.38, 0.228
argentine_match_interrogative-partial-wh_Cuando-leia-el-libro, 4, 0, 1.09, 1.09, 3.66, 3.66, 0.273
argentine_match_interrogative-partial-wh_Cuando-lleva-el-abrigo, 4, 0, 1.21, 1.21, 3.30, 3.30, 0.303
argentine_match_interrogative-partial-wh_Cuando-vendia-el-carro, 4, 0, 1.11, 1.11, 3.59, 3.59, 0.278
argentine_match_interrogative-partial-wh_Por-que-abre-el-regalo, 3, 0, 1.16, 1.16, 2.59, 2.59, 0.386
argentine_match_interrogative-partial-wh_Por-que-ama-la-navidad, 5, 0, 1.26, 1.26, 3.98, 3.98, 0.251
argentine_match_interrogative-partial-wh_Por-que-hablaba-del-agua, 6, 0, 1.36, 1.36, 4.43, 4.43, 0.226
argentine_match_interrogative-partial-wh_Por-que-iba-a-Bolivia, 4, 0, 1.11, 1.11, 3.59, 3.59, 0.278
argentine_match_interrogative-total-yn_Ana-lleva-el-abrigo, 4, 0, 1.34, 1.34, 2.97, 2.97, 0.336
argentine_match_interrogative-total-yn_Daniel-iba-a-Bolivia, 3, 0, 1.41, 1.41, 2.13, 2.13, 0.468
argentine_match_interrogative-total-yn_David-leia-el-libro, 5, 0, 1.32, 1.32, 3.78, 3.78, 0.265
argentine_match_interrogative-total-yn_Emilio-ama-la-marcha, 7, 0, 1.58, 1.58, 4.43, 4.43, 0.226
argentine_match_interrogative-total-yn_Manuela-vende-el-carro, 4, 0, 1.45, 1.45, 2.76, 2.76, 0.362
argentine_match_interrogative-total-yn_Maria-bebe-el-vino, 4, 0, 1.26, 1.26, 3.17, 3.17, 0.316
argentine_match_interrogative-total-yn_Mariano-habla-del-tiempo, 5, 0, 1.51, 1.51, 3.31, 3.31, 0.302
argentine_match_interrogative-total-yn_Marta-abre-el-regalo, 6, 0, 1.34, 1.34, 4.48, 4.48, 0.223
argentine_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien, 4, 0, 1.51, 1.51, 2.64, 2.64, 0.378
argentine_mismatch_declarative-broad-focus_El-hombre-mira-la-luna, 7, 0, 1.18, 1.18, 5.93, 5.93, 0.169
argentine_mismatch_declarative-broad-focus_El-nino-oye-el-rio, 5, 0, 1.56, 1.56, 3.21, 3.21, 0.311
argentine_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris, 6, 0, 1.43, 1.43, 4.19, 4.19, 0.239
argentine_mismatch_declarative-broad-focus_La-nina-lava-el-plato, 4, 0, 1.26, 1.26, 3.18, 3.18, 0.314
argentine_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta, 6, 0, 1.52, 1.52, 3.95, 3.95, 0.253
argentine_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago, 5, 0, 1.68, 1.68, 2.98, 2.98, 0.336
argentine_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia, 6, 0, 1.63, 1.63, 3.69, 3.69, 0.271
argentine_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien, 3, 0, 1.20, 1.20, 2.50, 2.50, 0.401
