session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Bilingual,Country of Birth,Current Country of Residence,Current U.S state of birth,Current U.S state of residence,Employment Status,English speaking Monolingual,Ethnicity,Ethnicity (Simplified),First language,First Language,Fluent languages,Hearing difficulties,Language related disorders,Literacy Difficulties,Mono/multi cultural,Nationality,Sex,Student Status,Were you raised monolingual?
60589231b58682a53b829ee0,5f46fd0e30f69f0de0dfa38c,APPROVED,2021-03-22 12:48:55.065000,2021-03-22 12:58:29.579000,574.514,25,460,4,100,2021-03-24 16:11:07.870000,3900423D,none just my native langauge,United States,United States,Maryland (MD),"Washington, DC (District of Columbia) (DC)",Full-Time,I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
6058947368ccca4a73eaf6a9,5bc9f91f418bad00016c6773,APPROVED,2021-03-22 12:58:29.669000,2021-03-22 13:09:19.121000,649.452,32,1212,0,100,2021-03-24 16:11:49.103000,3900423D,none just my native langauge,United States,United States,New York (NY),Connecticut (CT),Full-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
6058947b64486f029fca2141,5d0d260f7374b40019cef54a,APPROVED,2021-03-22 12:58:45.504000,2021-03-22 13:12:10.001000,804.497,34,771,4,100,2021-03-24 16:12:18.464000,3900423D,none just my native langauge,United States,United States,Pennsylvania (PA),Pennsylvania (PA),"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
60589a28ec2a2272e38ce5c6,603414a536144802cda025f5,APPROVED,2021-03-22 13:22:52.646000,2021-03-22 13:34:28.263000,695.617,40,80,0,100,2021-03-24 16:12:42.959000,3900423D,none just my native langauge,United States,,New Jersey (NJ),New Jersey (NJ),Unemployed (and job seeking),I only know English,White/Caucasian,White,English,,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
60589e079a3d8d6c49999254,5faeb0771929e6000941ecc5,APPROVED,2021-03-22 13:39:22.027000,2021-03-22 14:03:19.607000,1437.58,28,368,0,100,2021-03-24 16:13:06.927000,3900423D,none just my native langauge,United States,United States,New York (NY),New York (NY),Full-Time,I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
6058a00d5d9ff9e77371f1bf,5fb327660f80c1a4d39fada2,APPROVED,2021-03-22 13:55:50.240000,2021-03-22 14:05:08.155000,557.915,23,248,0,100,2021-03-24 16:13:28.570000,3900423D,none just my native langauge,United States,United States,Connecticut (CT),Connecticut (CT),Unemployed (and job seeking),I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Female,Yes,I was raised with my native language only
6058a2817e536bb8edcbf6af,601c8b5b02683a7e54b93aeb,APPROVED,2021-03-22 13:58:29.153000,2021-03-22 14:11:30.776000,781.623,24,81,0,100,2021-03-24 16:13:57.692000,3900423D,none just my native langauge,United States,United States,New York (NY),New York (NY),Full-Time,I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
6058a6fde5d54a110b13bcd7,5bb6413cb4dca50001df0096,APPROVED,2021-03-22 14:17:37.420000,2021-03-22 14:28:56.521000,679.101,39,540,1,100,2021-03-24 16:14:20.129000,3900423D,none just my native langauge,United States,United States,Massachusetts (MA),Pennsylvania (PA),Unemployed (and job seeking),I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
6058b5cec8c7e21f72cffc88,5dd733ca946f7c6e031bb8a3,RETURNED,2021-03-22 15:22:50.072000,,626122.115001,35,591,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6058b7d6eda6694bddbd9ebe,5ec0ba1bfa01894cceaa1b8e,RETURNED,2021-03-22 15:39:26.071000,,625126.116125,31,665,5,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
