session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Bilingual,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,Ethnicity,Ethnicity (Simplified),First language,First Language,Fluent languages,Hearing difficulties,Language related disorders,Literacy Difficulties,Mono/multi cultural,Nationality,Sex,Student Status,Were you raised monolingual?
6056acc6969601947a685539,5ea497072b246644ea12dc12,RETURNED,2021-03-21 02:17:49.681000,,759597.22258,22,635,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6056ad1517f646e64766fec6,5fcf286268f4c722183af975,APPROVED,2021-03-21 02:19:04.885000,2021-03-21 02:30:39.768000,694.883,21,231,0,100,2021-03-21 06:04:53.515000,3900423D,none just my native langauge,United States,United States,Unemployed (and job seeking),I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Female,Yes,I was raised with my native language only
6056aeee5567473f56ddcacb,58f149ca591f2a00014e4131,RETURNED,2021-03-21 02:26:57.391000,,759049.523576,32,726,5,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6056af9d0471f67178732251,5658000ca9872d0011e1ba26,APPROVED,2021-03-21 02:29:49.200000,2021-03-21 02:45:29.179000,939.979,31,1459,1,100,2021-03-21 16:11:03.975000,3900423D,none just my native langauge,United States,United States,Unemployed (and job seeking),I only know English,Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
6056b051146e78befd49f2a5,601228de8f04be234171ca8f,APPROVED,2021-03-21 02:32:49.688000,2021-03-21 03:31:43.931000,3534.243,29,190,0,100,2021-03-21 16:11:37.334000,3900423D,none just my native langauge,United States,United States,Full-Time,I only know English,Black/African American,Black,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Prefer not to say,No,I was raised with my native language only
6056b091f6469e8a273535c5,5dd32e9deab0423455e0358f,APPROVED,2021-03-21 02:33:59.679000,2021-03-21 02:51:11.463000,1031.784,38,241,0,100,2021-03-21 16:12:12.055000,3900423D,none just my native langauge,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,Yes,I was raised with my native language only
6056b17b5f7fbeb3e25c48f0,5d453e8723a5bb0001492546,APPROVED,2021-03-21 02:37:47.803000,2021-03-21 03:16:47.963000,2340.16,30,302,1,100,2021-03-21 16:12:58.397000,3900423D,none just my native langauge,United States,United States,Full-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,Yes,I was raised with my native language only
6056b1a77fd016bde58a3318,5d184b040a274600013f7107,APPROVED,2021-03-21 02:38:31.381000,2021-03-21 02:55:51.738000,1040.357,28,948,1,100,2021-03-21 16:13:31.605000,3900423D,none just my native langauge,United States,United States,Unemployed (and job seeking),I only know English,Black/African American,Black,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,Yes,I was raised with my native language only
6056b1e3be7c410f96913621,55ce148b34e9060012e56279,APPROVED,2021-03-21 02:40:17.598000,2021-03-21 02:52:40.650000,743.052,38,1723,3,100,2021-03-21 16:14:13.051000,3900423D,none just my native langauge,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
6056b28285ea58e34a1b1090,5bc5356e65cfb8000154bd82,APPROVED,2021-03-21 02:42:14.251000,2021-03-21 02:57:36.809000,922.558,31,532,2,100,2021-03-21 16:14:49.008000,3900423D,none just my native langauge,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
