session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Bilingual,Country of Birth,Current Country of Residence,Employment Status,First language,First Language,Fluent languages,Hearing difficulties,Language related disorders,Literacy Difficulties,Mono/multi cultural,Nationality,Sex,Student Status,Were you raised monolingual?
602b1dc12e76d025a0880f92,5e8f67f9cc3d6c24f4b646c9,AWAITING REVIEW,2021-02-16 01:20:01.645000,2021-02-16 01:37:16.108000,1034.463,35,136,2,99,,NOCODE,none just my native langauge,Mexico,Mexico,Full-Time,Spanish,Spanish,Spanish,No,none,No,I identify myself as a monocultural individual,Mexico,Female,Yes,I was raised with my native language only
602b1de3d6ab3e237825465f,5f3f0a8e147ad41e9861d4b5,APPROVED,2021-02-16 01:20:35.696000,2021-02-16 01:25:07.398000,271.702,23,56,1,99,2021-02-16 14:53:24.110000,7BA7FE99,native language + one other language,Mexico,Mexico,Part-Time,Spanish,DATA EXPIRED,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Mexico,Male,Yes,I was raised with my native language only
602b1de4e999ac23537c3840,5f89e17a57925103ac8601df,APPROVED,2021-02-16 01:20:36.677000,2021-02-16 01:31:41.891000,665.214,22,37,1,100,2021-02-16 05:12:18.680000,7BA7FE99,native language + one other language,Chile,Chile,Other,Spanish,DATA EXPIRED,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Chile,Female,Yes,I was raised with my native language only
602b1e00cc4651244a23bcbb,5f4bf4536b68b57e64ad4f2d,RETURNED,2021-02-16 01:32:00.065000,,60751.629942,35,62,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
602b1e09aa64bc264ba68cdf,5ee73a8e24297201d19982a2,APPROVED,2021-02-16 01:21:13.874000,2021-02-16 01:26:25.031000,311.157,21,79,2,99,2021-02-16 14:30:15.402000,7BA7FE99,none just my native langauge,Chile,Chile,Unemployed (and job seeking),,Spanish,Spanish,No,none,No,I identify myself as a monocultural individual,Chile,Male,No,I was raised with my native language only
602b1e3573446b249644dcab,5b376f54cf5e6a00018309ef,APPROVED,2021-02-16 01:21:57.442000,2021-02-16 01:26:36.260000,278.818,33,358,2,100,2021-02-16 14:51:14.005000,7BA7FE99,none just my native langauge,Spain,Spain,Full-Time,,Spanish,Spanish,No,none,No,I identify myself as a monocultural individual,Spain,Male,Yes,I was raised with my native language only
602b1e6b94fe3a258ea9dc5a,5c60c298af517e0001a00b00,APPROVED,2021-02-16 01:23:09.544000,2021-02-16 01:32:26.831000,557.287,27,145,0,100,2021-02-16 05:13:25.140000,7BA7FE99,native language + one other language,Chile,Chile,Unemployed (and job seeking),,Spanish,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Chile,Male,Yes,I was raised with my native language only
602b1e90a6fada25252f99d1,5cb62e72ebe8a50001a9b7c8,APPROVED,2021-02-16 01:23:28.526000,2021-02-16 01:34:08.050000,639.524,21,135,1,100,2021-02-16 05:12:39.965000,7BA7FE99,native language + one other language,Mexico,Mexico,Part-Time,,Spanish,"Spanish, English",No,none,No,I identify myself as a monocultural individual,Mexico,Male,Yes,I was raised with my native language only
602b1ed0e7fec0252b7e1760,5f95155d7ae37e0009ed42ac,APPROVED,2021-02-16 01:24:32.474000,2021-02-16 01:30:05.950000,333.476,21,38,0,100,2021-02-16 05:25:56.281000,7BA7FE99,native language + one other language,Mexico,Mexico,Unemployed (and job seeking),Spanish,DATA EXPIRED,"Spanish, English",No,none,No,I identify myself as a monocultural individual,Mexico,Male,Yes,I was raised with my native language only
602b1edd76180725b34d41f2,5f9a0f1dba641d12282c8e41,APPROVED,2021-02-16 01:24:45.390000,2021-02-16 01:31:45.243000,419.853,23,45,1,100,2021-02-16 05:16:39.955000,7BA7FE99,native language + one other language,Spain,Spain,"Not in paid work (e.g. homemaker', 'retired or disabled)",Spanish,DATA EXPIRED,Spanish,No,none,No,I identify myself as a monocultural individual,Spain,Male,Yes,I was raised with my native language only
602b1edec29fb1233545b7c1,5fa04dbd96f8c5051a33014f,APPROVED,2021-02-16 01:25:23.215000,2021-02-16 01:30:22.579000,299.364,24,25,2,95,2021-02-16 14:32:32.236000,7BA7FE99,native language + one other language,Chile,Chile,Unemployed (and job seeking),Spanish,DATA EXPIRED,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Chile,Female,No,I was raised with my native language only
602b1ee9cb3b6f235140aeb5,5ef930974bc6e0000848aff7,APPROVED,2021-02-16 01:24:57.699000,2021-02-16 01:30:07.835000,310.136,28,97,0,100,2021-02-16 14:31:08.759000,7BA7FE99,none just my native langauge,Mexico,Mexico,Unemployed (and job seeking),,Spanish,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Mexico,Male,Yes,I was raised with my native language only
602b1f02330619242c5215c2,5f6f06f3ef894f026d551497,APPROVED,2021-02-16 01:25:55.168000,2021-02-16 01:30:29.456000,274.288,18,50,0,100,2021-02-16 14:52:18.578000,7BA7FE99,native language + one other language,Spain,Spain,Other,Spanish,DATA EXPIRED,"Spanish, English",No,none,No,I identify myself as a monocultural individual,Spain,Female,Yes,I was raised with my native language only
602b1f27c8f63224f389f192,5ff3aff59f4b9ea23608dc04,APPROVED,2021-02-16 01:26:02.735000,2021-02-16 01:30:44.719000,281.984,19,16,0,100,2021-02-16 14:36:11.305000,7BA7FE99,native language + one other language,Mexico,Mexico,Part-Time,Spanish,DATA EXPIRED,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Mexico,Male,Yes,I was raised with my native language only
602b1f28aa844c249c607369,5d4c687110d5a500019db43e,APPROVED,2021-02-16 01:26:04.227000,2021-02-16 01:30:56.824000,292.597,22,161,2,100,2021-02-16 14:33:38.412000,7BA7FE99,native language + one other language,Mexico,Mexico,Unemployed (and job seeking),,Spanish,"Spanish, English",No,none,No,I identify myself as a monocultural individual,Mexico,Female,No,I was raised with my native language only
602b1f4c65a90424289b5577,5ec0398d9a8ebe4434ab3a93,APPROVED,2021-02-16 01:35:07.845000,2021-02-16 01:47:49.261000,761.416,22,69,0,100,2021-02-16 05:10:20.837000,7BA7FE99,native language + one other language,Chile,Chile,Other,,Spanish,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Chile,Male,Yes,I was raised with my native language only
602b1f6f73446b258c17150a,5f5b232433097f234bc64508,APPROVED,2021-02-16 01:27:17.854000,2021-02-16 01:32:35.428000,317.574,19,18,0,100,2021-02-16 14:27:43.194000,7BA7FE99,native language + one other language,Mexico,Mexico,Unemployed (and job seeking),Spanish,,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Mexico,Female,Yes,I was raised with my native language only
602b1f720c9b4a2588a59ac4,5f4310b391369a1776db2dde,APPROVED,2021-02-16 01:27:14.555000,2021-02-16 01:31:33.533000,258.978,26,70,1,100,2021-02-16 18:14:36.592000,7BA7FE99,native language + one other language,Mexico,Mexico,Unemployed (and job seeking),Spanish,DATA EXPIRED,"Spanish, English",No,none,No,I identify myself as a monocultural individual,Mexico,Male,No,I was raised with my native language only
602b1fc12e34a223e2e12b01,5f67c4cebbb0ab12031ff54b,APPROVED,2021-02-16 01:28:33.083000,2021-02-16 01:34:11.026000,337.943,44,47,0,100,2021-02-16 05:24:59.048000,7BA7FE99,native language + one other language,Argentina,Spain,Other,Spanish,DATA EXPIRED,"Spanish, English",No,none,No,I identify myself as a monocultural individual,Spain,Male,No,I was raised with my native language only
602b1fc55f75b824b69e6c48,5c43c8943526c80001fca34f,APPROVED,2021-02-16 01:28:37.784000,2021-02-16 01:32:46.059000,248.275,27,254,1,100,2021-02-16 18:16:54.493000,7BA7FE99,native language + one other language,Mexico,Mexico,Unemployed (and job seeking),Spanish,Spanish,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Mexico,Male,Yes,I was raised with my native language only
602b1fca73446b25ff04f79a,5f3344917a7a0b159bd0c375,RETURNED,2021-02-16 01:28:47.955000,,60945.199133,23,57,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
602b1fcc4ae79123a8205661,5eb3a51f58efe718f5cffdb4,APPROVED,2021-02-16 01:28:44.812000,2021-02-16 01:33:10.913000,266.101,28,122,1,100,2021-02-16 18:08:30.662000,7BA7FE99,native language + one other language,Chile,Chile,Unemployed (and job seeking),Spanish,Spanish,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Chile,Male,No,I was raised with my native language only
602b1fdcfc65e022f2c2f09d,5ef4f657f317f11271018bcd,APPROVED,2021-02-16 01:29:00.063000,2021-02-16 01:35:44.818000,404.755,27,70,1,100,2021-02-16 05:19:59.330000,7BA7FE99,none just my native langauge,Mexico,Mexico,Full-Time,,Spanish,Spanish,No,none,No,I identify myself as a monocultural individual,Mexico,Male,No,I was raised with my native language only
602b1fe28e1ead264bc09756,5ec3ac82306f2520d65b086f,APPROVED,2021-02-16 01:29:06.133000,2021-02-16 01:32:51.165000,225.032,28,74,0,100,2021-02-16 18:18:48.252000,7BA7FE99,native language + one other language,Mexico,Mexico,Full-Time,,Spanish,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Mexico,Male,No,I was raised with my native language only
602b1fece3b7ea24a43adc3c,5f51e7c33457c443748e637b,APPROVED,2021-02-16 01:29:16.558000,2021-02-16 01:34:27.312000,310.754,26,53,1,100,2021-02-16 14:30:46.456000,7BA7FE99,native language + one other language,Mexico,Mexico,Part-Time,Spanish,DATA EXPIRED,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Mexico,Male,Yes,I was raised with my native language only
602b20148083d825fec9e686,5f9854b7e9df660fd2636696,APPROVED,2021-02-16 01:29:56.593000,2021-02-16 01:55:44.627000,1548.034,19,52,0,100,2021-02-16 05:06:54.689000,7BA7FE99,native language + one other language,Mexico,Mexico,Unemployed (and job seeking),Spanish,DATA EXPIRED,Spanish,No,none,No,I identify myself as a monocultural individual,Mexico,Male,Yes,I was raised with my native language only
602b202d24ce4c233dfd0f8b,5e902a581baf783237598a3c,APPROVED,2021-02-16 01:30:21.619000,2021-02-16 01:37:16.555000,414.936,36,40,0,100,2021-02-16 05:18:35.451000,7BA7FE99,native language + one other language,Mexico,Mexico,Unemployed (and job seeking),Spanish,Spanish,Spanish,No,none,No,I identify myself as a monocultural individual,Mexico,Female,No,I was raised with my native language only
