stim_n,sentence_type,condition,prompt,sentence,color,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,fillers_loop.thisRepN,fillers_loop.thisTrialN,fillers_loop.thisN,fillers_loop.thisIndex,text_stim_stim_n.started,text_stim_stim_n.stopped,text_stim_sentence_type.started,text_stim_sentence_type.stopped,text_stim_condition.started,text_stim_condition.stopped,text_stim_prompt.started,text_stim_prompt.stopped,text_stim_sentence.started,text_stim_sentence.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,statement,A,filler,Roberto cocina por la mañana.,white,,,,,0,0,0,0,595.5979141000425,None,595.5979141000425,None,595.5979141000425,None,595.5979141000425,None,595.613736600033,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
2,statement,B,filler,Ana practicaba el yoga.,white,,,,,0,1,1,1,599.0478579000337,None,599.0478579000337,None,599.0478579000337,None,599.0478579000337,None,599.0806012999965,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
3,statement,A,filler,La niña pinta con su amiga.,white,,,,,0,2,2,2,602.797170600039,None,602.797170600039,None,602.797170600039,None,602.797170600039,None,602.8306798000121,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
4,statement,C,filler,Las chicas dan una fiesta hoy.,white,,,,,0,3,3,3,606.214248699951,None,606.214248699951,None,606.214248699951,None,606.214248699951,None,606.2477532000048,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
5,statement,A,filler,Isabel duerme por muchas horas.,white,,,,,0,4,4,4,609.5636832999298,None,609.5636832999298,None,609.5636832999298,None,609.5636832999298,None,609.5965333000058,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
6,statement,B,filler,Alberto nunca se afeita.,white,,,,,0,5,5,5,613.0964294000296,None,613.0964294000296,None,613.0964294000296,None,613.0964294000296,None,613.1304891000036,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
7,statement,A,filler,La madre pasa la aspiradora.,white,,,,,0,6,6,6,616.6964788000332,None,616.6964788000332,None,616.6964788000332,None,616.6964788000332,None,616.711952200043,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
8,statement,C,filler,El estudiante odia la tarea.,white,,,,,0,7,7,7,626.4793660000432,None,626.4793660000432,None,626.4793660000432,None,626.4793660000432,None,626.4955274999375,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
9,statement,A,filler,El equipo practica mucho.,white,,,,,0,8,8,8,630.1620169000234,None,630.1620169000234,None,630.1620169000234,None,630.1620169000234,None,630.1958803000161,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
10,statement,B,filler,Juana barría el piso.,white,,,,,0,9,9,9,633.2962177000009,None,633.2962177000009,None,633.2962177000009,None,633.2962177000009,None,633.3298338999739,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
11,statement,A,filler,La abuela plancha la ropa.,white,,,,,0,10,10,10,636.4119030999718,None,636.4119030999718,None,636.4119030999718,None,636.4119030999718,None,636.4456800000044,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
12,statement,C,filler,Los abuelos compran un espejo.,white,,,,,0,11,11,11,640.1293706999859,None,640.1293706999859,None,640.1293706999859,None,640.1293706999859,None,640.1619461999508,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
13,statement,A,filler,El niño habla con su madre.,white,,,,,0,12,12,12,643.445608500042,None,643.445608500042,None,643.445608500042,None,643.445608500042,None,643.4609853000147,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
14,statement,B,filler,Hago ejercicio todos los días. ,white,,,,,0,13,13,13,646.2617249999894,None,646.2617249999894,None,646.2617249999894,None,646.2617249999894,None,646.2947153999703,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
15,statement,A,filler,La vista de la casa es bonita.,white,,,,,0,14,14,14,649.3948758000042,None,649.3948758000042,None,649.3948758000042,None,649.3948758000042,None,649.4282003999688,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
16,statement,B,filler,El baño no es muy grande. ,white,,,,,0,15,15,15,652.7110922000138,None,652.7110922000138,None,652.7110922000138,None,652.7110922000138,None,652.7447603000328,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
17,statement,A,filler,Compro un regalo para Navidad.,white,,,,,0,16,16,16,655.3779177999822,None,655.3779177999822,None,655.3779177999822,None,655.3779177999822,None,655.3937206999399,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
18,statement,C,filler,Tu cumpleaños es mañana.,white,,,,,0,17,17,17,658.2778721000068,None,658.2778721000068,None,658.2778721000068,None,658.2778721000068,None,658.310719299945,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
19,statement,C,filler,Nadamos en la piscina por la tarde.,white,,,,,0,18,18,18,661.0603647000389,None,661.0603647000389,None,661.0603647000389,None,661.0603647000389,None,661.0939856999321,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
20,statement,A,filler,Karina siempre anda en bicicleta.,white,,,,,0,19,19,19,664.7278506000293,None,664.7278506000293,None,664.7278506000293,None,664.7278506000293,None,664.7602032000432,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
21,statement,B,filler,Los niños ganan el partido.,white,,,,,0,20,20,20,668.2435553999385,None,668.2435553999385,None,668.2435553999385,None,668.2435553999385,None,668.2777031000005,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
22,statement,A,filler,Cocinabas por la noche.,white,,,,,0,21,21,21,671.2929815000389,None,671.2929815000389,None,671.2929815000389,None,671.2929815000389,None,671.3434279999929,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
23,statement,A,filler,Dibujabas con tu amiga.,white,,,,,0,22,22,22,674.1598658999428,None,674.1598658999428,None,674.1598658999428,None,674.1598658999428,None,674.1934110999573,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
24,statement,C,filler,El hombre da un paseo. ,white,,,,,0,23,23,23,676.8765731999883,None,676.8765731999883,None,676.8765731999883,None,676.8765731999883,None,676.909713699948,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
25,statement,A,filler,Compramos en el supermercado.,white,,,,,0,24,24,24,679.2927111999597,None,679.2927111999597,None,679.2927111999597,None,679.2927111999597,None,679.3265442999545,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
26,statement,B,filler,Mateo piensa en las compras.,white,,,,,0,25,25,25,682.8926216999535,None,682.8926216999535,None,682.8926216999535,None,682.8926216999535,None,682.9259311000351,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
27,statement,A,filler,Emilia va al hospital.,white,,,,,0,26,26,26,686.0766871999949,None,686.0766871999949,None,686.0766871999949,None,686.0766871999949,None,686.0922079000156,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
28,statement,C,filler,El hotel tiene muchas habitaciones. ,white,,,,,0,27,27,27,688.7258838999551,None,688.7258838999551,None,688.7258838999551,None,688.7258838999551,None,688.7414000999415,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
29,statement,A,filler,El abrigo es muy barato. ,white,,,,,0,28,28,28,691.9600030999864,None,691.9600030999864,None,691.9600030999864,None,691.9600030999864,None,691.9922791999998,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
30,statement,B,filler,La discoteca es muy buena.,white,,,,,0,29,29,29,694.7590273999376,None,694.7590273999376,None,694.7590273999376,None,694.7590273999376,None,694.7922290000133,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
31,statement,A,filler,La ciudad tiene dos bancos.,white,,,,,0,30,30,30,697.4919529999606,None,697.4919529999606,None,697.4919529999606,None,697.4919529999606,None,697.5250895000063,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
32,statement,C,filler,Luis trabaja todo el día.,white,,,,,0,31,31,31,700.5250360999489,None,700.5250360999489,None,700.5250360999489,None,700.5250360999489,None,700.5589728000341,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
33,question,C,filler,¿Ella compra una mochila?,white,,,,,0,32,32,32,703.7765745000215,None,703.7765745000215,None,703.7765745000215,None,703.7765745000215,None,703.8089786999626,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
34,question,A,filler,¿Mi padre cantaba bien?,white,,,,,0,33,33,33,706.7415431999834,None,706.7415431999834,None,706.7415431999834,None,706.7415431999834,None,706.7749985000119,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
35,question,B,filler,¿La vecina sale muy temprano? ,white,,,,,0,34,34,34,709.8915246999823,None,709.8915246999823,None,709.8915246999823,None,709.8915246999823,None,709.9246631000424,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
36,question,A,filler,¿Mi amiga mira la luna?,white,,,,,0,35,35,35,713.2239665000234,None,713.2239665000234,None,713.2239665000234,None,713.2239665000234,None,713.2581061000237,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
37,question,B,filler,¿Lucía va a la iglesia?,white,,,,,0,36,36,36,716.008458300028,None,716.008458300028,None,716.008458300028,None,716.008458300028,None,716.0221930999542,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
38,question,A,filler,¿Mi vecino habla mucho?,white,,,,,0,37,37,37,719.4078707000008,None,719.4078707000008,None,719.4078707000008,None,719.4078707000008,None,719.4416010000277,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
39,question,C,filler,¿El estudiante toma apuntes?,white,,,,,0,38,38,38,722.4575077999616,None,722.4575077999616,None,722.4575077999616,None,722.4575077999616,None,722.4905679000076,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
40,question,A,filler,¿La chica abre su libro?,white,,,,,0,39,39,39,725.8074178999523,None,725.8074178999523,None,725.8074178999523,None,725.8074178999523,None,725.8409786999691,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
41,question,B,filler,¿Sandra corre en el parque?,white,,,,,0,40,40,40,728.9075757999672,None,728.9075757999672,None,728.9075757999672,None,728.9075757999672,None,728.9403265999863,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
42,question,A,filler,¿Mi amigo no comía pollo?,white,,,,,0,41,41,41,731.8569932000246,None,731.8569932000246,None,731.8569932000246,None,731.8569932000246,None,731.8898839999456,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
43,question,C,filler,¿Carlos escribe una carta?,white,,,,,0,42,42,42,734.7066745000193,None,734.7066745000193,None,734.7066745000193,None,734.7066745000193,None,734.7400971000316,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
44,question,A,filler,¿Jose visitaba la playa?,white,,,,,0,43,43,43,737.7063716000412,None,737.7063716000412,None,737.7063716000412,None,737.7063716000412,None,737.7396208000137,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
45,question,B,filler,¿Mi hermano cierra la puerta?,white,,,,,0,44,44,44,740.6730793999741,None,740.6730793999741,None,740.6730793999741,None,740.6730793999741,None,740.7062021000311,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
46,question,A,filler,¿El chico escribía una carta?,white,,,,,0,45,45,45,743.5058948999504,None,743.5058948999504,None,743.5058948999504,None,743.5058948999504,None,743.5395832000067,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
47,question,C,filler,¿Mi vecino trae comida?,white,,,,,0,46,46,46,746.5059720999561,None,746.5059720999561,None,746.5059720999561,None,746.5059720999561,None,746.5394639000297,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
48,question,A,filler,¿Carlos trae a sus hijos? ,white,,,,,0,47,47,47,749.7557878999505,None,749.7557878999505,None,749.7557878999505,None,749.7557878999505,None,749.7712929999689,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
49,question,B,filler,¿Jaime tenía una tienda?,white,,,,,0,48,48,48,752.5555962999351,None,752.5555962999351,None,752.5555962999351,None,752.5555962999351,None,752.5898516000016,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
50,question,A,filler,¿Juan quiere un bistec?,white,,,,,0,49,49,49,755.2721859000158,None,755.2721859000158,None,755.2721859000158,None,755.2721859000158,None,755.3054760999512,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
51,question,A,filler,¿Carolina baila flamenco? ,white,,,,,0,50,50,50,762.1720071999589,None,762.1720071999589,None,762.1720071999589,None,762.1720071999589,None,762.1879273999948,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
52,question,B,filler,¿Mi familia cenaba tarde?,white,,,,,0,51,51,51,765.5223148999503,None,765.5223148999503,None,765.5223148999503,None,765.5223148999503,None,765.5554022999713,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
53,question,C,filler,¿Pablo lavaba su coche? ,white,,,,,0,52,52,52,768.471613700036,None,768.471613700036,None,768.471613700036,None,768.471613700036,None,768.5047584000276,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
54,question,A,filler,¿El equipo gana la competencia?,white,,,,,0,53,53,53,774.938049599994,None,774.938049599994,None,774.938049599994,None,774.938049599994,None,774.9530740999617,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
55,question,C,filler,¿Rogelio cuida a los niños? ,white,,,,,0,54,54,54,778.4208764999639,None,778.4208764999639,None,778.4208764999639,None,778.4208764999639,None,778.4374001999386,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
56,question,A,filler,¿Maria se peina en la mañana?,white,,,,,0,55,55,55,781.4711190999951,None,781.4711190999951,None,781.4711190999951,None,781.4711190999951,None,781.5044171999907,None,ecuador,001,2020_Nov_22_1950,text_stim_for_audio,2020.2.5,59.873176661262484,
