stim_n,sentence_type,condition,prompt,sentence,color,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,fillers_loop.thisRepN,fillers_loop.thisTrialN,fillers_loop.thisN,fillers_loop.thisIndex,text_stim_stim_n.started,text_stim_stim_n.stopped,text_stim_sentence_type.started,text_stim_sentence_type.stopped,text_stim_condition.started,text_stim_condition.stopped,text_stim_prompt.started,text_stim_prompt.stopped,text_stim_sentence.started,text_stim_sentence.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,statement,A,filler,Roberto cocina por la mañana.,white,,,,,0,0,0,0,386.02970940002706,None,386.02970940002706,None,386.02970940002706,None,386.02970940002706,None,386.0811039999826,None,salvador,001,2020_Nov_22_1933,text_stim_for_audio,2020.2.5,60.05728263888077,
2,statement,B,filler,Ana practicaba el yoga.,white,,,,,0,1,1,1,389.79576650005765,None,389.79576650005765,None,389.79576650005765,None,389.79576650005765,None,389.84761830000207,None,salvador,001,2020_Nov_22_1933,text_stim_for_audio,2020.2.5,60.05728263888077,
3,statement,A,filler,La niña pinta con su amiga.,white,,,,,0,2,2,2,393.56344649998937,None,393.56344649998937,None,393.56344649998937,None,393.56344649998937,None,393.59727679996286,None,salvador,001,2020_Nov_22_1933,text_stim_for_audio,2020.2.5,60.05728263888077,
4,statement,C,filler,Las chicas dan una fiesta hoy.,white,,,,,0,3,3,3,396.71219059999567,None,396.71219059999567,None,396.71219059999567,None,396.71219059999567,None,396.7634638999589,None,salvador,001,2020_Nov_22_1933,text_stim_for_audio,2020.2.5,60.05728263888077,
5,statement,A,filler,Isabel duerme por muchas horas.,white,,,,,0,4,4,4,400.3967296000337,None,400.3967296000337,None,400.3967296000337,None,400.3967296000337,None,400.42976269999053,None,salvador,001,2020_Nov_22_1933,text_stim_for_audio,2020.2.5,60.05728263888077,
6,statement,B,filler,Alberto nunca se afeita.,white,,,,,0,5,5,5,404.1801051000366,None,404.1801051000366,None,404.1801051000366,None,404.1801051000366,None,404.21388890000526,None,salvador,001,2020_Nov_22_1933,text_stim_for_audio,2020.2.5,60.05728263888077,
7,statement,A,filler,La madre pasa la aspiradora.,white,,,,,0,6,6,6,407.74636370001826,None,407.74636370001826,None,407.74636370001826,None,407.74636370001826,None,407.7618314999854,None,salvador,001,2020_Nov_22_1933,text_stim_for_audio,2020.2.5,60.05728263888077,
8,statement,C,filler,El estudiante odia la tarea.,white,,,,,0,7,7,7,412.9960730000166,None,412.9960730000166,None,412.9960730000166,None,412.9960730000166,None,413.0288692000322,None,salvador,001,2020_Nov_22_1933,text_stim_for_audio,2020.2.5,60.05728263888077,
9,statement,A,filler,El equipo practica mucho.,white,,,,,0,8,8,8,416.5958998000715,None,416.5958998000715,None,416.5958998000715,None,416.5958998000715,None,416.6287282999838,None,salvador,001,2020_Nov_22_1933,text_stim_for_audio,2020.2.5,60.05728263888077,
10,statement,B,filler,Juana barría el piso.,white,,,,,0,9,9,9,419.3620196999982,None,419.3620196999982,None,419.3620196999982,None,419.3620196999982,None,419.3778860999737,None,salvador,001,2020_Nov_22_1933,text_stim_for_audio,2020.2.5,60.05728263888077,
