20.4332 	EXP 	New trial (rep=0, index=3): OrderedDict([('item_num', 4), ('item', 'I find it difficult to explain to others things that I understand easily, \n  when they don’t understand it first time.'), ('is_test_item', 1), ('is_distractor', 0), ('is_agree_score', 0), ('is_disagree_score', 1)])
20.4654 	EXP 	text_eq_question_trial: autoDraw = False
20.4654 	EXP 	slider_eq_trial: autoDraw = False
20.4654 	EXP 	text_eq_question_trial: text = 'I find it difficult to explain to others things that I understand easily, \n  when they don’t understand it first time.'
20.4654 	EXP 	slider_eq_trial: markerPos = None
20.4654 	EXP 	slider_eq_trial: markerPos = None
20.4654 	EXP 	slider_eq_trial: rating = None
20.4654 	EXP 	text_eq_question_trial: autoDraw = True
20.4654 	EXP 	slider_eq_trial: autoDraw = True
26.2039 	DATA 	Mouse: Left button down, pos=(690,310)
26.2316 	EXP 	slider_eq_trial: markerPos = 0.9642857142857144
26.2530 	EXP 	slider_eq_trial: markerPos = 0.9642857142857144
26.2816 	EXP 	slider_eq_trial: markerPos = 0.9642857142857144
26.3024 	EXP 	slider_eq_trial: markerPos = 0.9642857142857144
26.3316 	EXP 	slider_eq_trial: markerPos = 0.9642857142857144
26.3332 	DATA 	Mouse:  Left button up, pos=(690,310)
26.3525 	EXP 	slider_eq_trial: markerPos = 1.0
26.3525 	EXP 	slider_eq_trial: rating = 1.0
26.3542 	EXP 	New trial (rep=0, index=4): OrderedDict([('item_num', 5), ('item', 'I dream most nights.'), ('is_test_item', 0), ('is_distractor', 1), ('is_agree_score', 0), ('is_disagree_score', 0)])
26.3816 	EXP 	text_eq_question_trial: autoDraw = False
26.3816 	EXP 	slider_eq_trial: autoDraw = False
26.3816 	EXP 	text_eq_question_trial: text = 'I dream most nights.'
26.3816 	EXP 	slider_eq_trial: markerPos = None
26.3816 	EXP 	slider_eq_trial: markerPos = None
26.3816 	EXP 	slider_eq_trial: rating = None
26.3816 	EXP 	text_eq_question_trial: autoDraw = True
26.3816 	EXP 	slider_eq_trial: autoDraw = True
28.3504 	DATA 	Mouse: Left button down, pos=(969,312)
28.3695 	EXP 	slider_eq_trial: markerPos = 1.9607142857142859
28.3982 	EXP 	slider_eq_trial: markerPos = 1.9607142857142859
28.4192 	EXP 	slider_eq_trial: markerPos = 1.9607142857142859
28.4480 	EXP 	slider_eq_trial: markerPos = 1.9607142857142859
28.4497 	DATA 	Mouse:  Left button up, pos=(969,312)
28.4683 	EXP 	slider_eq_trial: markerPos = 2.0
28.4683 	EXP 	slider_eq_trial: rating = 2.0
