instructions_text,continue_text,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),0,0,0,0,andalucia,001,2021_Feb_05_0957,empathy_intonation_perc,2020.2.8,60.005739188366256,
"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),0,1,1,1,andalucia,001,2021_Feb_05_0957,empathy_intonation_perc,2020.2.8,60.005739188366256,
