instructions_2afc_loop.thisRepN,instructions_2afc_loop.thisTrialN,instructions_2afc_loop.thisN,instructions_2afc_loop.thisIndex,instructions_2afc_loop.ran,instructions_text,continue_text,participant,study_id,session,Tu variedad del español*,¿Hablas con fluidez otra lengua (sí/no)?*,date,expName,psychopyVersion,OS,frameRate,key_resp_2afc_practice.keys,key_resp_2afc_practice.corr,key_resp_2afc_practice.rt,trials_2afc_practice_loop.thisRepN,trials_2afc_practice_loop.thisTrialN,trials_2afc_practice_loop.thisN,trials_2afc_practice_loop.thisIndex,trials_2afc_practice_loop.ran,path,correct_response
0,0,0,0,1,"En la siguiente tarea vas a escuchar una serie de frases cortas. 

  Vas a decidir si suenan como preguntas o no usando el teclado.",(presiona la barra espaciadora para continuar),731566,cu,001,cubano,si,2022-11-07_16h08.32.771,empathy_intonation_perc_sp_cu,2022.2.4,MacIntel,60.04202942,,,,,,,,,,
0,1,1,1,1,"Si crees que el enunciado es una pregunta, teclea '1' (Sí) y si crees que 
  no es una pregunta teclea '0' (no).

  Vamos a practicar...",(presiona la barra espaciadora para continuar),731566,cu,001,cubano,si,2022-11-07_16h08.32.771,empathy_intonation_perc_sp_cu,2022.2.4,MacIntel,60.04202942,,,,,,,,,,
,,,,,,,731566,cu,001,cubano,si,2022-11-07_16h08.32.771,empathy_intonation_perc_sp_cu,2022.2.4,MacIntel,60.04202942,1,1,12.3629,0,0,0,2,1,./stim/wavs/chilean_question_filler_Mi-padre-cantaba-bien.wav,1
,,,,,,,731566,cu,001,cubano,si,2022-11-07_16h08.32.771,empathy_intonation_perc_sp_cu,2022.2.4,MacIntel,60.04202942,0,1,7.5171,0,1,1,6,1,./stim/wavs/peruvian_statement_filler_El-nino-habla-con-su-madre.wav,0
,,,,,,,731566,cu,001,cubano,si,2022-11-07_16h08.32.771,empathy_intonation_perc_sp_cu,2022.2.4,MacIntel,60.04202942,0,1,17.3114,0,2,2,4,1,./stim/wavs/cuban_statement_filler_Cocinabas-por-la-noche.wav,0
,,,,,,,731566,cu,001,cubano,si,2022-11-07_16h08.32.771,empathy_intonation_perc_sp_cu,2022.2.4,MacIntel,60.04202942,1,1,4.9541,0,3,3,1,1,./stim/wavs/argentine_question_filler_Mi-vecino-habla-mucho.wav,1
,,,,,,,731566,cu,001,cubano,si,2022-11-07_16h08.32.771,empathy_intonation_perc_sp_cu,2022.2.4,MacIntel,60.04202942,1,1,4.9891,0,4,4,0,1,./stim/wavs/castilian_question_filler_Mi-esposo-conoce-al-chico.wav,1
,,,,,,,731566,cu,001,cubano,si,2022-11-07_16h08.32.771,empathy_intonation_perc_sp_cu,2022.2.4,MacIntel,60.04202942,0,1,9.5842,0,5,5,7,1,./stim/wavs/puertorican_statement_filler_La-nina-pinta-con-su-amiga.wav,0
