a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
2238.6,2308.3,2346.9,2430.4,2557.1,2651.6,2723.2,2787.4,2843.3,2874.1,2902.4,2957.7,2975.7,3015.9,3059.4,3078.7,3116.1,3157.6,3197.9,3235.3
2375.7,2373.9,2425.2,2525.6,2686.4,2735.5,2790.6,2861.7,2904.1,2934.1,2949.9,2992,2989.7,3028.1,3072.5,3122.9,3164.8,3190.7,3260.7,3309.9
2534.6,2566.9,2600.9,2628.3,2669.9,2741.2,2798.9,2843.1,2865.5,2913.6,2949.2,2989.9,3035.6,3067.8,3103.2,3153.6,3190.8,3219.3,3257.2,3304
2163.3,2177.7,2218.7,2314.5,2430.9,2543.1,2671.3,2710.8,2748.8,2750.9,2803.1,2830.8,2908.5,2955.8,2997.9,3041.4,3066.3,3087.1,3126.5,3181.9
2147.6,2215.8,2271.5,2325.1,2411.6,2482.4,2603.2,2670,2706.7,2739,2754,2759.7,2788.6,2822,2863.3,2900.7,2933.2,2956.2,2987.8,3013.7
2258.1,2297.5,2331.8,2361.9,2437.3,2539.1,2669.9,2770.9,2820.9,2849.7,2857.5,2867.3,2902.8,2930.5,2947.9,2977.3,3003.5,3061.8,3097.1,3128.9
2213.3,2259.1,2331,2398.6,2463.9,2582,2670.2,2693.6,2702.5,2777.3,2836.8,2884.4,2932.4,2967.3,3005.8,3044.3,3064.6,3092.6,3148.3,3187.6
2059.4,2121.4,2219.4,2315.4,2407.7,2465.2,2521.9,2562.8,2594,2636.3,2664.3,2713.2,2760.7,2804,2847,2861.6,2918.5,2955.5,3001.2,3034.8
2309.3,2350.2,2401.5,2474.5,2576.1,2638.6,2713.7,2778.6,2856,2919,2956.5,2976.7,3014.8,3054.9,3090.9,3114.4,3126.9,3177.1,3237.3,3279.2
2267.5,2354.2,2397.2,2426.5,2508.4,2608.2,2684.8,2756.9,2822.6,2859.3,2889,2922.3,2933,2930.4,2929.6,2966.6,2992.3,3038.5,3063.9,3103.2
2424.4,2473.1,2547.3,2576.9,2597.6,2647.3,2730.1,2803.6,2868.4,2902.7,2933.7,2966.6,3000.4,3005.3,3041.8,3084.9,3113.7,3163.7,3260.4,3340.2
2305.8,2310.8,2380.1,2431.8,2496,2625.2,2731.6,2784.6,2864.1,2914.3,2940.1,2942.9,2986,3008.6,3050.9,3069.7,3075.5,3127.1,3179.6,3252
2146.5,2195.5,2236.8,2309.7,2375.3,2476.3,2570.2,2638.2,2709.9,2774.8,2847.2,2875,2915.1,2965.8,2990.6,3020.7,3056.1,3100.1,3146,3170.6
2327.4,2361,2397.7,2489.9,2554,2717.3,2786.5,2829.9,2847.2,2895.7,2925.4,2942.7,2993.5,3037.9,3047.5,3067.3,3084.9,3128.5,3200.1,3249.1
2299.9,2379.4,2437.5,2480.8,2534.9,2605,2662.6,2711.7,2776.4,2810.8,2863.1,2881.9,2890.8,2937.8,3019.7,3062.7,3110.9,3165.6,3232.7,3262.3
2153.8,2238.6,2314.1,2374.3,2450.2,2498.6,2558.8,2622.5,2727,2756.3,2793.3,2828.8,2838.8,2866,2894.8,2964.2,3029.2,3095.2,3152.9,3232.8
2252.2,2315.3,2373.2,2426.2,2516.9,2627.1,2700.7,2784.6,2838.5,2851.5,2889.9,2953.6,2996,3028,3068.3,3086.4,3113,3130.2,3157.8,3220.3
2334.1,2402.8,2444.3,2513.5,2565,2677.7,2749.8,2777.1,2779.4,2802.2,2817.9,2853,2893.6,2949.8,2973.6,3007.6,3031.1,3058.6,3121.4,3154.1
2261.9,2303.1,2329.9,2446,2600.7,2682.5,2764.1,2808,2828.4,2849.3,2831.1,2840.9,2878.1,2953.5,2995.5,3028.9,3053.6,3082.4,3124.3,3166.7
2139.9,2235.5,2316.5,2341.4,2427.4,2545.8,2638.8,2705.1,2767.8,2825.4,2855.5,2870.3,2887.3,2926.1,2975.3,3026.1,3052.1,3088.7,3162.9,3216.7
2169.6,2278.7,2346.1,2443.9,2520.1,2581.8,2604.4,2645.8,2675.7,2676.3,2678.7,2678.8,2701.3,2761,2847.8,2905.5,2964.5,2994.8,3016.5,3055.3
2137.7,2213.1,2317.8,2396.9,2497.4,2584.4,2661.6,2703.4,2740.5,2788.4,2801,2814.1,2818,2847.8,2870.9,2903.6,2931.8,3006.8,3075.9,3156.1
2016.4,2091.8,2191.6,2290.2,2398.3,2475.8,2496.2,2551.5,2637.8,2659.3,2671.4,2685.4,2717.6,2736.9,2783.4,2834.8,2878.1,2923.6,2974.8,3030.7
2311.7,2345.2,2361.4,2356.1,2447.1,2551,2642.8,2716.7,2741.8,2773.9,2767.8,2798.5,2817.4,2817.2,2856.9,2901.7,2958.3,2999,3045.9,3106.6
2111.7,2153.1,2258.6,2401.8,2507.9,2599.2,2609.8,2664.2,2743.7,2820.1,2891,2921.8,2947.3,2991.3,3025.5,3054.4,3087.7,3116.4,3147.8,3180.1
2285.3,2345,2415.6,2489.2,2575.7,2623.7,2713.7,2761.4,2836.3,2888,2932,2963.9,2980.5,3000.7,3023.6,3062.1,3097.1,3146.1,3213.4,3264.5
2355.1,2399.7,2451.4,2508.5,2567.1,2695.8,2752.1,2772.1,2808,2845.8,2902.1,2927.3,2951.7,2983.9,3026.5,3068.5,3085.9,3120.3,3154.5,3184.5
2177.9,2269.3,2326,2455,2554.7,2688.8,2754.1,2808.3,2835,2866.3,2882.7,2911.5,2959.9,3007.3,3065.2,3119.1,3171.3,3204.2,3251.3,3300.7
2067.1,2174.2,2255.1,2347.6,2413.9,2501.1,2581.5,2620.2,2643.6,2678.6,2720.6,2780.8,2822,2845.7,2874,2901.7,2921.2,2954.7,3008.1,3037.4
2213.2,2267.2,2288.4,2320.9,2341.9,2437.3,2600.1,2676.9,2718.4,2779.1,2842.1,2885.2,2894.2,2911.9,2963.9,2997.3,3062.2,3120.9,3169.2,3246.6
2213.7,2271.1,2372.4,2449.9,2552.2,2635.8,2730,2773.8,2791.5,2827.5,2871.4,2920.2,2976.9,3046.3,3078.3,3097.4,3115.8,3164.4,3215.2,3286.5
2042,2136.4,2224.8,2290.6,2420,2506,2526.5,2547.8,2570.5,2612,2669.2,2704.9,2738.4,2778.6,2814.2,2842.7,2873.1,2901.1,2945,2983.4
2326.5,2356.4,2392.8,2451.4,2549.7,2614.4,2685.8,2724.1,2734.3,2762.7,2785.6,2804.6,2807.5,2827.7,2842.6,2892,2921.9,2987.5,3067.2,3093.9
