e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
617.7,620,628.9,638.5,606.2,556.5,547.8,550.7,528.8,521.9,513.5,519.7,514.3,526.3,506.6,560.1,582.5,649.8,698.1,660
703.2,726.4,747.5,687.7,622,595.5,574,571.3,579.3,637.8,676.6,682.2,655,633.4,642.3,663.4,700.1,720.5,735.6,793
694,730.1,745.7,697.6,688.6,725.1,723.4,717,723.7,723.4,722.6,670.1,675.7,697.1,697.4,691.4,687.8,705.6,751.1,832.7
804.8,845.9,868.4,799.4,754.2,677.8,647,591.1,614.9,630.1,695.1,776.1,859.4,942.3,960.4,976.2,989.5,1033.1,1045.1,1089.8
752.4,781.8,786.9,772.3,674.9,592.8,616.7,664.6,751.2,734.8,638.7,618.7,603.3,624,663.8,702.3,741.7,822.7,862,868.7
818.5,823.4,763.7,679.9,657.3,646.5,642.3,652.9,645.5,612.9,650.6,686.8,743.4,761.7,769.6,778.7,814.9,848.2,945.3,1049.2
758.1,743.6,764.1,753.4,727.7,722.9,726.8,715.8,732.4,714.3,784.9,753.5,792.7,792.2,806.9,821.7,856.4,856.8,846.4,853.5
800.4,830.9,863.6,797.5,783.3,741.9,622.2,594.1,610.8,624.3,659.8,695.2,678.4,657.4,637.4,642.2,638.9,638.4,663.7,765.6
735.2,701.4,711.7,729.1,718.4,719.6,682.9,668.7,637.5,625.5,618.6,614.1,629.6,641.1,643.1,650.3,668.3,695.5,712.1,736.5
698.3,690.6,659,647.5,628.2,638.1,619.7,636.1,675.5,676.8,674.3,666.8,647.1,643.8,617.9,631.7,646.8,657.8,663,696.6
672.1,738.9,748.3,718.7,688.6,670.7,665.8,694.7,694.1,678.2,585.8,589.3,655.3,711.7,697,666.2,664.2,663.9,684.1,713.5
794.8,816.5,818.7,727.4,610.5,560.1,529.1,530,501.5,546.2,578,565.6,608.3,636,657,706.2,727.9,772.7,846.8,893.5
707.6,833.1,870.5,803.3,714.8,643.6,616.5,538.3,571.3,578.8,559.8,571.8,621.3,644.5,711.1,746.3,756.6,753,731.9,738
702.1,755,744,704.1,660.8,620.3,616.2,600.5,589.3,635,712.4,749.7,791.9,802.5,805.8,803.8,846.2,865.6,867,897.2
622,685.3,693.2,739.5,735.7,621.7,541.4,497.2,502.1,532.8,596.8,653.6,704.5,696.6,749.8,813.1,816,809.9,812.9,809.7
696.2,757.8,794,766.8,773.8,704.7,671.7,647.5,618.8,629.3,656.1,674.7,693.3,708.6,691.7,717.5,685.7,683.4,749.7,779.9
745.8,773.9,791.9,788.6,726.5,633.8,597.3,611.1,619.4,623.9,659.4,684.6,703.3,775.8,836.9,864.3,858.2,874.4,883.3,921.5
655.7,719.6,752.3,718.6,634.3,554.4,540.6,492.8,511.9,531,574.4,595.9,614.2,635.3,659.2,686.9,708.2,709.8,747.8,876.6
697.7,796.7,902.3,785.2,719,615.5,624.2,559.7,548.1,557.4,589.4,622.4,673.8,719.1,706.4,726,755.4,778.2,772.5,811.2
783.6,782.3,776.5,780.1,733.6,683.6,602.4,531.8,537.9,560.1,597.2,620.4,638.6,653.7,710.3,820,846.6,852.3,837.2,863.7
811,860.8,942.4,873.5,833.7,714.1,651.5,615.7,657.1,690.6,695.8,732.5,746.5,760,758.3,773.9,762.2,760.7,757,800.3
819.7,851.1,881.1,817.9,691.1,629.5,646.3,690.7,734,763.2,806.4,837.2,860.9,884.5,884,851,926.4,929.8,915.3,906.4
790.6,845.1,842.4,844.2,871.3,781.6,765.7,777.9,759.5,723.8,722.6,730.9,762.1,793.3,837.1,867.8,903.6,937.2,981.8,1008.1
716.7,730.9,738.5,759.3,697,561.9,535,465.1,448.8,466.3,499.9,539.9,582.8,589,591.4,707.5,732.5,761.6,788.4,865.7
627,634,752.5,798.9,754.5,710.8,649,575.2,468.5,441.6,436.7,442.2,436.6,449.1,471.2,490.6,507.4,521.1,541.3,562.9
709.6,727.1,749.7,710.2,713.4,679.8,645.2,623.6,632.2,603.2,575,536.8,542.2,568,568.5,576.7,610.2,638.4,654.9,629.5
694,719.8,719.5,715.9,711,746.8,713,599.6,608.4,638.3,656.6,655.9,672.8,696.4,714.1,755.2,826.7,841.3,903.6,902.5
838.6,878.6,888.3,776.1,709.2,678.2,643,568.4,525.1,502.7,537.5,578.6,640.2,734.2,797.7,819.4,881.2,1010.6,1039.5,1119
759.1,823.5,748,683.9,614.9,584.4,619,625.7,604.8,606,588.1,636.4,695.1,724.5,747.5,779.2,815.4,870.6,914.8,989.6
684.5,719.9,782.8,724.4,709.1,700.1,652.2,595.6,612.9,601,610,651.2,671.4,687.7,772.7,875,925.3,940.6,988,1022.3
711.4,748.5,829.4,810.5,787.6,754.7,705.1,698.8,675.2,687.2,689.9,681.5,592.7,608.9,626.5,671.4,692.7,694.2,695.8,747.2
779.1,880.9,863.3,749.7,777.6,730.9,657.2,628.3,648.8,624.9,623.3,638.5,693,669.6,645.4,656.5,685.5,706.2,704.5,749.6
728.1,706.5,688.8,744.9,698.5,612,636.6,549.9,528,534.2,581.2,642.3,726.5,832.5,916.4,1011.9,1103.7,1121.5,1189.2,1205.5
456,376.5,370.4,373.3,395.5,416.6,445.9,489.7,582.9,627.2,733.8,781.4,901.9,926.1,925.1,887.2,871.9,895.3,945.2,995.9
479.5,443.3,409.3,407.3,411.6,412.3,419.9,434.2,450.7,441.9,485.3,561,630.7,643.7,634.4,612.1,633.5,647.1,691,715.3
457.5,434.4,436.6,439.2,439.6,441,454.9,455.5,477.1,493.9,484.1,494.1,498.4,495.5,544.6,606.6,646.6,688.7,742.4,838.7
662.9,588.9,494.8,474.8,474.5,476.4,501.5,534.4,571.9,572.4,609.6,647,678.7,703.8,713.8,740.5,789.4,817.4,850.9,860
523.7,533.9,476.7,473.5,488.3,483.5,499.9,499.5,500.1,491.5,487.3,537.1,588.5,634.9,634.2,633.7,641.1,712.1,753.8,794.8
447.7,469.8,453.1,462.6,490.4,479.4,470.2,492.2,507.1,492.7,447.5,410.3,411.8,439.9,448.7,456.8,467.6,482.5,475.3,471.1
544.1,481.1,413.9,384.3,370,382.9,424.1,460.3,497.5,531.5,581.4,608.4,643.3,652.8,677.8,696.4,666.1,673.8,649.9,647
492.2,427.9,378.9,371.9,402.4,424.9,445.1,460.5,487,508.9,533.6,538.1,549,561.5,597.9,630.6,635.2,690.1,748,789.1
371.5,362.6,379,406.4,400.7,449.8,527.8,593.3,645.7,686.1,768.9,824.6,844.9,904.7,913.8,932.3,957.1,963.6,947,993.2
485.7,440.6,422.3,385.1,363.5,361.6,371.5,395.9,416.4,443,486.2,516.9,540.7,584.5,618.9,634.2,650.2,666,713.2,752.4
