a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
1319.7,1373.5,1394.7,1467.1,1568.2,1650.2,1699.8,1783.8,1822.8,1844,1855.1,1891,1891.9,1936.1,1973.5,1991.5,2009.5,2036.8,2072.6,2104.5
1427.5,1493.6,1522.6,1583.6,1674,1749.9,1805.2,1915.4,1963.6,1982.6,1993,2030.9,2041,2064.8,2113.5,2133.3,2153.2,2158.2,2208.2,2251.8
1599.8,1654.8,1672.3,1672.9,1706.6,1772.8,1786.4,1819.1,1870.6,1987,2108.2,2153.4,2189.5,2227.7,2269.7,2327.5,2362.3,2397,2432.7,2468.9
1413.8,1433.3,1476.8,1541.5,1642.4,1720.9,1762.3,1793.1,1837.4,1835.5,1859.7,1847.2,1902.1,1924,1958.2,1980.4,1999.9,2002.4,2014.7,2032.7
1382.4,1449.3,1512.4,1540.5,1596.1,1624.6,1700.8,1761.3,1782.1,1800.6,1808,1808.1,1828,1862.3,1920.3,1938.1,1967.6,1957.8,1966.3,1990.2
1362.5,1387.9,1420.7,1454.4,1502.8,1578.1,1710.4,1811.9,1881,1926,1952.7,1973.2,2026,2037.3,2064.8,2099.4,2097.8,2136.5,2174.5,2211.6
1418.1,1443.2,1477.9,1497.7,1540.1,1621.2,1667.2,1682.5,1683.2,1737.6,1773.2,1811.6,1875.7,1906.9,1947.5,1991.5,2007.3,2029.7,2059.9,2067
1297.4,1338.3,1388.9,1448.8,1508.2,1541.9,1573.4,1581.3,1600.2,1629.9,1651.7,1692.9,1724.2,1766,1810,1812.9,1846.1,1880.2,1918.4,1964.9
1439.5,1505.9,1547.5,1541.8,1613.7,1656,1718.9,1762.9,1839.9,1903.8,1927.8,1937.7,1964.7,1978.5,1999.6,2028.3,2053.5,2097.9,2150.3,2184.3
1507,1562.9,1607.1,1619.4,1669.3,1737.4,1782.9,1825.4,1911.8,1974.1,1999.4,2043,2048.7,2060.1,2060.9,2087.2,2111.5,2147.3,2167.4,2195.7
1469.4,1512.6,1516.5,1511,1481.1,1545.7,1691.2,1867.1,2057.9,2108.7,2157.2,2188.2,2234.3,2239.7,2242,2269.3,2298.9,2328.8,2363.1,2421.1
1596.9,1565.4,1616.9,1640.2,1689.6,1792.3,1880.3,1907.7,1977.5,2015.2,2027.4,2014.2,2045.1,2040.7,2067.5,2079.5,2083.2,2110.9,2147.3,2192.5
1369.3,1404.4,1424.9,1479.4,1517.8,1575.4,1632.1,1698.5,1785,1852.9,1893.3,1914.4,1940.5,1982.1,2000.6,2017.7,2029.6,2036.9,2058.2,2072.7
1539.1,1575.1,1595.7,1701.4,1770.6,1867.9,1895.1,1943.2,1953.1,2010.2,2049.5,2059.5,2099.5,2133.7,2128,2136.8,2159.1,2192.8,2242.7,2293.4
1468.5,1544.7,1601.2,1623.8,1642.2,1670.4,1689.9,1718.6,1796.3,1843.9,1893.1,1896,1891,1918.3,1976.7,2005.3,2040.4,2094.6,2146.2,2168.2
1349.9,1415,1485.3,1516.9,1570.5,1596.6,1636.7,1689.8,1759.6,1792.3,1812.4,1839.4,1847.2,1867.5,1887.5,1944.6,1967.9,2034.4,2070.1,2109.2
1325.5,1366.5,1398.2,1451.5,1561.8,1669.1,1728.7,1797.9,1822.6,1813.7,1835,1881.8,1914.3,1958.4,2006.3,2015.8,2031.3,2038.8,2058.4,2120.7
1423.7,1499.6,1544.6,1551,1570.6,1670.2,1779.3,1815.3,1834.7,1831.6,1843.2,1879.7,1933.6,1995.3,2021.2,2057.3,2084,2104,2145.7,2184.9
