participant,effect,q_type,estimate,se,lextale_std,eq_std,q_sum
5bb6413cb4dca50001df0096,drift_rate,yn,1.76558204,0.09052082295766464,0.1524397942969588,1.7391698204480177,1
5bb6413cb4dca50001df0096,drift_rate,wh,1.5721782705,0.14320387365228582,0.1524397942969588,1.7391698204480177,-1
5bc5356e65cfb8000154bd82,boundary_separation,yn,1.78996585,0.27098057836550415,-0.7326944951692537,-0.8901183991772728,1
5bc5356e65cfb8000154bd82,boundary_separation,wh,1.6023495700000001,0.2157267457730636,-0.7326944951692537,-0.8901183991772728,-1
5bc5356e65cfb8000154bd82,drift_rate,yn,1.25935885,0.0819275194116664,-0.7326944951692537,-0.8901183991772728,1
5bc5356e65cfb8000154bd82,drift_rate,wh,1.2860340315,0.06510391330474923,-0.7326944951692537,-0.8901183991772728,-1
5bc9f91f418bad00016c6773,boundary_separation,yn,1.1290188205,0.14648387847155506,-0.21636615964729636,0.6874545325979016,1
5bc9f91f418bad00016c6773,boundary_separation,wh,1.3858339955,0.18506170838429958,-0.21636615964729636,0.6874545325979016,-1
5bc9f91f418bad00016c6773,drift_rate,yn,1.519777025,0.026783927219099404,-0.21636615964729636,0.6874545325979016,1
5bc9f91f418bad00016c6773,drift_rate,wh,1.266800795,0.04750361671130212,-0.21636615964729636,0.6874545325979016,-1
5bdab584b341a4000154256b,boundary_separation,yn,1.482227759,0.23767280272305882,-0.5851721135915515,-0.5896283169343824,1
5bdab584b341a4000154256b,boundary_separation,wh,1.278080974,0.1862596163867831,-0.5851721135915515,-0.5896283169343824,-1
5bdab584b341a4000154256b,drift_rate,yn,1.564112645,0.052103293906162126,-0.5851721135915515,-0.5896283169343824,1
5bdab584b341a4000154256b,drift_rate,wh,1.61229247,0.04025412501706557,-0.5851721135915515,-0.5896283169343824,-1
5c049e9bad9a9700011b877b,boundary_separation,yn,1.148552518,0.14676498336893687,0.9638128929743202,0.8376995737193467,1
5c049e9bad9a9700011b877b,boundary_separation,wh,1.539096469,0.3191721404575612,0.9638128929743202,0.8376995737193467,-1
5c049e9bad9a9700011b877b,drift_rate,yn,1.38136099,0.02471811293107418,0.9638128929743202,0.8376995737193467,1
5c049e9bad9a9700011b877b,drift_rate,wh,1.1973377835,0.05497018574571207,0.9638128929743202,0.8376995737193467,-1
5c1919fbd9241d0001363964,boundary_separation,yn,1.769538965,0.2201057308630517,-0.4376497320138495,0.7625770531586241,1
5c1919fbd9241d0001363964,boundary_separation,wh,4.93150738,2.190108938003221,-0.4376497320138495,0.7625770531586241,-1
5c1919fbd9241d0001363964,drift_rate,yn,1.109579731,0.06149332476191034,-0.4376497320138495,0.7625770531586241,1
5c1919fbd9241d0001363964,drift_rate,wh,0.5519116627365,0.17882949010257948,-0.4376497320138495,0.7625770531586241,-1
5c1dc77ee2d9150001b5b70e,boundary_separation,yn,1.2284719245,0.15247684470744982,-0.6589333043804025,0.6123320120371789,1
5c1dc77ee2d9150001b5b70e,boundary_separation,wh,1.96269225,0.24187248137740128,-0.6589333043804025,0.6123320120371789,-1
5c1dc77ee2d9150001b5b70e,drift_rate,yn,1.653102215,0.03416767698745606,-0.6589333043804025,0.6123320120371789,1
5c1dc77ee2d9150001b5b70e,drift_rate,wh,1.3332511505,0.08869395194132086,-0.6589333043804025,0.6123320120371789,-1
5c59aecb6ca5e600017206de,boundary_separation,yn,1.6317757449999999,0.1952527180299778,-0.21636615964729636,0.08647436811212084,1
5c59aecb6ca5e600017206de,boundary_separation,wh,2.268126725,0.34992491524379704,-0.21636615964729636,0.08647436811212084,-1
5c59aecb6ca5e600017206de,drift_rate,yn,1.39974156,0.054433933898315884,-0.21636615964729636,0.08647436811212084,1
5c59aecb6ca5e600017206de,drift_rate,wh,1.1153751285,0.06599087622494079,-0.21636615964729636,0.08647436811212084,-1
5c5fc78e96dff400013607a5,boundary_separation,yn,2.616644065,0.4118916163461377,0.07867860350810778,-0.9652409197379954,1
5c5fc78e96dff400013607a5,boundary_separation,wh,2.622846635,0.42223855139253663,0.07867860350810778,-0.9652409197379954,-1
5c5fc78e96dff400013607a5,drift_rate,yn,0.73426853695,0.1069934777926144,0.07867860350810778,-0.9652409197379954,1
5c5fc78e96dff400013607a5,drift_rate,wh,0.58481882285,0.1302899337708703,0.07867860350810778,-0.9652409197379954,-1
5c6d460ec3aa150001145611,boundary_separation,yn,2.854812405,0.34523846679366854,-1.1752616399023599,0.6123320120371789,1
5c6d460ec3aa150001145611,boundary_separation,wh,2.53556129,0.32873587830731094,-1.1752616399023599,0.6123320120371789,-1
5c6d460ec3aa150001145611,drift_rate,yn,1.3789445765,0.1811324427984402,-1.1752616399023599,0.6123320120371789,1
5c6d460ec3aa150001145611,drift_rate,wh,1.0693690315,0.15070270237744723,-1.1752616399023599,0.6123320120371789,-1
5c70eafaf6c9fe00013eeafb,boundary_separation,yn,1.9957216,0.24896558471850505,-0.4376497320138495,-0.9652409197379954,1
5c70eafaf6c9fe00013eeafb,boundary_separation,wh,1.6318006,0.2266012661406557,-0.4376497320138495,-0.9652409197379954,-1
5c70eafaf6c9fe00013eeafb,drift_rate,yn,1.2040949675,0.07029710822280451,-0.4376497320138495,-0.9652409197379954,1
5c70eafaf6c9fe00013eeafb,drift_rate,wh,1.2934375125,0.04635856368508753,-0.4376497320138495,-0.9652409197379954,-1
5c742339e621f900163f4543,boundary_separation,yn,1.456745945,0.1854787146092336,-0.4376497320138495,0.9128220942800693,1
5c742339e621f900163f4543,boundary_separation,wh,1.89741976,0.33109295982890746,-0.4376497320138495,0.9128220942800693,-1
5c742339e621f900163f4543,drift_rate,yn,1.4980118515,0.05469127456178951,-0.4376497320138495,0.9128220942800693,1
5c742339e621f900163f4543,drift_rate,wh,1.2307723375,0.10581394539941835,-0.4376497320138495,0.9128220942800693,-1
5c75471e5eb59f000131c7a4,boundary_separation,yn,1.6180580025,0.26731981540773836,0.595006939030065,-0.4393832758129373,1
5c75471e5eb59f000131c7a4,boundary_separation,wh,3.06691549,0.5880330974447826,0.595006939030065,-0.4393832758129373,-1
5c75471e5eb59f000131c7a4,drift_rate,yn,1.491220655,0.05980966997009715,0.595006939030065,-0.4393832758129373,1
5c75471e5eb59f000131c7a4,drift_rate,wh,0.40343636607,0.15307409961224017,0.595006939030065,-0.4393832758129373,-1
5cdf215da7b516001828bdda,boundary_separation,yn,1.525910985,0.19739558547004366,-0.8064556859581047,0.6123320120371789,1
5cdf215da7b516001828bdda,boundary_separation,wh,1.501602826,0.20170540158251465,-0.8064556859581047,0.6123320120371789,-1
5cdf215da7b516001828bdda,drift_rate,yn,1.326329225,0.04459972656254858,-0.8064556859581047,0.6123320120371789,1
5cdf215da7b516001828bdda,drift_rate,wh,1.3015550565,0.05634516223327301,-0.8064556859581047,0.6123320120371789,-1
5ced8f96a726ed0015d31452,boundary_separation,yn,1.3674293425,0.17622648096225027,-0.2901273504361474,-0.06377067300932433,1
5ced8f96a726ed0015d31452,boundary_separation,wh,1.82569575,0.33483742319822096,-0.2901273504361474,-0.06377067300932433,-1
5ced8f96a726ed0015d31452,drift_rate,yn,1.546443535,0.04788161456509644,-0.2901273504361474,-0.06377067300932433,1
5ced8f96a726ed0015d31452,drift_rate,wh,1.3018725865,0.05442855792058223,-0.2901273504361474,-0.06377067300932433,-1
5d0ac7504d57690017a355ef,boundary_separation,yn,2.077092785,0.27296237003664403,-0.4376497320138495,-0.9652409197379954,1
5d0ac7504d57690017a355ef,boundary_separation,wh,1.8297825699999999,0.24400326129881406,-0.4376497320138495,-0.9652409197379954,-1
5d0ac7504d57690017a355ef,drift_rate,yn,1.2432381055,0.10667133722167685,-0.4376497320138495,-0.9652409197379954,1
5d0ac7504d57690017a355ef,drift_rate,wh,1.2904445875,0.08590418121634458,-0.4376497320138495,-0.9652409197379954,-1
5d0d260f7374b40019cef54a,boundary_separation,yn,1.602607005,0.20892983746672447,-0.06884377806959428,0.8376995737193467,1
5d0d260f7374b40019cef54a,boundary_separation,wh,1.4821249255,0.20316187124931862,-0.06884377806959428,0.8376995737193467,-1
5d0d260f7374b40019cef54a,drift_rate,yn,1.1597893735,0.05499670493557667,-0.06884377806959428,0.8376995737193467,1
5d0d260f7374b40019cef54a,drift_rate,wh,1.195950592,0.044667094418536266,-0.06884377806959428,0.8376995737193467,-1
5d184b040a274600013f7107,boundary_separation,yn,1.73984615,0.25305054252088166,-0.4376497320138495,1.138189655962237,1
5d184b040a274600013f7107,boundary_separation,wh,1.784662305,0.2309721040157311,-0.4376497320138495,1.138189655962237,-1
5d184b040a274600013f7107,drift_rate,yn,1.471180385,0.08451473844121313,-0.4376497320138495,1.138189655962237,1
5d184b040a274600013f7107,drift_rate,wh,1.473057825,0.06816912903871021,-0.4376497320138495,1.138189655962237,-1
5d22686d9b3bf900019d73c0,boundary_separation,yn,2.467883085,0.3890364765180298,-0.4376497320138495,-1.7164661253452211,1
5d22686d9b3bf900019d73c0,boundary_separation,wh,2.180092525,0.2825348647474738,-0.4376497320138495,-1.7164661253452211,-1
5d22686d9b3bf900019d73c0,drift_rate,yn,1.2879167195,0.16133333220114304,-0.4376497320138495,-1.7164661253452211,1
5d22686d9b3bf900019d73c0,drift_rate,wh,1.3887421615,0.10887219507579853,-0.4376497320138495,-1.7164661253452211,-1
5d453e8723a5bb0001492546,boundary_separation,yn,1.324518255,0.16484523425918918,-0.3638885412249985,-1.0403634402987179,1
5d453e8723a5bb0001492546,boundary_separation,wh,1.55539826,0.22096517696399304,-0.3638885412249985,-1.0403634402987179,-1
5d453e8723a5bb0001492546,drift_rate,yn,1.543371515,0.03602732795857462,-0.3638885412249985,-1.0403634402987179,1
5d453e8723a5bb0001492546,drift_rate,wh,1.287331282,0.046657051460909836,-0.3638885412249985,-1.0403634402987179,-1
5d4613a2da9cb60001aa4948,boundary_separation,yn,2.100122685,0.29213109711376367,-0.06884377806959428,-0.9652409197379954,1
5d4613a2da9cb60001aa4948,boundary_separation,wh,1.744040815,0.22159464825137948,-0.06884377806959428,-0.9652409197379954,-1
5d4613a2da9cb60001aa4948,drift_rate,yn,1.715312638,0.12617149314975143,-0.06884377806959428,-0.9652409197379954,1
5d4613a2da9cb60001aa4948,drift_rate,wh,1.3261081735,0.07421101070141857,-0.06884377806959428,-0.9652409197379954,-1
5d61798f7ad20f001b74922e,boundary_separation,yn,1.3417389695,0.18816797211975633,-0.4376497320138495,-0.5896283169343824,1
5d61798f7ad20f001b74922e,boundary_separation,wh,1.579174775,0.21020283705459894,-0.4376497320138495,-0.5896283169343824,-1
5d61798f7ad20f001b74922e,drift_rate,yn,1.44388591,0.044863001183709325,-0.4376497320138495,-0.5896283169343824,1
5d61798f7ad20f001b74922e,drift_rate,wh,1.395828475,0.054999566405352356,-0.4376497320138495,-0.5896283169343824,-1
5d62886927a84f00010fbbb4,boundary_separation,yn,1.77138095,0.2246671458859033,-1.1015004491135088,-1.6413436047844987,1
5d62886927a84f00010fbbb4,boundary_separation,wh,1.90154707,0.29342714647431506,-1.1015004491135088,-1.6413436047844987,-1
5d62886927a84f00010fbbb4,drift_rate,yn,1.326580518,0.07129690924170827,-1.1015004491135088,-1.6413436047844987,1
5d62886927a84f00010fbbb4,drift_rate,wh,1.3000526575,0.05840921520028625,-1.1015004491135088,-1.6413436047844987,-1
5d8f8510f3e52d0018924390,boundary_separation,yn,2.758106345,0.36509514859671227,-0.3638885412249985,-0.3642607552522147,1
5d8f8510f3e52d0018924390,boundary_separation,wh,5.233410115,2.2679115130456786,-0.3638885412249985,-0.3642607552522147,-1
5d8f8510f3e52d0018924390,drift_rate,yn,1.735747129,0.20993041239206603,-0.3638885412249985,-0.3642607552522147,1
5d8f8510f3e52d0018924390,drift_rate,wh,1.61539451521,0.36839869068408837,-0.3638885412249985,-0.3642607552522147,-1
5dcc5f2545b8f98fd44ab4d7,boundary_separation,yn,1.326237229,0.20160969744378676,-0.4376497320138495,0.3118419297942886,1
5dcc5f2545b8f98fd44ab4d7,boundary_separation,wh,1.2407999315,0.16634641467316064,-0.4376497320138495,0.3118419297942886,-1
5dcc5f2545b8f98fd44ab4d7,drift_rate,yn,1.54943835,0.043249354804702135,-0.4376497320138495,0.3118419297942886,1
5dcc5f2545b8f98fd44ab4d7,drift_rate,wh,1.52729602,0.036404397629173475,-0.4376497320138495,0.3118419297942886,-1
5dd1ab5dd3ac2a21600f87b8,boundary_separation,yn,1.981600305,0.24538159461468334,0.07867860350810778,0.9128220942800693,1
5dd1ab5dd3ac2a21600f87b8,boundary_separation,wh,3.80664029,2.064129798638067,0.07867860350810778,0.9128220942800693,-1
5dd1ab5dd3ac2a21600f87b8,drift_rate,yn,1.3649113595,0.07467320475837168,0.07867860350810778,0.9128220942800693,1
5dd1ab5dd3ac2a21600f87b8,drift_rate,wh,1.1940105925,0.11291393517983217,0.07867860350810778,0.9128220942800693,-1
5dd32e9deab0423455e0358f,boundary_separation,yn,1.450095062,0.2121841834290692,0.004917412719256751,-1.8667111664666665,1
5dd32e9deab0423455e0358f,boundary_separation,wh,1.808336345,0.23916201300273993,0.004917412719256751,-1.8667111664666665,-1
5dd32e9deab0423455e0358f,drift_rate,yn,1.83358529,0.05940471189572092,0.004917412719256751,-1.8667111664666665,1
5dd32e9deab0423455e0358f,drift_rate,wh,1.5300946500000001,0.06229921331981355,0.004917412719256751,-1.8667111664666665,-1
5ddda819ca7466d2350d77c6,boundary_separation,yn,1.574312567,0.27154817101758394,-0.4376497320138495,-1.4910985636630534,1
5ddda819ca7466d2350d77c6,boundary_separation,wh,1.828846455,0.3119779896702688,-0.4376497320138495,-1.4910985636630534,-1
5ddda819ca7466d2350d77c6,drift_rate,yn,1.5776235,0.05501335489095515,-0.4376497320138495,-1.4910985636630534,1
5ddda819ca7466d2350d77c6,drift_rate,wh,1.269800184,0.07898422755978407,-0.4376497320138495,-1.4910985636630534,-1
5deec7e78b5f8b5683c0355a,boundary_separation,yn,1.2427802065,0.17645902624900273,-1.1015004491135088,0.8376995737193467,1
5deec7e78b5f8b5683c0355a,boundary_separation,wh,1.65943724,0.3310585027334632,-1.1015004491135088,0.8376995737193467,-1
5deec7e78b5f8b5683c0355a,drift_rate,yn,1.404020985,0.03924763209153096,-1.1015004491135088,0.8376995737193467,1
5deec7e78b5f8b5683c0355a,drift_rate,wh,1.230010319,0.059343291648669846,-1.1015004491135088,0.8376995737193467,-1
5e14bd64617219ae6593485a,boundary_separation,yn,1.0363082465,0.1340544790318846,-1.0277392583246578,-2.092078728148834,1
5e14bd64617219ae6593485a,boundary_separation,wh,1.66733337,0.2476953921151555,-1.0277392583246578,-2.092078728148834,-1
5e14bd64617219ae6593485a,drift_rate,yn,1.259773935,0.013336588430376623,-1.0277392583246578,-2.092078728148834,1
5e14bd64617219ae6593485a,drift_rate,wh,0.573485243,0.0613325710342701,-1.0277392583246578,-2.092078728148834,-1
5e1a7114a90da52e206de7ea,boundary_separation,yn,1.3125300475,0.17108227385374478,-0.5114109228027005,0.011351847551398253,1
5e1a7114a90da52e206de7ea,boundary_separation,wh,1.358573865,0.18091789069684588,-0.5114109228027005,0.011351847551398253,-1
5e1a7114a90da52e206de7ea,drift_rate,yn,1.47825951,0.04266658880388705,-0.5114109228027005,0.011351847551398253,1
5e1a7114a90da52e206de7ea,drift_rate,wh,1.360462305,0.04649292865097064,-0.5114109228027005,0.011351847551398253,-1
5e2ec46a316225000cf293ce,boundary_separation,yn,1.448221806,0.20159457234310765,-0.2901273504361474,-1.415976043102331,1
5e2ec46a316225000cf293ce,boundary_separation,wh,2.4493336,0.3299710560409085,-0.2901273504361474,-1.415976043102331,-1
