participant,effect,q_sum,lextale_std,eq_std,estimate
558aab19fdf99b65685f0142,boundary_separation,-1,-0.2828491821710718,2.052391027996232,1.433135
558aab19fdf99b65685f0142,boundary_separation,1,-0.2828491821710718,2.052391027996232,2.041345
558aab19fdf99b65685f0142,drift_rate,-1,-0.2828491821710718,2.052391027996232,1.316005
558aab19fdf99b65685f0142,drift_rate,1,-0.2828491821710718,2.052391027996232,1.337715
55ce148b34e9060012e56279,boundary_separation,-1,-0.7290338075676921,-0.5092297634195828,2.386875
55ce148b34e9060012e56279,boundary_separation,1,-0.7290338075676921,-0.5092297634195828,1.57259
55ce148b34e9060012e56279,drift_rate,-1,-0.7290338075676921,-0.5092297634195828,0.6683515
55ce148b34e9060012e56279,drift_rate,1,-0.7290338075676921,-0.5092297634195828,1.37534
5630246f733ea0000f1633dd,boundary_separation,-1,-0.2828491821710718,0.39487169237423425,0.9707315000000001
5630246f733ea0000f1633dd,boundary_separation,1,-0.2828491821710718,0.39487169237423425,1.37393
5630246f733ea0000f1633dd,drift_rate,-1,-0.2828491821710718,0.39487169237423425,1.3008099999999998
5630246f733ea0000f1633dd,drift_rate,1,-0.2828491821710718,0.39487169237423425,1.3195649999999999
5658000ca9872d0011e1ba26,boundary_separation,-1,-0.35721328640384187,1.0729477842195971,2.42009
5658000ca9872d0011e1ba26,boundary_separation,1,-0.35721328640384187,1.0729477842195971,1.959695
5658000ca9872d0011e1ba26,drift_rate,-1,-0.35721328640384187,1.0729477842195971,1.62279
5658000ca9872d0011e1ba26,drift_rate,1,-0.35721328640384187,1.0729477842195971,1.6951
565a4547c51d43000587507d,boundary_separation,-1,1.3531611109498691,0.47021348035705235,3.62364
565a4547c51d43000587507d,boundary_separation,1,1.3531611109498691,0.47021348035705235,1.78339
565a4547c51d43000587507d,drift_rate,-1,1.3531611109498691,0.47021348035705235,1.320055
565a4547c51d43000587507d,drift_rate,1,1.3531611109498691,0.47021348035705235,1.292745
56e6a66af6ed900006a5867c,boundary_separation,-1,-0.8033979118004622,-0.20786261148831048,1.6495199999999999
56e6a66af6ed900006a5867c,boundary_separation,1,-0.8033979118004622,-0.20786261148831048,2.2674149999999997
56e6a66af6ed900006a5867c,drift_rate,-1,-0.8033979118004622,-0.20786261148831048,1.7961749999999999
56e6a66af6ed900006a5867c,drift_rate,1,-0.8033979118004622,-0.20786261148831048,1.75042
5727aecae386b9000f4000cd,boundary_separation,-1,-0.35721328640384187,-0.13252082350549238,0.9102334999999999
5727aecae386b9000f4000cd,boundary_separation,1,-0.35721328640384187,-0.13252082350549238,1.5921150000000002
5727aecae386b9000f4000cd,drift_rate,-1,-0.35721328640384187,-0.13252082350549238,1.44924
5727aecae386b9000f4000cd,drift_rate,1,-0.35721328640384187,-0.13252082350549238,1.312655
57901207c9abeb0001af353e,boundary_separation,-1,-0.505941494869382,2.2030746039618685,1.979155
57901207c9abeb0001af353e,boundary_separation,1,-0.505941494869382,2.2030746039618685,1.660385
57901207c9abeb0001af353e,drift_rate,-1,-0.505941494869382,2.2030746039618685,1.6360450000000002
57901207c9abeb0001af353e,drift_rate,1,-0.505941494869382,2.2030746039618685,1.5852
5844812dc5bc3a0001a4d553,boundary_separation,-1,-0.20848507793830176,-0.2832043994711286,2.2435850000000004
5844812dc5bc3a0001a4d553,boundary_separation,1,-0.20848507793830176,-0.2832043994711286,1.9623
5844812dc5bc3a0001a4d553,drift_rate,-1,-0.20848507793830176,-0.2832043994711286,0.516124
5844812dc5bc3a0001a4d553,drift_rate,1,-0.20848507793830176,-0.2832043994711286,0.7853129999999999
588e3172bc9f190001487eb8,boundary_separation,-1,0.014607234760008385,-0.659913339385219,1.417335
588e3172bc9f190001487eb8,boundary_separation,1,0.014607234760008385,-0.659913339385219,1.2777699999999999
588e3172bc9f190001487eb8,drift_rate,-1,0.014607234760008385,-0.659913339385219,1.209265
588e3172bc9f190001487eb8,drift_rate,1,0.014607234760008385,-0.659913339385219,1.29597
58a5cf959e040a0001399f07,boundary_separation,-1,-0.5803055991021521,2.052391027996232,1.3811200000000001
58a5cf959e040a0001399f07,boundary_separation,1,-0.5803055991021521,2.052391027996232,1.376645
58a5cf959e040a0001399f07,drift_rate,-1,-0.5803055991021521,2.052391027996232,1.1955399999999998
58a5cf959e040a0001399f07,drift_rate,1,-0.5803055991021521,2.052391027996232,1.2522
58f0fca0d40252000192f201,boundary_separation,-1,-0.35721328640384187,0.31952990439141615,1.444375
58f0fca0d40252000192f201,boundary_separation,1,-0.35721328640384187,0.31952990439141615,1.58928
58f0fca0d40252000192f201,drift_rate,-1,-0.35721328640384187,0.31952990439141615,1.123535
58f0fca0d40252000192f201,drift_rate,1,-0.35721328640384187,0.31952990439141615,1.518985
59dba8575cddae0001ff0780,boundary_separation,-1,-0.654669703334922,-0.7352551273680371,1.551035
59dba8575cddae0001ff0780,boundary_separation,1,-0.654669703334922,-0.7352551273680371,1.36941
59dba8575cddae0001ff0780,drift_rate,-1,-0.654669703334922,-0.7352551273680371,1.343145
59dba8575cddae0001ff0780,drift_rate,1,-0.654669703334922,-0.7352551273680371,1.292565
59dc458f77860e000151240e,boundary_separation,-1,-0.43157739063661194,2.2784163919446865,1.46732
59dc458f77860e000151240e,boundary_separation,1,-0.43157739063661194,2.2784163919446865,1.113005
59dc458f77860e000151240e,drift_rate,-1,-0.43157739063661194,2.2784163919446865,1.511855
59dc458f77860e000151240e,drift_rate,1,-0.43157739063661194,2.2784163919446865,1.6556700000000002
59e91cebae9f950001d8466a,boundary_separation,-1,-0.9521261202660023,-0.8859387033336733,0.9912559999999999
59e91cebae9f950001d8466a,boundary_separation,1,-0.9521261202660023,-0.8859387033336733,1.79969
59e91cebae9f950001d8466a,drift_rate,-1,-0.9521261202660023,-0.8859387033336733,1.420935
59e91cebae9f950001d8466a,drift_rate,1,-0.9521261202660023,-0.8859387033336733,1.227255
5a0502cb517dfb00013db4a3,boundary_separation,-1,-0.5803055991021521,-1.7146983711446722,1.220535
5a0502cb517dfb00013db4a3,boundary_separation,1,-0.5803055991021521,-1.7146983711446722,1.31505
5a0502cb517dfb00013db4a3,drift_rate,-1,-0.5803055991021521,-1.7146983711446722,1.287235
5a0502cb517dfb00013db4a3,drift_rate,1,-0.5803055991021521,-1.7146983711446722,1.342425
5a2e19cca3a512000195866a,boundary_separation,-1,0.1633354432255485,-1.488673007196218,1.7159200000000001
5a2e19cca3a512000195866a,boundary_separation,1,0.1633354432255485,-1.488673007196218,1.5686900000000001
5a2e19cca3a512000195866a,drift_rate,-1,0.1633354432255485,-1.488673007196218,1.385345
5a2e19cca3a512000195866a,drift_rate,1,0.1633354432255485,-1.488673007196218,1.395495
5acacdcd0527ba0001c24bad,boundary_separation,-1,-0.505941494869382,-0.9612804913164914,1.758305
5acacdcd0527ba0001c24bad,boundary_separation,1,-0.505941494869382,-0.9612804913164914,2.318975
5acacdcd0527ba0001c24bad,drift_rate,-1,-0.505941494869382,-0.9612804913164914,1.0549
5acacdcd0527ba0001c24bad,drift_rate,1,-0.505941494869382,-0.9612804913164914,0.8408525
5adfbd52f6b58c0001fa8f3c,boundary_separation,-1,0.08897133899277844,1.5249985121165055,1.3075350000000001
5adfbd52f6b58c0001fa8f3c,boundary_separation,1,0.08897133899277844,1.5249985121165055,1.1646100000000001
5adfbd52f6b58c0001fa8f3c,drift_rate,-1,0.08897133899277844,1.5249985121165055,1.3075800000000002
5adfbd52f6b58c0001fa8f3c,drift_rate,1,0.08897133899277844,1.5249985121165055,1.465585
5aea962d0ef2f20001858c9c,boundary_separation,-1,-0.43157739063661194,-1.0366222792993094,1.266135
5aea962d0ef2f20001858c9c,boundary_separation,1,-0.43157739063661194,-1.0366222792993094,1.05474
5aea962d0ef2f20001858c9c,drift_rate,-1,-0.43157739063661194,-1.0366222792993094,1.4291399999999999
5aea962d0ef2f20001858c9c,drift_rate,1,-0.43157739063661194,-1.0366222792993094,1.543455
5aede0b676b763000132f6a4,boundary_separation,-1,-0.9521261202660023,0.39487169237423425,1.367035
5aede0b676b763000132f6a4,boundary_separation,1,-0.9521261202660023,0.39487169237423425,1.426525
5aede0b676b763000132f6a4,drift_rate,-1,-0.9521261202660023,0.39487169237423425,1.286095
5aede0b676b763000132f6a4,drift_rate,1,-0.9521261202660023,0.39487169237423425,1.282655
5b15d20c444cef0001cb1153,boundary_separation,-1,-1.1752184329643125,0.6208970563226885,2.561745
5b15d20c444cef0001cb1153,boundary_separation,1,-1.1752184329643125,0.6208970563226885,2.78226
5b15d20c444cef0001cb1153,drift_rate,-1,-1.1752184329643125,0.6208970563226885,1.835665
5b15d20c444cef0001cb1153,drift_rate,1,-1.1752184329643125,0.6208970563226885,1.74607
5b50881a59119400018abaf3,boundary_separation,-1,0.08897133899277844,2.3537581799275045,1.39737
5b50881a59119400018abaf3,boundary_separation,1,0.08897133899277844,2.3537581799275045,1.42977
5b50881a59119400018abaf3,drift_rate,-1,0.08897133899277844,2.3537581799275045,1.560095
5b50881a59119400018abaf3,drift_rate,1,0.08897133899277844,2.3537581799275045,1.511615
5b5b455d8fb47700015830b7,boundary_separation,-1,-0.13412097370553172,1.6756820880821417,1.5901200000000002
5b5b455d8fb47700015830b7,boundary_separation,1,-0.13412097370553172,1.6756820880821417,1.3039299999999998
5b5b455d8fb47700015830b7,drift_rate,-1,-0.13412097370553172,1.6756820880821417,1.2381449999999998
5b5b455d8fb47700015830b7,drift_rate,1,-0.13412097370553172,1.6756820880821417,1.36281
5bb6413cb4dca50001df0096,boundary_separation,-1,0.1633354432255485,1.75102387606496,2.2119600000000004
5bb6413cb4dca50001df0096,boundary_separation,1,0.1633354432255485,1.75102387606496,1.85616
5bb6413cb4dca50001df0096,drift_rate,-1,0.1633354432255485,1.75102387606496,1.6078649999999999
5bb6413cb4dca50001df0096,drift_rate,1,0.1633354432255485,1.75102387606496,1.7883200000000001
5bc5356e65cfb8000154bd82,boundary_separation,-1,-0.7290338075676921,-0.8859387033336733,1.5817999999999999
5bc5356e65cfb8000154bd82,boundary_separation,1,-0.7290338075676921,-0.8859387033336733,1.76303
5bc5356e65cfb8000154bd82,drift_rate,-1,-0.7290338075676921,-0.8859387033336733,1.30056
5bc5356e65cfb8000154bd82,drift_rate,1,-0.7290338075676921,-0.8859387033336733,1.27716
5bc9f91f418bad00016c6773,boundary_separation,-1,-0.20848507793830176,0.6962388443055066,1.3645
5bc9f91f418bad00016c6773,boundary_separation,1,-0.20848507793830176,0.6962388443055066,1.116505
5bc9f91f418bad00016c6773,drift_rate,-1,-0.20848507793830176,0.6962388443055066,1.2766950000000001
5bc9f91f418bad00016c6773,drift_rate,1,-0.20848507793830176,0.6962388443055066,1.52552
5bdab584b341a4000154256b,boundary_separation,-1,-0.5803055991021521,-0.5845715514024009,1.25968
5bdab584b341a4000154256b,boundary_separation,1,-0.5803055991021521,-0.5845715514024009,1.453995
5bdab584b341a4000154256b,drift_rate,-1,-0.5803055991021521,-0.5845715514024009,1.62226
5bdab584b341a4000154256b,drift_rate,1,-0.5803055991021521,-0.5845715514024009,1.57548
5c049e9bad9a9700011b877b,boundary_separation,-1,0.981340589786019,0.8469224202711428,1.494935
5c049e9bad9a9700011b877b,boundary_separation,1,0.981340589786019,0.8469224202711428,1.13411
5c049e9bad9a9700011b877b,drift_rate,-1,0.981340589786019,0.8469224202711428,1.2096900000000002
5c049e9bad9a9700011b877b,drift_rate,1,0.981340589786019,0.8469224202711428,1.38673
5c1919fbd9241d0001363964,boundary_separation,-1,-0.43157739063661194,0.7715806322883247,4.41822
5c1919fbd9241d0001363964,boundary_separation,1,-0.43157739063661194,0.7715806322883247,1.7543199999999999
5c1919fbd9241d0001363964,drift_rate,-1,-0.43157739063661194,0.7715806322883247,0.5882240000000001
5c1919fbd9241d0001363964,drift_rate,1,-0.43157739063661194,0.7715806322883247,1.123495
5c1dc77ee2d9150001b5b70e,boundary_separation,-1,-0.654669703334922,0.6208970563226885,1.94316
5c1dc77ee2d9150001b5b70e,boundary_separation,1,-0.654669703334922,0.6208970563226885,1.2161499999999998
5c1dc77ee2d9150001b5b70e,drift_rate,-1,-0.654669703334922,0.6208970563226885,1.35396
5c1dc77ee2d9150001b5b70e,drift_rate,1,-0.654669703334922,0.6208970563226885,1.6611799999999999
5c59aecb6ca5e600017206de,boundary_separation,-1,-0.20848507793830176,0.09350454044296189,2.230525
5c59aecb6ca5e600017206de,boundary_separation,1,-0.20848507793830176,0.09350454044296189,1.617825
5c59aecb6ca5e600017206de,drift_rate,-1,-0.20848507793830176,0.09350454044296189,1.134275
5c59aecb6ca5e600017206de,drift_rate,1,-0.20848507793830176,0.09350454044296189,1.41183
5c5fc78e96dff400013607a5,boundary_separation,-1,0.08897133899277844,-0.9612804913164914,2.57081
5c5fc78e96dff400013607a5,boundary_separation,1,0.08897133899277844,-0.9612804913164914,2.5709400000000002
5c5fc78e96dff400013607a5,drift_rate,-1,0.08897133899277844,-0.9612804913164914,0.615982
5c5fc78e96dff400013607a5,drift_rate,1,0.08897133899277844,-0.9612804913164914,0.7631030000000001
5c6d460ec3aa150001145611,boundary_separation,-1,-1.1752184329643125,0.6208970563226885,2.50788
5c6d460ec3aa150001145611,boundary_separation,1,-1.1752184329643125,0.6208970563226885,2.816765
5c6d460ec3aa150001145611,drift_rate,-1,-1.1752184329643125,0.6208970563226885,1.104955
5c6d460ec3aa150001145611,drift_rate,1,-1.1752184329643125,0.6208970563226885,1.42473
5c70eafaf6c9fe00013eeafb,boundary_separation,-1,-0.43157739063661194,-0.9612804913164914,1.608145
5c70eafaf6c9fe00013eeafb,boundary_separation,1,-0.43157739063661194,-0.9612804913164914,1.96982
5c70eafaf6c9fe00013eeafb,drift_rate,-1,-0.43157739063661194,-0.9612804913164914,1.305965
5c70eafaf6c9fe00013eeafb,drift_rate,1,-0.43157739063661194,-0.9612804913164914,1.221565
5c742339e621f900163f4543,boundary_separation,-1,-0.43157739063661194,0.9222642082539608,1.85594
5c742339e621f900163f4543,boundary_separation,1,-0.43157739063661194,0.9222642082539608,1.43839
5c742339e621f900163f4543,drift_rate,-1,-0.43157739063661194,0.9222642082539608,1.25069
5c742339e621f900163f4543,drift_rate,1,-0.43157739063661194,0.9222642082539608,1.51003
5c75471e5eb59f000131c7a4,boundary_separation,-1,0.6095200686221688,-0.4338879754367647,3.01998
