stim_n,sentence_type,condition,prompt,sentence,color,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,fillers_loop.thisRepN,fillers_loop.thisTrialN,fillers_loop.thisN,fillers_loop.thisIndex,text_stim_stim_n.started,text_stim_stim_n.stopped,text_stim_sentence_type.started,text_stim_sentence_type.stopped,text_stim_condition.started,text_stim_condition.stopped,text_stim_prompt.started,text_stim_prompt.stopped,text_stim_sentence.started,text_stim_sentence.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,statement,A,filler,Roberto cocina por la mañana.,white,,,,,0,0,0,0,363.19594209699426,None,363.19594209699426,None,363.19594209699426,None,363.19594209699426,None,363.24575158499647,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
2,statement,B,filler,Ana practicaba el yoga.,white,,,,,0,1,1,1,366.8796300239628,None,366.8796300239628,None,366.8796300239628,None,366.8796300239628,None,366.9111357219517,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
3,statement,A,filler,La niña pinta con su amiga.,white,,,,,0,2,2,2,370.56200220499886,None,370.56200220499886,None,370.56200220499886,None,370.56200220499886,None,370.57861941697774,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
4,statement,C,filler,Las chicas dan una fiesta hoy.,white,,,,,0,3,3,3,373.8952597689931,None,373.8952597689931,None,373.8952597689931,None,373.8952597689931,None,373.9139860649593,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
5,statement,A,filler,Isabel duerme por muchas horas.,white,,,,,0,4,4,4,377.3784413259709,None,377.3784413259709,None,377.3784413259709,None,377.3784413259709,None,377.39504348195624,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
6,statement,B,filler,Alberto nunca se afeita.,white,,,,,0,5,5,5,381.0125686429674,None,381.0125686429674,None,381.0125686429674,None,381.0125686429674,None,381.0283493869938,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
7,statement,A,filler,La madre pasa la aspiradora.,white,,,,,0,6,6,6,384.0132771519711,None,384.0132771519711,None,384.0132771519711,None,384.0132771519711,None,384.04624767397763,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
8,statement,C,filler,El estudiante odia la tarea.,white,,,,,0,7,7,7,387.2614611259778,None,387.2614611259778,None,387.2614611259778,None,387.2614611259778,None,387.2780363089987,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
9,statement,A,filler,El equipo practica mucho.,white,,,,,0,8,8,8,390.3114736889838,None,390.3114736889838,None,390.3114736889838,None,390.3114736889838,None,390.3452987250057,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
10,statement,B,filler,Juana barría el piso.,white,,,,,0,9,9,9,393.19467780698324,None,393.19467780698324,None,393.19467780698324,None,393.19467780698324,None,393.21130015997915,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
11,statement,A,filler,La abuela plancha la ropa.,white,,,,,0,10,10,10,396.5612920880085,None,396.5612920880085,None,396.5612920880085,None,396.5612920880085,None,396.5968903359608,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
12,statement,C,filler,Los abuelos compran un espejo.,white,,,,,0,11,11,11,399.5111254559597,None,399.5111254559597,None,399.5111254559597,None,399.5111254559597,None,399.5277919860091,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
13,statement,A,filler,El niño habla con su madre.,white,,,,,0,12,12,12,403.2785084209754,None,403.2785084209754,None,403.2785084209754,None,403.2785084209754,None,403.3131681159721,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
14,statement,B,filler,Hago ejercicio todos los días. ,white,,,,,0,13,13,13,406.0943564219633,None,406.0943564219633,None,406.0943564219633,None,406.0943564219633,None,406.1109845659812,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
15,statement,A,filler,La vista de la casa es bonita.,white,,,,,0,14,14,14,410.344128547993,None,410.344128547993,None,410.344128547993,None,410.344128547993,None,410.36122404399794,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
16,statement,B,filler,El baño no es muy grande. ,white,,,,,0,15,15,15,414.14469936396927,None,414.14469936396927,None,414.14469936396927,None,414.14469936396927,None,414.1576853870065,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
17,statement,A,filler,Compro un regalo para Navidad.,white,,,,,0,16,16,16,416.69487191096414,None,416.69487191096414,None,416.69487191096414,None,416.69487191096414,None,416.7291942059528,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
18,statement,C,filler,Tu cumpleaños es mañana.,white,,,,,0,17,17,17,419.81050435698126,None,419.81050435698126,None,419.81050435698126,None,419.81050435698126,None,419.82712388195796,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
19,statement,C,filler,Nadamos en la piscina por la tarde.,white,,,,,0,18,18,18,423.2104828300071,None,423.2104828300071,None,423.2104828300071,None,423.2104828300071,None,423.2271200569812,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
20,statement,A,filler,Karina siempre anda en bicicleta.,white,,,,,0,19,19,19,426.7103027239791,None,426.7103027239791,None,426.7103027239791,None,426.7103027239791,None,426.72846922895405,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
21,statement,B,filler,Los niños ganan el partido.,white,,,,,0,20,20,20,430.0462187209632,None,430.0462187209632,None,430.0462187209632,None,430.0462187209632,None,430.05843106098473,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
22,statement,A,filler,Cocinabas por la noche.,white,,,,,0,21,21,21,433.4112425939529,None,433.4112425939529,None,433.4112425939529,None,433.4112425939529,None,433.4433955819695,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
23,statement,A,filler,Dibujabas con tu amiga.,white,,,,,0,22,22,22,436.4603580069961,None,436.4603580069961,None,436.4603580069961,None,436.4603580069961,None,436.49717033997877,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
24,statement,C,filler,El hombre da un paseo. ,white,,,,,0,23,23,23,439.17670770396944,None,439.17670770396944,None,439.17670770396944,None,439.17670770396944,None,439.2094128789613,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
25,statement,A,filler,Compramos en el supermercado.,white,,,,,0,24,24,24,441.6935937269591,None,441.6935937269591,None,441.6935937269591,None,441.6935937269591,None,441.7067185000051,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
26,statement,B,filler,Mateo piensa en las compras.,white,,,,,0,25,25,25,445.176328431,None,445.176328431,None,445.176328431,None,445.176328431,None,445.1930150159751,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
27,statement,A,filler,Emilia va al hospital.,white,,,,,0,26,26,26,448.29374418698717,None,448.29374418698717,None,448.29374418698717,None,448.29374418698717,None,448.3095540109789,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
28,statement,C,filler,El hotel tiene muchas habitaciones. ,white,,,,,0,27,27,27,450.909690786968,None,450.909690786968,None,450.909690786968,None,450.909690786968,None,450.9270940179704,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
29,statement,A,filler,El abrigo es muy barato. ,white,,,,,0,28,28,28,454.1765743769938,None,454.1765743769938,None,454.1765743769938,None,454.1765743769938,None,454.1898233539541,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
30,statement,B,filler,La discoteca es muy buena.,white,,,,,0,29,29,29,457.59281377197476,None,457.59281377197476,None,457.59281377197476,None,457.59281377197476,None,457.6278187179705,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
31,statement,A,filler,La ciudad tiene dos bancos.,white,,,,,0,30,30,30,460.50929529295536,None,460.50929529295536,None,460.50929529295536,None,460.50929529295536,None,460.5259607809712,None,pr,001,2020_Nov_20_1613,text_stim_for_audio,2020.2.5,60.082296649330175,
